"Year","SalesTerritoryGroup2","SalesPerson","Month","Value Column Name","Value"
"2018","Australia","Lynn Tsoflias","August","% Cont.","1"
"2018","Australia","Lynn Tsoflias","August","% Cont. GT","0.0040079985096400095"
"2018","Australia","Lynn Tsoflias","August","Quota","926276"
"2018","Australia","Lynn Tsoflias","August","Sales - Quota","-770581"
"2018","Australia","Lynn Tsoflias","August","Variance","-0.831912950351731"
"2018","Australia","Lynn Tsoflias","September","Sales","830592"
"2018","Australia","Lynn Tsoflias","September","September -","830592"
"2018","Australia","Lynn Tsoflias","September","% Cont.","1"
"2018","Australia","Lynn Tsoflias","September","% Cont. GT","0.019062808634285378"
"2018","Australia","Lynn Tsoflias","September","Quota","299445"
"2018","Australia","Lynn Tsoflias","September","Sales - Quota","531147"
"2018","Australia","Lynn Tsoflias","September","Variance","1.773771477232881"
"2018","Australia","Lynn Tsoflias","October","Sales","549685"
"2018","Australia","Lynn Tsoflias","October","October -","549685"
"2018","Australia","Lynn Tsoflias","October","% Cont.","1"
"2018","Australia","Lynn Tsoflias","October","% Cont. GT","0.015329735653281506"
"2018","Australia","Lynn Tsoflias","October","Quota","586582"
"2018","Australia","Lynn Tsoflias","October","Sales - Quota","-36897"
"2018","Australia","Lynn Tsoflias","October","Variance","-0.06290169149411336"
"2018","Australia","Lynn Tsoflias","November","Sales","288955"
"2018","Australia","Lynn Tsoflias","November","November -","288955"
"2018","Australia","Lynn Tsoflias","November","% Cont.","1"
"2018","Australia","Lynn Tsoflias","November","% Cont. GT","0.006305747411824078"
"2018","Australia","Lynn Tsoflias","November","Quota","944669"
"2018","Australia","Lynn Tsoflias","November","Sales - Quota","-655714"
"2018","Australia","Lynn Tsoflias","November","Variance","-0.6941203744380305"
"2018","Australia","Lynn Tsoflias","December","Sales","662446"
"2018","Australia","Lynn Tsoflias","December","December -","662446"
"2018","Australia","Lynn Tsoflias","December","% Cont.","1"
"2018","Australia","Lynn Tsoflias","December","% Cont. GT","0.015256048472252523"
"2018","Australia","Lynn Tsoflias","December","Quota","674286"
"2018","Australia","Lynn Tsoflias","December","Sales - Quota","-11840"
"2018","Australia","Lynn Tsoflias","December","Variance","-0.017559314593510764"
"2018","Canada","Garrett Vargas","January","Sales","294126"
"2018","Canada","Garrett Vargas","January","January -","294126"
"2018","Canada","Garrett Vargas","January","% Cont.","0.3244103555073192"
"2018","Canada","Garrett Vargas","January","% Cont. GT","0.007827064975775155"
"2018","Canada","Garrett Vargas","January","Quota","184914"
"2018","Canada","Garrett Vargas","January","Sales - Quota","109212"
"2018","Canada","Garrett Vargas","January","Variance","0.5906096888283202"
"2018","Canada","Garrett Vargas","February","Sales","495204"
"2018","Canada","Garrett Vargas","February","February -","495204"
"2018","Canada","Garrett Vargas","February","% Cont.","0.6937408327344403"
"2018","Canada","Garrett Vargas","February","% Cont. GT","0.010045220650805854"
"2018","Canada","Garrett Vargas","February","Quota","269516"
"2018","Canada","Garrett Vargas","February","Sales - Quota","225688"
"2018","Canada","Garrett Vargas","February","Variance","0.8373825672687336"
"2018","Canada","Garrett Vargas","March","Sales","135867"
"2018","Canada","Garrett Vargas","March","March -","135867"
"2018","Canada","Garrett Vargas","March","% Cont.","0.26056013899916003"
"2018","Canada","Garrett Vargas","March","% Cont. GT","0.0030825467698864153"
"2018","Canada","Garrett Vargas","March","Quota","280333"
"2018","Canada","Garrett Vargas","March","Sales - Quota","-144466"
"2018","Canada","Garrett Vargas","March","Variance","-0.5153371169287954"
"2018","Canada","Garrett Vargas","April","Sales","674546"
"2018","Canada","Garrett Vargas","April","April -","674546"
"2018","Canada","Garrett Vargas","April","% Cont.","0.4956992115649873"
"2018","Canada","Garrett Vargas","April","% Cont. GT","0.01754705538908635"
"2018","Canada","Garrett Vargas","April","Quota","497528"
"2018","Canada","Garrett Vargas","April","Sales - Quota","177018"
"2018","Canada","Garrett Vargas","April","Variance","0.35579505073081313"
"2018","Canada","Garrett Vargas","May","Sales","955579"
"2018","Canada","Garrett Vargas","May","May -","955579"
"2018","Canada","Garrett Vargas","May","% Cont.","0.7430803206917735"
"2018","Canada","Garrett Vargas","May","% Cont. GT","0.023018716405552263"
"2018","Canada","Garrett Vargas","May","Quota","899212"
"2018","Canada","Garrett Vargas","May","Sales - Quota","56367"
"2018","Canada","Garrett Vargas","May","Variance","0.06268488409852181"
"2018","Canada","Garrett Vargas","June","Sales","940461"
"2018","Canada","Garrett Vargas","June","June -","940461"
"2018","Canada","Garrett Vargas","June","% Cont.","0.6218627031551996"
"2018","Canada","Garrett Vargas","June","% Cont. GT","0.020403558811394672"
"2018","Canada","Garrett Vargas","June","Quota","540171"
"2018","Canada","Garrett Vargas","June","Sales - Quota","400290"
"2018","Canada","Garrett Vargas","June","Variance","0.7410431141249716"
"2018","Canada","Garrett Vargas","July","Sales","704715"
"2018","Canada","Garrett Vargas","July","July -","704715"
"2018","Canada","Garrett Vargas","July","% Cont.","0.4849421343605878"
"2018","Canada","Garrett Vargas","July","% Cont. GT","0.02219265656088603"
"2018","Canada","Garrett Vargas","July","Quota","387419"
"2018","Canada","Garrett Vargas","July","Sales - Quota","317296"
"2018","Canada","Garrett Vargas","July","Variance","0.8189995844292614"
"2018","Canada","Garrett Vargas","August","Sales","238037"
"2018","Canada","Garrett Vargas","August","August -","238037"
"2018","Canada","Garrett Vargas","August","% Cont.","0.3514794541988622"
"2018","Canada","Garrett Vargas","August","% Cont. GT","0.006127698007252506"
"2018","Canada","Garrett Vargas","August","Quota","982816"
"2018","Canada","Garrett Vargas","August","Sales - Quota","-744779"
"2018","Canada","Garrett Vargas","August","Variance","-0.7578010532999057"
"2018","Canada","Garrett Vargas","September","Sales","681486"
"2018","Canada","Garrett Vargas","September","September -","681486"
"2018","Canada","Garrett Vargas","September","% Cont.","0.4670255378785024"
"2018","Canada","Garrett Vargas","September","% Cont. GT","0.01564069628041759"
"2018","Canada","Garrett Vargas","September","Quota","194042"
"2018","Canada","Garrett Vargas","September","Sales - Quota","487444"
"2018","Canada","Garrett Vargas","September","Variance","2.512054091382278"
"2018","Canada","Garrett Vargas","October","Sales","911180"
"2018","Canada","Garrett Vargas","October","October -","911180"
"2018","Canada","Garrett Vargas","October","% Cont.","0.48329385356808324"
"2018","Canada","Garrett Vargas","October","% Cont. GT","0.02541118737560065"
"2018","Canada","Garrett Vargas","October","Quota","812831"
"2018","Canada","Garrett Vargas","October","Sales - Quota","98349"
"2018","Canada","Garrett Vargas","October","Variance","0.1209956313181953"
"2018","Canada","Garrett Vargas","November","Sales","742952"
"2018","Canada","Garrett Vargas","November","November -","742952"
"2018","Canada","Garrett Vargas","November","% Cont.","0.5790695318041169"
"2018","Canada","Garrett Vargas","November","% Cont. GT","0.016213139246974515"
"2018","Canada","Garrett Vargas","November","Quota","738568"
"2018","Canada","Garrett Vargas","November","Sales - Quota","4384"
"2018","Canada","Garrett Vargas","November","Variance","0.00593581092059228"
"2018","Canada","Garrett Vargas","December","Sales","955027"
"2018","Canada","Garrett Vargas","December","December -","955027"
"2018","Canada","Garrett Vargas","December","% Cont.","0.5671020065936363"
"2018","Canada","Garrett Vargas","December","% Cont. GT","0.02199415228457853"
"2018","Canada","Garrett Vargas","December","Quota","829625"
"2018","Canada","Garrett Vargas","December","Sales - Quota","125402"
"2018","Canada","Garrett Vargas","December","Variance","0.15115503992767818"
"2018","Canada","José Saraiva","January","Sales","612522"
"2018","Canada","José Saraiva","January","January -","612522"
"2018","Canada","José Saraiva","January","% Cont.","0.6755896444926808"
"2018","Canada","José Saraiva","January","% Cont. GT","0.01629998535692781"
"2018","Canada","José Saraiva","January","Quota","535624"
"2018","Canada","José Saraiva","January","Sales - Quota","76898"
"2018","Canada","José Saraiva","January","Variance","0.14356712918017117"
"2018","Canada","José Saraiva","February","Sales","218613"
"2018","Canada","José Saraiva","February","February -","218613"
"2018","Canada","José Saraiva","February","% Cont.","0.3062591672655597"
"2018","Canada","José Saraiva","February","% Cont. GT","0.004434568020724026"
"2018","Canada","José Saraiva","February","Quota","258042"
"2018","Canada","José Saraiva","February","Sales - Quota","-39429"
"2018","Canada","José Saraiva","February","Variance","-0.15280070686167369"
"2018","Canada","José Saraiva","March","Sales","385575"
"2018","Canada","José Saraiva","March","March -","385575"
"2018","Canada","José Saraiva","March","% Cont.","0.73943986100084"
"2018","Canada","José Saraiva","March","% Cont. GT","0.00874791502571599"
"2018","Canada","José Saraiva","March","Quota","621556"
"2018","Canada","José Saraiva","March","Sales - Quota","-235981"
"2018","Canada","José Saraiva","March","Variance","-0.3796616877642562"
"2018","Canada","José Saraiva","April","Sales","686251"
"2018","Canada","José Saraiva","April","April -","686251"
"2018","Canada","José Saraiva","April","% Cont.","0.5043007884350127"
"2018","Canada","José Saraiva","April","% Cont. GT","0.017851539120854465"
"2018","Canada","José Saraiva","April","Quota","931838"
"2018","Canada","José Saraiva","April","Sales - Quota","-245587"
"2018","Canada","José Saraiva","April","Variance","-0.2635511752042737"
"2018","Canada","José Saraiva","May","Sales","330391"
"2018","Canada","José Saraiva","May","May -","330391"
"2018","Canada","José Saraiva","May","% Cont.","0.25691967930822646"
"2018","Canada","José Saraiva","May","% Cont. GT","0.007958710616230387"
"2018","Canada","José Saraiva","May","Quota","435556"
"2018","Canada","José Saraiva","May","Sales - Quota","-105165"
"2018","Canada","José Saraiva","May","Variance","-0.2414500087244809"
"2018","Canada","José Saraiva","June","Sales","571868"
"2018","Canada","José Saraiva","June","June -","571868"
"2018","Canada","José Saraiva","June","% Cont.","0.3781372968448003"
"2018","Canada","José Saraiva","June","% Cont. GT","0.012406832787701615"
"2018","Canada","José Saraiva","June","Quota","935156"
"2018","Canada","José Saraiva","June","Sales - Quota","-363288"
"2018","Canada","José Saraiva","June","Variance","-0.3884784998438764"
"2018","Canada","José Saraiva","July","Sales","748479"
"2018","Canada","José Saraiva","July","July -","748479"
"2018","Canada","José Saraiva","July","% Cont.","0.5150578656394122"
"2018","Canada","José Saraiva","July","% Cont. GT","0.02357085827609092"
"2018","Canada","José Saraiva","July","Quota","186809"
"2018","Canada","José Saraiva","July","Sales - Quota","561670"
"2018","Canada","José Saraiva","July","Variance","3.0066538550069857"
"2018","Canada","José Saraiva","August","Sales","439206"
"2018","Canada","José Saraiva","August","August -","439206"
"2018","Canada","José Saraiva","August","% Cont.","0.6485205458011378"
"2018","Canada","José Saraiva","August","% Cont. GT","0.011306316795176146"
"2018","Canada","José Saraiva","August","Quota","791805"
"2018","Canada","José Saraiva","August","Sales - Quota","-352599"
"2018","Canada","José Saraiva","August","Variance","-0.44531039839354386"
"2018","Canada","José Saraiva","September","Sales","777719"
"2018","Canada","José Saraiva","September","September -","777719"
"2018","Canada","José Saraiva","September","% Cont.","0.5329744621214977"
"2018","Canada","José Saraiva","September","% Cont. GT","0.01784932730901308"
"2018","Canada","José Saraiva","September","Quota","562697"
"2018","Canada","José Saraiva","September","Sales - Quota","215022"
"2018","Canada","José Saraiva","September","Variance","0.38212750378978383"
"2018","Canada","José Saraiva","October","Sales","974174"
"2018","Canada","José Saraiva","October","October -","974174"
"2018","Canada","José Saraiva","October","% Cont.","0.5167061464319168"
"2018","Canada","José Saraiva","October","% Cont. GT","0.027167977842400392"
"2018","Canada","José Saraiva","October","Quota","879840"
"2018","Canada","José Saraiva","October","Sales - Quota","94334"
"2018","Canada","José Saraiva","October","Variance","0.10721722131296599"
"2018","Canada","José Saraiva","November","Sales","540058"
"2018","Canada","José Saraiva","November","November -","540058"
"2018","Canada","José Saraiva","November","% Cont.","0.42093046819588315"
"2018","Canada","José Saraiva","November","% Cont. GT","0.011785466026664661"
"2018","Canada","José Saraiva","November","Quota","135952"
"2018","Canada","José Saraiva","November","Sales - Quota","404106"
"2018","Canada","José Saraiva","November","Variance","2.9724167353183475"
"2018","Canada","José Saraiva","December","Sales","729021"
"2018","Canada","José Saraiva","December","December -","729021"
"2018","Canada","José Saraiva","December","% Cont.","0.4328979934063637"
"2018","Canada","José Saraiva","December","% Cont. GT","0.016789262390126902"
"2018","Canada","José Saraiva","December","Quota","764193"
"2018","Canada","José Saraiva","December","Sales - Quota","-35172"
"2018","Canada","José Saraiva","December","Variance","-0.04602502247468899"
"2018","France","Ranjit Varkey Chudukatil","January","Sales","258183"
"2018","France","Ranjit Varkey Chudukatil","January","January -","258183"
"2018","France","Ranjit Varkey Chudukatil","January","% Cont.","1"
"2018","France","Ranjit Varkey Chudukatil","January","% Cont. GT","0.0068705762722117624"
"2018","France","Ranjit Varkey Chudukatil","January","Quota","464842"
"2018","France","Ranjit Varkey Chudukatil","January","Sales - Quota","-206659"
"2018","France","Ranjit Varkey Chudukatil","January","Variance","-0.44457901824706025"
"2018","France","Ranjit Varkey Chudukatil","February","Sales","974628"
"2018","France","Ranjit Varkey Chudukatil","February","February -","974628"
"2018","France","Ranjit Varkey Chudukatil","February","% Cont.","1"
"2018","France","Ranjit Varkey Chudukatil","February","% Cont. GT","0.01977034376227496"
"2018","France","Ranjit Varkey Chudukatil","February","Quota","290557"
"2018","France","Ranjit Varkey Chudukatil","February","Sales - Quota","684071"
"2018","France","Ranjit Varkey Chudukatil","February","Variance","2.354343553932619"
"2018","France","Ranjit Varkey Chudukatil","March","Sales","542613"
"2018","France","Ranjit Varkey Chudukatil","March","March -","542613"
"2018","France","Ranjit Varkey Chudukatil","March","% Cont.","1"
"2018","France","Ranjit Varkey Chudukatil","March","% Cont. GT","0.01231078886299379"
"2018","France","Ranjit Varkey Chudukatil","March","Quota","639877"
"2018","France","Ranjit Varkey Chudukatil","March","Sales - Quota","-97264"
"2018","France","Ranjit Varkey Chudukatil","March","Variance","-0.15200421330974548"
"2018","France","Ranjit Varkey Chudukatil","April","Sales","860042"
"2018","France","Ranjit Varkey Chudukatil","April","April -","860042"
"2018","France","Ranjit Varkey Chudukatil","April","% Cont.","1"
"2018","France","Ranjit Varkey Chudukatil","April","% Cont. GT","0.022372387666579605"
"2018","France","Ranjit Varkey Chudukatil","April","Quota","202973"
"2018","France","Ranjit Varkey Chudukatil","April","Sales - Quota","657069"
"2018","France","Ranjit Varkey Chudukatil","April","Variance","3.2372236701433197"
"2018","France","Ranjit Varkey Chudukatil","May","Sales","193494"
"2018","France","Ranjit Varkey Chudukatil","May","May -","193494"
"2018","France","Ranjit Varkey Chudukatil","May","% Cont.","1"
"2018","France","Ranjit Varkey Chudukatil","May","% Cont. GT","0.004661031178140091"
"2018","France","Ranjit Varkey Chudukatil","May","Quota","770826"
"2018","France","Ranjit Varkey Chudukatil","May","Sales - Quota","-577332"
"2018","France","Ranjit Varkey Chudukatil","May","Variance","-0.7489783686590747"
"2018","France","Ranjit Varkey Chudukatil","June","Sales","380840"
"2018","France","Ranjit Varkey Chudukatil","June","June -","380840"
"2018","France","Ranjit Varkey Chudukatil","June","% Cont.","1"
"2018","France","Ranjit Varkey Chudukatil","June","% Cont. GT","0.008262428040856076"
"2018","France","Ranjit Varkey Chudukatil","June","Quota","701441"
"2018","France","Ranjit Varkey Chudukatil","June","Sales - Quota","-320601"
"2018","France","Ranjit Varkey Chudukatil","June","Variance","-0.4570605368092256"
"2018","France","Ranjit Varkey Chudukatil","July","Sales","138190"
"2018","France","Ranjit Varkey Chudukatil","July","July -","138190"
"2018","France","Ranjit Varkey Chudukatil","July","% Cont.","1"
"2018","France","Ranjit Varkey Chudukatil","July","% Cont. GT","0.004351834727725166"
"2018","France","Ranjit Varkey Chudukatil","July","Quota","954949"
"2018","France","Ranjit Varkey Chudukatil","July","Sales - Quota","-816759"
"2018","France","Ranjit Varkey Chudukatil","July","Variance","-0.8552907013882417"
"2018","France","Ranjit Varkey Chudukatil","August","Sales","581055"
"2018","France","Ranjit Varkey Chudukatil","August","August -","581055"
"2018","France","Ranjit Varkey Chudukatil","August","% Cont.","1"
"2018","France","Ranjit Varkey Chudukatil","August","% Cont. GT","0.014957882873688145"
"2018","France","Ranjit Varkey Chudukatil","August","Quota","741542"
"2018","France","Ranjit Varkey Chudukatil","August","Sales - Quota","-160487"
"2018","France","Ranjit Varkey Chudukatil","August","Variance","-0.21642334486785642"
"2018","France","Ranjit Varkey Chudukatil","September","Sales","845621"
"2018","France","Ranjit Varkey Chudukatil","September","September -","845621"
"2018","France","Ranjit Varkey Chudukatil","September","% Cont.","1"
"2018","France","Ranjit Varkey Chudukatil","September","% Cont. GT","0.019407737252625883"
"2018","France","Ranjit Varkey Chudukatil","September","Quota","828706"
"2018","France","Ranjit Varkey Chudukatil","September","Sales - Quota","16915"
"2018","France","Ranjit Varkey Chudukatil","September","Variance","0.020411340089247575"
"2018","France","Ranjit Varkey Chudukatil","October","Sales","732583"
"2018","France","Ranjit Varkey Chudukatil","October","October -","732583"
"2018","France","Ranjit Varkey Chudukatil","October","% Cont.","1"
"2018","France","Ranjit Varkey Chudukatil","October","% Cont. GT","0.020430435129370324"
"2018","France","Ranjit Varkey Chudukatil","October","Quota","933896"
"2018","France","Ranjit Varkey Chudukatil","October","Sales - Quota","-201313"
"2018","France","Ranjit Varkey Chudukatil","October","Variance","-0.21556254657906235"
"2018","France","Ranjit Varkey Chudukatil","November","Sales","644332"
"2018","France","Ranjit Varkey Chudukatil","November","November -","644332"
"2018","France","Ranjit Varkey Chudukatil","November","% Cont.","1"
"2018","France","Ranjit Varkey Chudukatil","November","% Cont. GT","0.01406099510773453"
"2018","France","Ranjit Varkey Chudukatil","November","Quota","240954"
"2018","France","Ranjit Varkey Chudukatil","November","Sales - Quota","403378"
"2018","France","Ranjit Varkey Chudukatil","November","Variance","1.6740871701652598"
"2018","France","Ranjit Varkey Chudukatil","December","Sales","181118"
"2018","France","Ranjit Varkey Chudukatil","December","December -","181118"
"2018","France","Ranjit Varkey Chudukatil","December","% Cont.","1"
"2018","France","Ranjit Varkey Chudukatil","December","% Cont. GT","0.004171124872363079"
"2018","France","Ranjit Varkey Chudukatil","December","Quota","558372"
"2018","France","Ranjit Varkey Chudukatil","December","Sales - Quota","-377254"
"2018","France","Ranjit Varkey Chudukatil","December","Variance","-0.6756320159320309"
"2018","Germany","Rachel Valdez","January","Sales","974487"
"2018","Germany","Rachel Valdez","January","January -","974487"
"2018","Germany","Rachel Valdez","January","% Cont.","1"
"2018","Germany","Rachel Valdez","January","% Cont. GT","0.02593233194973652"
"2018","Germany","Rachel Valdez","January","Quota","773588"
"2018","Germany","Rachel Valdez","January","Sales - Quota","200899"
"2018","Germany","Rachel Valdez","January","Variance","0.2596976685263991"
"2018","Germany","Rachel Valdez","February","Sales","818757"
"2018","Germany","Rachel Valdez","February","February -","818757"
"2018","Germany","Rachel Valdez","February","% Cont.","1"
"2018","Germany","Rachel Valdez","February","% Cont. GT","0.016608498163164776"
"2018","Germany","Rachel Valdez","February","Quota","178242"
"2018","Germany","Rachel Valdez","February","Sales - Quota","640515"
"2018","Germany","Rachel Valdez","February","Variance","3.5935133133604875"
"2018","Germany","Rachel Valdez","March","Sales","458763"
"2018","Germany","Rachel Valdez","March","March -","458763"
"2018","Germany","Rachel Valdez","March","% Cont.","1"
"2018","Germany","Rachel Valdez","March","% Cont. GT","0.01040840236255604"
"2018","Germany","Rachel Valdez","March","Quota","919935"
"2018","Germany","Rachel Valdez","March","Sales - Quota","-461172"
"2018","Germany","Rachel Valdez","March","Variance","-0.5013093316375613"
"2018","Germany","Rachel Valdez","April","Sales","371175"
"2018","Germany","Rachel Valdez","April","April -","371175"
"2018","Germany","Rachel Valdez","April","% Cont.","1"
"2018","Germany","Rachel Valdez","April","% Cont. GT","0.009655424958481892"
"2018","Germany","Rachel Valdez","April","Quota","837798"
"2018","Germany","Rachel Valdez","April","Sales - Quota","-466623"
"2018","Germany","Rachel Valdez","April","Variance","-0.5569636117536686"
"2018","Germany","Rachel Valdez","May","Sales","995748"
"2018","Germany","Rachel Valdez","May","May -","995748"
"2018","Germany","Rachel Valdez","May","% Cont.","1"
"2018","Germany","Rachel Valdez","May","% Cont. GT","0.023986337941076408"
"2018","Germany","Rachel Valdez","May","Quota","594226"
"2018","Germany","Rachel Valdez","May","Sales - Quota","401522"
"2018","Germany","Rachel Valdez","May","Variance","0.6757058762154466"
"2018","Germany","Rachel Valdez","June","Sales","464768"
"2018","Germany","Rachel Valdez","June","June -","464768"
"2018","Germany","Rachel Valdez","June","% Cont.","1"
"2018","Germany","Rachel Valdez","June","% Cont. GT","0.010083268973040117"
"2018","Germany","Rachel Valdez","June","Quota","953920"
"2018","Germany","Rachel Valdez","June","Sales - Quota","-489152"
"2018","Germany","Rachel Valdez","June","Variance","-0.5127809459912781"
"2018","Germany","Rachel Valdez","July","Sales","294938"
"2018","Germany","Rachel Valdez","July","July -","294938"
"2018","Germany","Rachel Valdez","July","% Cont.","1"
"2018","Germany","Rachel Valdez","July","% Cont. GT","0.009288091981516788"
"2018","Germany","Rachel Valdez","July","Quota","833564"
"2018","Germany","Rachel Valdez","July","Sales - Quota","-538626"
"2018","Germany","Rachel Valdez","July","Variance","-0.6461723394964274"
"2018","Germany","Rachel Valdez","August","Sales","838205"
"2018","Germany","Rachel Valdez","August","August -","838205"
"2018","Germany","Rachel Valdez","August","% Cont.","1"
"2018","Germany","Rachel Valdez","August","% Cont. GT","0.021577599735205396"
"2018","Germany","Rachel Valdez","August","Quota","992629"
"2018","Germany","Rachel Valdez","August","Sales - Quota","-154424"
"2018","Germany","Rachel Valdez","August","Variance","-0.15557071171605907"
"2018","Germany","Rachel Valdez","September","Sales","308645"
"2018","Germany","Rachel Valdez","September","September -","308645"
"2018","Germany","Rachel Valdez","September","% Cont.","1"
"2018","Germany","Rachel Valdez","September","% Cont. GT","0.007083671129662953"
"2018","Germany","Rachel Valdez","September","Quota","602434"
"2018","Germany","Rachel Valdez","September","Sales - Quota","-293789"
"2018","Germany","Rachel Valdez","September","Variance","-0.4876700186244468"
"2018","Germany","Rachel Valdez","October","Sales","100602"
"2018","Germany","Rachel Valdez","October","October -","100602"
"2018","Germany","Rachel Valdez","October","% Cont.","1"
"2018","Germany","Rachel Valdez","October","% Cont. GT","0.0028056106064226357"
"2018","Germany","Rachel Valdez","October","Quota","513447"
"2018","Germany","Rachel Valdez","October","Sales - Quota","-412845"
"2018","Germany","Rachel Valdez","October","Variance","-0.8040654634266049"
"2018","Germany","Rachel Valdez","November","Sales","918257"
"2018","Germany","Rachel Valdez","November","November -","918257"
"2018","Germany","Rachel Valdez","November","% Cont.","1"
"2018","Germany","Rachel Valdez","November","% Cont. GT","0.02003874894408936"
"2018","Germany","Rachel Valdez","November","Quota","832069"
"2018","Germany","Rachel Valdez","November","Sales - Quota","86188"
"2018","Germany","Rachel Valdez","November","Variance","0.10358275575703457"
"2018","Germany","Rachel Valdez","December","Sales","271312"
"2018","Germany","Rachel Valdez","December","December -","271312"
"2018","Germany","Rachel Valdez","December","% Cont.","1"
"2018","Germany","Rachel Valdez","December","% Cont. GT","0.006248281404225818"
"2018","Germany","Rachel Valdez","December","Quota","813016"
"2018","Germany","Rachel Valdez","December","Sales - Quota","-541704"
"2018","Germany","Rachel Valdez","December","Variance","-0.6662894703179273"
"2018","United Kingdom","Jae Pak","January","Sales","699328"
"2018","United Kingdom","Jae Pak","January","January -","699328"
"2018","United Kingdom","Jae Pak","January","% Cont.","1"
"2018","United Kingdom","Jae Pak","January","% Cont. GT","0.018610002840207553"
"2018","United Kingdom","Jae Pak","January","Quota","477231"
"2018","United Kingdom","Jae Pak","January","Sales - Quota","222097"
"2018","United Kingdom","Jae Pak","January","Variance","0.46538678333972444"
"2018","United Kingdom","Jae Pak","February","Sales","641716"
"2018","United Kingdom","Jae Pak","February","February -","641716"
"2018","United Kingdom","Jae Pak","February","% Cont.","1"
"2018","United Kingdom","Jae Pak","February","% Cont. GT","0.013017218792967203"
"2018","United Kingdom","Jae Pak","February","Quota","372558"
"2018","United Kingdom","Jae Pak","February","Sales - Quota","269158"
"2018","United Kingdom","Jae Pak","February","Variance","0.7224593217700331"
"2018","United Kingdom","Jae Pak","March","Sales","827558"
"2018","United Kingdom","Jae Pak","March","March -","827558"
"2018","United Kingdom","Jae Pak","March","% Cont.","1"
"2018","United Kingdom","Jae Pak","March","% Cont. GT","0.018775613208458726"
"2018","United Kingdom","Jae Pak","March","Quota","998375"
"2018","United Kingdom","Jae Pak","March","Sales - Quota","-170817"
"2018","United Kingdom","Jae Pak","March","Variance","-0.17109502942281207"
"2018","United Kingdom","Jae Pak","April","Sales","556595"
"2018","United Kingdom","Jae Pak","April","April -","556595"
