Orders.Sub-Category,Orders.Segment,Orders.Region,Orders.Ship Mode,Orders.Customer Name,Orders.Country,Orders.Category,Orders.State,Orders.City,CountNonNull(Orders.Postal Code),Sum(Orders.Discount)
Binders,Consumer,Central,Standard Class,Luke Foster,United States,Office Supplies,Texas,San Antonio,3,2.4000000000000004
Fasteners,Consumer,Central,Standard Class,Luke Foster,United States,Office Supplies,Texas,San Antonio,,
Paper,Consumer,Central,Standard Class,Luke Foster,United States,Office Supplies,Texas,San Antonio,,
Appliances,Consumer,Central,Standard Class,Guy Armstrong,United States,Office Supplies,Texas,Dallas,,
Art,Consumer,Central,Standard Class,Guy Armstrong,United States,Office Supplies,Texas,Dallas,1,0.2
Binders,Consumer,Central,Standard Class,Guy Armstrong,United States,Office Supplies,Texas,Dallas,3,2.4000000000000004
Fasteners,Consumer,Central,Standard Class,Guy Armstrong,United States,Office Supplies,Texas,Dallas,,
Paper,Consumer,Central,Standard Class,Guy Armstrong,United States,Office Supplies,Texas,Dallas,,
Appliances,Consumer,Central,Standard Class,Janet Martin,United States,Office Supplies,Texas,Huntsville,1,0.8
Art,Consumer,Central,Standard Class,Janet Martin,United States,Office Supplies,Texas,Huntsville,1,0.2
Binders,Consumer,Central,Standard Class,Janet Martin,United States,Office Supplies,Texas,Huntsville,2,1.6
Fasteners,Consumer,Central,Standard Class,Janet Martin,United States,Office Supplies,Texas,Huntsville,,
Paper,Consumer,Central,Standard Class,Janet Martin,United States,Office Supplies,Texas,Huntsville,,
Appliances,Consumer,Central,Standard Class,Joe Kamberova,United States,Office Supplies,Texas,Carrollton,,
Art,Consumer,Central,Standard Class,Joe Kamberova,United States,Office Supplies,Texas,Carrollton,,
Binders,Consumer,Central,Standard Class,Joe Kamberova,United States,Office Supplies,Texas,Carrollton,1,0.8
Fasteners,Consumer,Central,Standard Class,Joe Kamberova,United States,Office Supplies,Texas,Carrollton,1,0.2
Paper,Consumer,Central,Standard Class,Joe Kamberova,United States,Office Supplies,Texas,Carrollton,,
Appliances,Consumer,Central,Standard Class,Joe Kamberova,United States,Office Supplies,Texas,Houston,,
Art,Consumer,Central,Standard Class,Joe Kamberova,United States,Office Supplies,Texas,Houston,,
Binders,Consumer,Central,Standard Class,Joe Kamberova,United States,Office Supplies,Texas,Houston,1,0.8
Fasteners,Consumer,Central,Standard Class,Joe Kamberova,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Joe Kamberova,United States,Office Supplies,Texas,Houston,,
Appliances,Consumer,Central,Standard Class,Joe Kamberova,United States,Office Supplies,Illinois,Chicago,,
Art,Consumer,Central,Standard Class,Joe Kamberova,United States,Office Supplies,Illinois,Chicago,,
Binders,Consumer,Central,Standard Class,Joe Kamberova,United States,Office Supplies,Illinois,Chicago,1,0.8
Fasteners,Consumer,Central,Standard Class,Joe Kamberova,United States,Office Supplies,Illinois,Chicago,,
Paper,Consumer,Central,Standard Class,Joe Kamberova,United States,Office Supplies,Illinois,Chicago,,
Appliances,Consumer,Central,Standard Class,Lena Cacioppo,United States,Office Supplies,Illinois,Chicago,2,1.6
Art,Consumer,Central,Standard Class,Lena Cacioppo,United States,Office Supplies,Illinois,Chicago,,
Binders,Consumer,Central,Standard Class,Lena Cacioppo,United States,Office Supplies,Illinois,Chicago,1,0.8
Fasteners,Consumer,Central,Standard Class,Lena Cacioppo,United States,Office Supplies,Illinois,Chicago,,
Paper,Consumer,Central,Standard Class,Lena Cacioppo,United States,Office Supplies,Illinois,Chicago,1,0.2
Appliances,Consumer,Central,Standard Class,Zuschuss Carroll,United States,Office Supplies,Texas,Houston,2,1.6
Art,Consumer,Central,Standard Class,Zuschuss Carroll,United States,Office Supplies,Texas,Houston,,
Binders,Consumer,Central,Standard Class,Zuschuss Carroll,United States,Office Supplies,Texas,Houston,1,0.8
Fasteners,Consumer,Central,Standard Class,Zuschuss Carroll,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Zuschuss Carroll,United States,Office Supplies,Texas,Houston,1,0.2
Appliances,Consumer,Central,Standard Class,Karen Daniels,United States,Office Supplies,Texas,Houston,,
Art,Consumer,Central,Standard Class,Karen Daniels,United States,Office Supplies,Texas,Houston,1,0.2
Binders,Consumer,Central,Standard Class,Karen Daniels,United States,Office Supplies,Texas,Houston,2,1.6
Fasteners,Consumer,Central,Standard Class,Karen Daniels,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Karen Daniels,United States,Office Supplies,Texas,Houston,2,0.4
Appliances,Consumer,Central,Standard Class,Emily Phan,United States,Office Supplies,Texas,Houston,,
Art,Consumer,Central,Standard Class,Emily Phan,United States,Office Supplies,Texas,Houston,,
Binders,Consumer,Central,Standard Class,Emily Phan,United States,Office Supplies,Texas,Houston,2,1.6
Fasteners,Consumer,Central,Standard Class,Emily Phan,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Emily Phan,United States,Office Supplies,Texas,Houston,,
Appliances,Consumer,Central,Standard Class,Emily Phan,United States,Office Supplies,Illinois,Chicago,,
Art,Consumer,Central,Standard Class,Emily Phan,United States,Office Supplies,Illinois,Chicago,2,0.4
Binders,Consumer,Central,Standard Class,Emily Phan,United States,Office Supplies,Illinois,Chicago,,
Fasteners,Consumer,Central,Standard Class,Emily Phan,United States,Office Supplies,Illinois,Chicago,,
Paper,Consumer,Central,Standard Class,Emily Phan,United States,Office Supplies,Illinois,Chicago,,
Appliances,Consumer,Central,Standard Class,Emily Phan,United States,Office Supplies,Michigan,Detroit,,
Art,Consumer,Central,Standard Class,Emily Phan,United States,Office Supplies,Michigan,Detroit,1,0
Binders,Consumer,Central,Standard Class,Emily Phan,United States,Office Supplies,Michigan,Detroit,,
Fasteners,Consumer,Central,Standard Class,Emily Phan,United States,Office Supplies,Michigan,Detroit,,
Paper,Consumer,Central,Standard Class,Emily Phan,United States,Office Supplies,Michigan,Detroit,,
Appliances,Consumer,Central,Standard Class,Eric Hoffmann,United States,Office Supplies,Texas,Houston,,
Art,Consumer,Central,Standard Class,Eric Hoffmann,United States,Office Supplies,Texas,Houston,,
Binders,Consumer,Central,Standard Class,Eric Hoffmann,United States,Office Supplies,Texas,Houston,2,1.6
Fasteners,Consumer,Central,Standard Class,Eric Hoffmann,United States,Office Supplies,Texas,Houston,1,0.2
Paper,Consumer,Central,Standard Class,Eric Hoffmann,United States,Office Supplies,Texas,Houston,1,0.2
Appliances,Consumer,Central,Standard Class,Sam Craven,United States,Office Supplies,Texas,Plano,,
Art,Consumer,Central,Standard Class,Sam Craven,United States,Office Supplies,Texas,Plano,,
Binders,Consumer,Central,Standard Class,Sam Craven,United States,Office Supplies,Texas,Plano,1,0.8
Fasteners,Consumer,Central,Standard Class,Sam Craven,United States,Office Supplies,Texas,Plano,,
Paper,Consumer,Central,Standard Class,Sam Craven,United States,Office Supplies,Texas,Plano,2,0.4
Appliances,Consumer,Central,Standard Class,Sam Craven,United States,Office Supplies,Texas,Houston,1,0.8
Art,Consumer,Central,Standard Class,Sam Craven,United States,Office Supplies,Texas,Houston,,
Binders,Consumer,Central,Standard Class,Sam Craven,United States,Office Supplies,Texas,Houston,,
Fasteners,Consumer,Central,Standard Class,Sam Craven,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Sam Craven,United States,Office Supplies,Texas,Houston,,
Appliances,Consumer,Central,Standard Class,Sam Craven,United States,Office Supplies,Michigan,Midland,,
Art,Consumer,Central,Standard Class,Sam Craven,United States,Office Supplies,Michigan,Midland,1,0
Binders,Consumer,Central,Standard Class,Sam Craven,United States,Office Supplies,Michigan,Midland,,
Fasteners,Consumer,Central,Standard Class,Sam Craven,United States,Office Supplies,Michigan,Midland,,
Paper,Consumer,Central,Standard Class,Sam Craven,United States,Office Supplies,Michigan,Midland,2,0
Appliances,Consumer,Central,Standard Class,Thomas Thornton,United States,Office Supplies,Texas,Houston,,
Art,Consumer,Central,Standard Class,Thomas Thornton,United States,Office Supplies,Texas,Houston,1,0.2
Binders,Consumer,Central,Standard Class,Thomas Thornton,United States,Office Supplies,Texas,Houston,2,1.6
Fasteners,Consumer,Central,Standard Class,Thomas Thornton,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Thomas Thornton,United States,Office Supplies,Texas,Houston,1,0.2
Appliances,Consumer,Central,Standard Class,Ken Lonsdale,United States,Office Supplies,Texas,Houston,1,0.8
Art,Consumer,Central,Standard Class,Ken Lonsdale,United States,Office Supplies,Texas,Houston,,
Binders,Consumer,Central,Standard Class,Ken Lonsdale,United States,Office Supplies,Texas,Houston,1,0.8
Fasteners,Consumer,Central,Standard Class,Ken Lonsdale,United States,Office Supplies,Texas,Houston,1,0.2
Paper,Consumer,Central,Standard Class,Ken Lonsdale,United States,Office Supplies,Texas,Houston,,
Appliances,Consumer,Central,Standard Class,Ken Lonsdale,United States,Office Supplies,Michigan,Detroit,1,0.1
Art,Consumer,Central,Standard Class,Ken Lonsdale,United States,Office Supplies,Michigan,Detroit,,
Binders,Consumer,Central,Standard Class,Ken Lonsdale,United States,Office Supplies,Michigan,Detroit,,
Fasteners,Consumer,Central,Standard Class,Ken Lonsdale,United States,Office Supplies,Michigan,Detroit,,
Paper,Consumer,Central,Standard Class,Ken Lonsdale,United States,Office Supplies,Michigan,Detroit,,
Appliances,Consumer,Central,Standard Class,Christy Brittain,United States,Office Supplies,Illinois,Chicago,1,0.8
Art,Consumer,Central,Standard Class,Christy Brittain,United States,Office Supplies,Illinois,Chicago,1,0.2
Binders,Consumer,Central,Standard Class,Christy Brittain,United States,Office Supplies,Illinois,Chicago,1,0.8
Fasteners,Consumer,Central,Standard Class,Christy Brittain,United States,Office Supplies,Illinois,Chicago,,
Paper,Consumer,Central,Standard Class,Christy Brittain,United States,Office Supplies,Illinois,Chicago,,
Appliances,Consumer,Central,Standard Class,Jeremy Ellison,United States,Office Supplies,Texas,Houston,,
Art,Consumer,Central,Standard Class,Jeremy Ellison,United States,Office Supplies,Texas,Houston,1,0.2
Binders,Consumer,Central,Standard Class,Jeremy Ellison,United States,Office Supplies,Texas,Houston,2,1.6
Fasteners,Consumer,Central,Standard Class,Jeremy Ellison,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Jeremy Ellison,United States,Office Supplies,Texas,Houston,,
Appliances,Consumer,Central,Standard Class,Liz Thompson,United States,Office Supplies,Texas,San Antonio,,
Art,Consumer,Central,Standard Class,Liz Thompson,United States,Office Supplies,Texas,San Antonio,,
Binders,Consumer,Central,Standard Class,Liz Thompson,United States,Office Supplies,Texas,San Antonio,1,0.8
Fasteners,Consumer,Central,Standard Class,Liz Thompson,United States,Office Supplies,Texas,San Antonio,,
Paper,Consumer,Central,Standard Class,Liz Thompson,United States,Office Supplies,Texas,San Antonio,1,0.2
Appliances,Consumer,Central,Standard Class,Liz Thompson,United States,Office Supplies,Illinois,Bloomington,,
Art,Consumer,Central,Standard Class,Liz Thompson,United States,Office Supplies,Illinois,Bloomington,,
Binders,Consumer,Central,Standard Class,Liz Thompson,United States,Office Supplies,Illinois,Bloomington,1,0.8
Fasteners,Consumer,Central,Standard Class,Liz Thompson,United States,Office Supplies,Illinois,Bloomington,,
Paper,Consumer,Central,Standard Class,Liz Thompson,United States,Office Supplies,Illinois,Bloomington,,
Appliances,Consumer,Central,Standard Class,Shahid Shariari,United States,Office Supplies,Illinois,Oswego,,
Art,Consumer,Central,Standard Class,Shahid Shariari,United States,Office Supplies,Illinois,Oswego,,
Binders,Consumer,Central,Standard Class,Shahid Shariari,United States,Office Supplies,Illinois,Oswego,2,1.6
Fasteners,Consumer,Central,Standard Class,Shahid Shariari,United States,Office Supplies,Illinois,Oswego,1,0.2
Paper,Consumer,Central,Standard Class,Shahid Shariari,United States,Office Supplies,Illinois,Oswego,,
Appliances,Consumer,Central,Standard Class,Art Ferguson,United States,Office Supplies,Illinois,Chicago,,
Art,Consumer,Central,Standard Class,Art Ferguson,United States,Office Supplies,Illinois,Chicago,,
Binders,Consumer,Central,Standard Class,Art Ferguson,United States,Office Supplies,Illinois,Chicago,2,1.6
Fasteners,Consumer,Central,Standard Class,Art Ferguson,United States,Office Supplies,Illinois,Chicago,,
Paper,Consumer,Central,Standard Class,Art Ferguson,United States,Office Supplies,Illinois,Chicago,,
Appliances,Consumer,Central,Standard Class,Berenike Kampe,United States,Office Supplies,Illinois,Chicago,1,0.8
Art,Consumer,Central,Standard Class,Berenike Kampe,United States,Office Supplies,Illinois,Chicago,,
Binders,Consumer,Central,Standard Class,Berenike Kampe,United States,Office Supplies,Illinois,Chicago,1,0.8
Fasteners,Consumer,Central,Standard Class,Berenike Kampe,United States,Office Supplies,Illinois,Chicago,,
Paper,Consumer,Central,Standard Class,Berenike Kampe,United States,Office Supplies,Illinois,Chicago,,
Appliances,Consumer,Central,Standard Class,Carol Darley,United States,Office Supplies,Texas,Tyler,1,0.8
Art,Consumer,Central,Standard Class,Carol Darley,United States,Office Supplies,Texas,Tyler,,
Binders,Consumer,Central,Standard Class,Carol Darley,United States,Office Supplies,Texas,Tyler,1,0.8
Fasteners,Consumer,Central,Standard Class,Carol Darley,United States,Office Supplies,Texas,Tyler,,
Paper,Consumer,Central,Standard Class,Carol Darley,United States,Office Supplies,Texas,Tyler,,
Appliances,Consumer,Central,Standard Class,Christina Anderson,United States,Office Supplies,Illinois,Chicago,,
Art,Consumer,Central,Standard Class,Christina Anderson,United States,Office Supplies,Illinois,Chicago,,
Binders,Consumer,Central,Standard Class,Christina Anderson,United States,Office Supplies,Illinois,Chicago,1,0.8
Fasteners,Consumer,Central,Standard Class,Christina Anderson,United States,Office Supplies,Illinois,Chicago,,
Paper,Consumer,Central,Standard Class,Christina Anderson,United States,Office Supplies,Illinois,Chicago,,
Appliances,Consumer,Central,Standard Class,Christina Anderson,United States,Office Supplies,Texas,Waco,,
Art,Consumer,Central,Standard Class,Christina Anderson,United States,Office Supplies,Texas,Waco,,
Binders,Consumer,Central,Standard Class,Christina Anderson,United States,Office Supplies,Texas,Waco,1,0.8
Fasteners,Consumer,Central,Standard Class,Christina Anderson,United States,Office Supplies,Texas,Waco,,
Paper,Consumer,Central,Standard Class,Christina Anderson,United States,Office Supplies,Texas,Waco,,
Appliances,Consumer,Central,Standard Class,Dorothy Dickinson,United States,Office Supplies,Illinois,Chicago,,
Art,Consumer,Central,Standard Class,Dorothy Dickinson,United States,Office Supplies,Illinois,Chicago,,
Binders,Consumer,Central,Standard Class,Dorothy Dickinson,United States,Office Supplies,Illinois,Chicago,1,0.8
Fasteners,Consumer,Central,Standard Class,Dorothy Dickinson,United States,Office Supplies,Illinois,Chicago,,
Paper,Consumer,Central,Standard Class,Dorothy Dickinson,United States,Office Supplies,Illinois,Chicago,,
Appliances,Consumer,Central,Standard Class,Dorothy Dickinson,United States,Office Supplies,Texas,Houston,,
Art,Consumer,Central,Standard Class,Dorothy Dickinson,United States,Office Supplies,Texas,Houston,,
Binders,Consumer,Central,Standard Class,Dorothy Dickinson,United States,Office Supplies,Texas,Houston,1,0.8
Fasteners,Consumer,Central,Standard Class,Dorothy Dickinson,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Dorothy Dickinson,United States,Office Supplies,Texas,Houston,,
Appliances,Consumer,Central,Standard Class,Joe Elijah,United States,Office Supplies,Texas,Houston,,
Art,Consumer,Central,Standard Class,Joe Elijah,United States,Office Supplies,Texas,Houston,,
Binders,Consumer,Central,Standard Class,Joe Elijah,United States,Office Supplies,Texas,Houston,2,1.6
Fasteners,Consumer,Central,Standard Class,Joe Elijah,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Joe Elijah,United States,Office Supplies,Texas,Houston,,
Appliances,Consumer,Central,Standard Class,Michael Nguyen,United States,Office Supplies,Texas,Dallas,1,0.8
Art,Consumer,Central,Standard Class,Michael Nguyen,United States,Office Supplies,Texas,Dallas,,
Binders,Consumer,Central,Standard Class,Michael Nguyen,United States,Office Supplies,Texas,Dallas,1,0.8
Fasteners,Consumer,Central,Standard Class,Michael Nguyen,United States,Office Supplies,Texas,Dallas,,
Paper,Consumer,Central,Standard Class,Michael Nguyen,United States,Office Supplies,Texas,Dallas,,
Appliances,Consumer,Central,Standard Class,Natalie DeCherney,United States,Office Supplies,Texas,Houston,,
Art,Consumer,Central,Standard Class,Natalie DeCherney,United States,Office Supplies,Texas,Houston,,
Binders,Consumer,Central,Standard Class,Natalie DeCherney,United States,Office Supplies,Texas,Houston,2,1.6
Fasteners,Consumer,Central,Standard Class,Natalie DeCherney,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Natalie DeCherney,United States,Office Supplies,Texas,Houston,,
Appliances,Consumer,Central,Standard Class,Patrick Gardner,United States,Office Supplies,Texas,Carrollton,1,0.8
Art,Consumer,Central,Standard Class,Patrick Gardner,United States,Office Supplies,Texas,Carrollton,,
Binders,Consumer,Central,Standard Class,Patrick Gardner,United States,Office Supplies,Texas,Carrollton,1,0.8
Fasteners,Consumer,Central,Standard Class,Patrick Gardner,United States,Office Supplies,Texas,Carrollton,,
Paper,Consumer,Central,Standard Class,Patrick Gardner,United States,Office Supplies,Texas,Carrollton,,
Appliances,Consumer,Central,Standard Class,Resi Pölking,United States,Office Supplies,Texas,Houston,,
Art,Consumer,Central,Standard Class,Resi Pölking,United States,Office Supplies,Texas,Houston,,
Binders,Consumer,Central,Standard Class,Resi Pölking,United States,Office Supplies,Texas,Houston,2,1.6
Fasteners,Consumer,Central,Standard Class,Resi Pölking,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Resi Pölking,United States,Office Supplies,Texas,Houston,,
Appliances,Consumer,Central,Standard Class,Tom Prescott,United States,Office Supplies,Texas,Houston,1,0.8
Art,Consumer,Central,Standard Class,Tom Prescott,United States,Office Supplies,Texas,Houston,,
Binders,Consumer,Central,Standard Class,Tom Prescott,United States,Office Supplies,Texas,Houston,1,0.8
Fasteners,Consumer,Central,Standard Class,Tom Prescott,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Tom Prescott,United States,Office Supplies,Texas,Houston,,
Appliances,Consumer,Central,Standard Class,Chloris Kastensmidt,United States,Office Supplies,Texas,Mcallen,,
Art,Consumer,Central,Standard Class,Chloris Kastensmidt,United States,Office Supplies,Texas,Mcallen,2,0.4
Binders,Consumer,Central,Standard Class,Chloris Kastensmidt,United States,Office Supplies,Texas,Mcallen,1,0.8
Fasteners,Consumer,Central,Standard Class,Chloris Kastensmidt,United States,Office Supplies,Texas,Mcallen,,
Paper,Consumer,Central,Standard Class,Chloris Kastensmidt,United States,Office Supplies,Texas,Mcallen,1,0.2
Appliances,Consumer,Central,Standard Class,Kean Takahito,United States,Office Supplies,Illinois,Chicago,,
Art,Consumer,Central,Standard Class,Kean Takahito,United States,Office Supplies,Illinois,Chicago,1,0.2
Binders,Consumer,Central,Standard Class,Kean Takahito,United States,Office Supplies,Illinois,Chicago,1,0.8
Fasteners,Consumer,Central,Standard Class,Kean Takahito,United States,Office Supplies,Illinois,Chicago,,
Paper,Consumer,Central,Standard Class,Kean Takahito,United States,Office Supplies,Illinois,Chicago,,
Appliances,Consumer,Central,Standard Class,Kean Takahito,United States,Office Supplies,Texas,Houston,,
Art,Consumer,Central,Standard Class,Kean Takahito,United States,Office Supplies,Texas,Houston,,
Binders,Consumer,Central,Standard Class,Kean Takahito,United States,Office Supplies,Texas,Houston,,
Fasteners,Consumer,Central,Standard Class,Kean Takahito,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Kean Takahito,United States,Office Supplies,Texas,Houston,2,0.4
Appliances,Consumer,Central,Standard Class,Alex Grayson,United States,Office Supplies,Texas,Houston,,
Art,Consumer,Central,Standard Class,Alex Grayson,United States,Office Supplies,Texas,Houston,,
Binders,Consumer,Central,Standard Class,Alex Grayson,United States,Office Supplies,Texas,Houston,1,0.8
Fasteners,Consumer,Central,Standard Class,Alex Grayson,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Alex Grayson,United States,Office Supplies,Texas,Houston,2,0.4
Appliances,Consumer,Central,Standard Class,Becky Martin,United States,Office Supplies,Texas,San Antonio,1,0.8
Art,Consumer,Central,Standard Class,Becky Martin,United States,Office Supplies,Texas,San Antonio,2,0.4
Binders,Consumer,Central,Standard Class,Becky Martin,United States,Office Supplies,Texas,San Antonio,,
Fasteners,Consumer,Central,Standard Class,Becky Martin,United States,Office Supplies,Texas,San Antonio,,
Paper,Consumer,Central,Standard Class,Becky Martin,United States,Office Supplies,Texas,San Antonio,,
Appliances,Consumer,Central,Standard Class,Bradley Drucker,United States,Office Supplies,Illinois,Chicago,,
Art,Consumer,Central,Standard Class,Bradley Drucker,United States,Office Supplies,Illinois,Chicago,,
Binders,Consumer,Central,Standard Class,Bradley Drucker,United States,Office Supplies,Illinois,Chicago,1,0.8
Fasteners,Consumer,Central,Standard Class,Bradley Drucker,United States,Office Supplies,Illinois,Chicago,,
Paper,Consumer,Central,Standard Class,Bradley Drucker,United States,Office Supplies,Illinois,Chicago,2,0.4
Appliances,Consumer,Central,Standard Class,Helen Andreada,United States,Office Supplies,Texas,Laredo,,
Art,Consumer,Central,Standard Class,Helen Andreada,United States,Office Supplies,Texas,Laredo,1,0.2
Binders,Consumer,Central,Standard Class,Helen Andreada,United States,Office Supplies,Texas,Laredo,1,0.8
Fasteners,Consumer,Central,Standard Class,Helen Andreada,United States,Office Supplies,Texas,Laredo,,
Paper,Consumer,Central,Standard Class,Helen Andreada,United States,Office Supplies,Texas,Laredo,1,0.2
Appliances,Consumer,Central,Standard Class,Joy Daniels,United States,Office Supplies,Illinois,Chicago,,
Art,Consumer,Central,Standard Class,Joy Daniels,United States,Office Supplies,Illinois,Chicago,,
Binders,Consumer,Central,Standard Class,Joy Daniels,United States,Office Supplies,Illinois,Chicago,1,0.8
Fasteners,Consumer,Central,Standard Class,Joy Daniels,United States,Office Supplies,Illinois,Chicago,1,0.2
Paper,Consumer,Central,Standard Class,Joy Daniels,United States,Office Supplies,Illinois,Chicago,1,0.2
Appliances,Consumer,Central,Standard Class,Russell D'Ascenzo,United States,Office Supplies,Texas,Dallas,,
Art,Consumer,Central,Standard Class,Russell D'Ascenzo,United States,Office Supplies,Texas,Dallas,,
Binders,Consumer,Central,Standard Class,Russell D'Ascenzo,United States,Office Supplies,Texas,Dallas,1,0.8
Fasteners,Consumer,Central,Standard Class,Russell D'Ascenzo,United States,Office Supplies,Texas,Dallas,2,0.4
Paper,Consumer,Central,Standard Class,Russell D'Ascenzo,United States,Office Supplies,Texas,Dallas,,
Appliances,Consumer,Central,Standard Class,Adrian Barton,United States,Office Supplies,Texas,Houston,,
Art,Consumer,Central,Standard Class,Adrian Barton,United States,Office Supplies,Texas,Houston,1,0.2
Binders,Consumer,Central,Standard Class,Adrian Barton,United States,Office Supplies,Texas,Houston,1,0.8
Fasteners,Consumer,Central,Standard Class,Adrian Barton,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Adrian Barton,United States,Office Supplies,Texas,Houston,,
Appliances,Consumer,Central,Standard Class,Adrian Barton,United States,Office Supplies,Michigan,Detroit,,
Art,Consumer,Central,Standard Class,Adrian Barton,United States,Office Supplies,Michigan,Detroit,,
Binders,Consumer,Central,Standard Class,Adrian Barton,United States,Office Supplies,Michigan,Detroit,1,0
Fasteners,Consumer,Central,Standard Class,Adrian Barton,United States,Office Supplies,Michigan,Detroit,,
Paper,Consumer,Central,Standard Class,Adrian Barton,United States,Office Supplies,Michigan,Detroit,,
Appliances,Consumer,Central,Standard Class,Cindy Chapman,United States,Office Supplies,Texas,Houston,1,0.8
Art,Consumer,Central,Standard Class,Cindy Chapman,United States,Office Supplies,Texas,Houston,,
Binders,Consumer,Central,Standard Class,Cindy Chapman,United States,Office Supplies,Texas,Houston,,
Fasteners,Consumer,Central,Standard Class,Cindy Chapman,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Cindy Chapman,United States,Office Supplies,Texas,Houston,1,0.2
Appliances,Consumer,Central,Standard Class,Craig Carroll,United States,Office Supplies,Texas,Lubbock,,
Art,Consumer,Central,Standard Class,Craig Carroll,United States,Office Supplies,Texas,Lubbock,,
Binders,Consumer,Central,Standard Class,Craig Carroll,United States,Office Supplies,Texas,Lubbock,1,0.8
Fasteners,Consumer,Central,Standard Class,Craig Carroll,United States,Office Supplies,Texas,Lubbock,,
Paper,Consumer,Central,Standard Class,Craig Carroll,United States,Office Supplies,Texas,Lubbock,1,0.2
Appliances,Consumer,Central,Standard Class,Frank Olsen,United States,Office Supplies,Illinois,Chicago,,
Art,Consumer,Central,Standard Class,Frank Olsen,United States,Office Supplies,Illinois,Chicago,,
Binders,Consumer,Central,Standard Class,Frank Olsen,United States,Office Supplies,Illinois,Chicago,1,0.8
Fasteners,Consumer,Central,Standard Class,Frank Olsen,United States,Office Supplies,Illinois,Chicago,,
Paper,Consumer,Central,Standard Class,Frank Olsen,United States,Office Supplies,Illinois,Chicago,,
Appliances,Consumer,Central,Standard Class,Frank Olsen,United States,Office Supplies,Texas,Houston,,
Art,Consumer,Central,Standard Class,Frank Olsen,United States,Office Supplies,Texas,Houston,1,0.2
Binders,Consumer,Central,Standard Class,Frank Olsen,United States,Office Supplies,Texas,Houston,,
