Date.Quarter,Product.Category-Subcategory.Category,Product.Category-Subcategory.Subcategory,Product.Brand,Customer.Geography.Continent,Customer.Geography.Country,Customer.Geography.State,Customer.Geography.City,Customer.Name,Store.Square Meters,Store.State,Store.Status,Sales.Total Cost,Sales.Margin,Sales.Sales Amount
Q3,Audio,MP4&MP3,Contoso,Europe,France,Provence-Alpes-Côte d'Azur,Toulon,Pierre Perillard,385,Limousin,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,France,Provence-Alpes-Côte d'Azur,Toulon,Pierre Perillard,385,Limousin,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,Germany,Baden-Württemberg,Westhausen,Tobias Barth,350,Saarland,,71.44,74.5984,146.0384
Q2,Audio,MP4&MP3,Contoso,Europe,Germany,Baden-Württemberg,Westhausen,Tobias Barth,350,Saarland,,,,
Q3,Audio,MP4&MP3,Contoso,Europe,Germany,Baden-Württemberg,Westhausen,Tobias Barth,350,Saarland,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,Germany,Baden-Württemberg,Westhausen,Tobias Barth,350,Saarland,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,Germany,Berlin,Berlin Wittenau,Katharina Zimmer,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,Europe,Germany,Berlin,Berlin Wittenau,Katharina Zimmer,,Online,,17.874000000000002,17.198999999999998,35.073
Q3,Audio,MP4&MP3,Contoso,Europe,Germany,Berlin,Berlin Wittenau,Katharina Zimmer,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,Germany,Berlin,Berlin Wittenau,Katharina Zimmer,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,Germany,Freistaat Bayern,Hof,Stefan Neustadt,350,Saarland,,,,
Q2,Audio,MP4&MP3,Contoso,Europe,Germany,Freistaat Bayern,Hof,Stefan Neustadt,350,Saarland,,,,
Q3,Audio,MP4&MP3,Contoso,Europe,Germany,Freistaat Bayern,Hof,Stefan Neustadt,350,Saarland,,152.89999999999998,147.05,299.95
Q4,Audio,MP4&MP3,Contoso,Europe,Germany,Freistaat Bayern,Hof,Stefan Neustadt,350,Saarland,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,Germany,Freistaat Bayern,Peiting,Peter Vogler,"1,295",Berlin,,,,
Q2,Audio,MP4&MP3,Contoso,Europe,Germany,Freistaat Bayern,Peiting,Peter Vogler,"1,295",Berlin,,50.56,59.39,109.95
Q3,Audio,MP4&MP3,Contoso,Europe,Germany,Freistaat Bayern,Peiting,Peter Vogler,"1,295",Berlin,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,Germany,Freistaat Bayern,Peiting,Peter Vogler,"1,295",Berlin,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,Germany,Freistaat Thüringen,Erfurt,David Kohl,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,Europe,Germany,Freistaat Thüringen,Erfurt,David Kohl,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,Europe,Germany,Freistaat Thüringen,Erfurt,David Kohl,,Online,,45.504,53.451,98.955
Q4,Audio,MP4&MP3,Contoso,Europe,Germany,Freistaat Thüringen,Erfurt,David Kohl,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,Germany,Mecklenburg-Vorpommern,Bibow,Lea Mehler,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,Europe,Germany,Mecklenburg-Vorpommern,Bibow,Lea Mehler,,Online,,151.68,178.17000000000002,329.85
Q3,Audio,MP4&MP3,Contoso,Europe,Germany,Mecklenburg-Vorpommern,Bibow,Lea Mehler,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,Germany,Mecklenburg-Vorpommern,Bibow,Lea Mehler,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,Germany,Niedersachsen,Rastorf,Katja Bach,"1,855",Hessen,,,,
Q2,Audio,MP4&MP3,Contoso,Europe,Germany,Niedersachsen,Rastorf,Katja Bach,"1,855",Hessen,,39.6,27.95723999999999,67.55724
Q3,Audio,MP4&MP3,Contoso,Europe,Germany,Niedersachsen,Rastorf,Katja Bach,"1,855",Hessen,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,Germany,Niedersachsen,Rastorf,Katja Bach,"1,855",Hessen,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,Germany,Rheinland-Pfalz,Kobern-Gondorf,Tim Krüger,"2,800",Mecklenburg-Vorpommern,,,,
Q2,Audio,MP4&MP3,Contoso,Europe,Germany,Rheinland-Pfalz,Kobern-Gondorf,Tim Krüger,"2,800",Mecklenburg-Vorpommern,,165.474,194.346,359.82
Q3,Audio,MP4&MP3,Contoso,Europe,Germany,Rheinland-Pfalz,Kobern-Gondorf,Tim Krüger,"2,800",Mecklenburg-Vorpommern,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,Germany,Rheinland-Pfalz,Kobern-Gondorf,Tim Krüger,"2,800",Mecklenburg-Vorpommern,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,Italy,Genova,Crocefieschi,Alessio Pirozzi,"1,000",Enna,,,,
Q2,Audio,MP4&MP3,Contoso,Europe,Italy,Genova,Crocefieschi,Alessio Pirozzi,"1,000",Enna,,,,
Q3,Audio,MP4&MP3,Contoso,Europe,Italy,Genova,Crocefieschi,Alessio Pirozzi,"1,000",Enna,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,Italy,Genova,Crocefieschi,Alessio Pirozzi,"1,000",Enna,,11,8.197299999999998,19.1973
Q1,Audio,MP4&MP3,Contoso,Europe,Italy,Reggio Emilia,Canali,Filomena Marcelo,,Online,,84.49,134.81,219.3
Q2,Audio,MP4&MP3,Contoso,Europe,Italy,Reggio Emilia,Canali,Filomena Marcelo,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,Europe,Italy,Reggio Emilia,Canali,Filomena Marcelo,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,Italy,Reggio Emilia,Canali,Filomena Marcelo,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,Italy,Rieti,Montisola,Flavia Manna,"2,100",Pesaro,,61.16,58.82000000000001,119.98
Q2,Audio,MP4&MP3,Contoso,Europe,Italy,Rieti,Montisola,Flavia Manna,"2,100",Pesaro,,,,
Q3,Audio,MP4&MP3,Contoso,Europe,Italy,Rieti,Montisola,Flavia Manna,"2,100",Pesaro,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,Italy,Rieti,Montisola,Flavia Manna,"2,100",Pesaro,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,Italy,Trieste,Trieste,Lilla Monaldo,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,Europe,Italy,Trieste,Trieste,Lilla Monaldo,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,Europe,Italy,Trieste,Trieste,Lilla Monaldo,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,Italy,Trieste,Trieste,Lilla Monaldo,,Online,,45.504,53.451,98.955
Q1,Audio,MP4&MP3,Contoso,Europe,Netherlands,Groningen,Ten Boer,Karola Korkmaz,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,Europe,Netherlands,Groningen,Ten Boer,Karola Korkmaz,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,Europe,Netherlands,Groningen,Ten Boer,Karola Korkmaz,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,Netherlands,Groningen,Ten Boer,Karola Korkmaz,,Online,,640.14,751.86,1392
Q1,Audio,MP4&MP3,Contoso,Europe,Netherlands,Noord-Brabant,Sprang-Capelle,Gabi Krijnen,,Online,,30.58,29.410000000000004,59.99
Q2,Audio,MP4&MP3,Contoso,Europe,Netherlands,Noord-Brabant,Sprang-Capelle,Gabi Krijnen,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,Europe,Netherlands,Noord-Brabant,Sprang-Capelle,Gabi Krijnen,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,Netherlands,Noord-Brabant,Sprang-Capelle,Gabi Krijnen,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,Netherlands,Noord-Holland,Oostzaan,Tahira Leurink,"1,540",Friesland,,184.85999999999999,180.96,365.82
Q2,Audio,MP4&MP3,Contoso,Europe,Netherlands,Noord-Holland,Oostzaan,Tahira Leurink,"1,540",Friesland,,,,
Q3,Audio,MP4&MP3,Contoso,Europe,Netherlands,Noord-Holland,Oostzaan,Tahira Leurink,"1,540",Friesland,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,Netherlands,Noord-Holland,Oostzaan,Tahira Leurink,"1,540",Friesland,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,Netherlands,Utrecht,Bunnik,Jochen Bonte,"1,540",Friesland,,,,
Q2,Audio,MP4&MP3,Contoso,Europe,Netherlands,Utrecht,Bunnik,Jochen Bonte,"1,540",Friesland,,,,
Q3,Audio,MP4&MP3,Contoso,Europe,Netherlands,Utrecht,Bunnik,Jochen Bonte,"1,540",Friesland,,152.082,306.918,459
Q4,Audio,MP4&MP3,Contoso,Europe,Netherlands,Utrecht,Bunnik,Jochen Bonte,"1,540",Friesland,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,Netherlands,Zuid-Holland,Leiden,Teddy Dorst,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,Europe,Netherlands,Zuid-Holland,Leiden,Teddy Dorst,,Online,,99.14,158.19780000000003,257.3378
Q3,Audio,MP4&MP3,Contoso,Europe,Netherlands,Zuid-Holland,Leiden,Teddy Dorst,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,Netherlands,Zuid-Holland,Leiden,Teddy Dorst,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,United Kingdom,Aylesbury Vale,Upton,Katie Palmer,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,Europe,United Kingdom,Aylesbury Vale,Upton,Katie Palmer,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,Europe,United Kingdom,Aylesbury Vale,Upton,Katie Palmer,,Online,,533.45,614.95,1148.4
Q4,Audio,MP4&MP3,Contoso,Europe,United Kingdom,Aylesbury Vale,Upton,Katie Palmer,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,United Kingdom,Norfolk,Wilby,Aimee Howarth,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,Europe,United Kingdom,Norfolk,Wilby,Aimee Howarth,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,Europe,United Kingdom,Norfolk,Wilby,Aimee Howarth,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,United Kingdom,Norfolk,Wilby,Aimee Howarth,,Online,,11,10.57,21.57
Q1,Audio,MP4&MP3,Contoso,Europe,United Kingdom,South Lanarkshire,Blackwood,Dylan Fry,"1,300",Dungannon and South Tyrone,,,,
Q2,Audio,MP4&MP3,Contoso,Europe,United Kingdom,South Lanarkshire,Blackwood,Dylan Fry,"1,300",Dungannon and South Tyrone,,308.09999999999997,361.90000000000003,670
Q3,Audio,MP4&MP3,Contoso,Europe,United Kingdom,South Lanarkshire,Blackwood,Dylan Fry,"1,300",Dungannon and South Tyrone,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,United Kingdom,South Lanarkshire,Blackwood,Dylan Fry,"1,300",Dungannon and South Tyrone,,,,
Q1,Audio,MP4&MP3,Contoso,North America,Canada,Alberta,Banff,Viola Hughes,"2,105",Newfoundland and Labrador,,,,
Q2,Audio,MP4&MP3,Contoso,North America,Canada,Alberta,Banff,Viola Hughes,"2,105",Newfoundland and Labrador,,,,
Q3,Audio,MP4&MP3,Contoso,North America,Canada,Alberta,Banff,Viola Hughes,"2,105",Newfoundland and Labrador,,183.48,129.66779999999997,313.14779999999996
Q4,Audio,MP4&MP3,Contoso,North America,Canada,Alberta,Banff,Viola Hughes,"2,105",Newfoundland and Labrador,,,,
Q1,Audio,MP4&MP3,Contoso,North America,Canada,British Columbia,Dragon Lake,Norma Robbins,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,North America,Canada,British Columbia,Dragon Lake,Norma Robbins,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,North America,Canada,British Columbia,Dragon Lake,Norma Robbins,,Online,,101.12,94.59100000000001,195.711
Q4,Audio,MP4&MP3,Contoso,North America,Canada,British Columbia,Dragon Lake,Norma Robbins,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,North America,Canada,British Columbia,Haney,Jose McGuire,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,North America,Canada,British Columbia,Haney,Jose McGuire,,Online,,13.24,12.74,25.98
Q3,Audio,MP4&MP3,Contoso,North America,Canada,British Columbia,Haney,Jose McGuire,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,North America,Canada,British Columbia,Haney,Jose McGuire,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,North America,Canada,British Columbia,Nanaimo,Angela Castonguay,"3,500",New Brunswick,,,,
Q2,Audio,MP4&MP3,Contoso,North America,Canada,British Columbia,Nanaimo,Angela Castonguay,"3,500",New Brunswick,,,,
Q3,Audio,MP4&MP3,Contoso,North America,Canada,British Columbia,Nanaimo,Angela Castonguay,"3,500",New Brunswick,,106.69,97.47,204.16
Q4,Audio,MP4&MP3,Contoso,North America,Canada,British Columbia,Nanaimo,Angela Castonguay,"3,500",New Brunswick,,,,
Q1,Audio,MP4&MP3,Contoso,North America,Canada,Nunavut,Baker Lake,Richard Smith,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,North America,Canada,Nunavut,Baker Lake,Richard Smith,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,North America,Canada,Nunavut,Baker Lake,Richard Smith,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,North America,Canada,Nunavut,Baker Lake,Richard Smith,,Online,,675.92,1364.08,2040
Q1,Audio,MP4&MP3,Contoso,North America,Canada,Ontario,Hamilton,Warren Thompson,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,North America,Canada,Ontario,Hamilton,Warren Thompson,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,North America,Canada,Ontario,Hamilton,Warren Thompson,,Online,,96.021,112.77900000000001,208.8
Q4,Audio,MP4&MP3,Contoso,North America,Canada,Ontario,Hamilton,Warren Thompson,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,North America,Canada,Ontario,Windsor,Marla Marquez,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,North America,Canada,Ontario,Windsor,Marla Marquez,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,North America,Canada,Ontario,Windsor,Marla Marquez,,Online,,183.86,215.94,399.8
Q4,Audio,MP4&MP3,Contoso,North America,Canada,Ontario,Windsor,Marla Marquez,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,North America,Canada,Quebec,Hull,Ellen Hancock,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,North America,Canada,Quebec,Hull,Ellen Hancock,,Online,,19.8,13.59036,33.39036
Q3,Audio,MP4&MP3,Contoso,North America,Canada,Quebec,Hull,Ellen Hancock,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,North America,Canada,Quebec,Hull,Ellen Hancock,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,Arkansas,Little Rock,Edward Brown,"2,000",Arkansas,,35.72,34.19200000000001,69.912
Q2,Audio,MP4&MP3,Contoso,North America,United States,Arkansas,Little Rock,Edward Brown,"2,000",Arkansas,,,,
Q3,Audio,MP4&MP3,Contoso,North America,United States,Arkansas,Little Rock,Edward Brown,"2,000",Arkansas,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,Arkansas,Little Rock,Edward Brown,"2,000",Arkansas,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,California,Irvine,Vincent Burke,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,North America,United States,California,Irvine,Vincent Burke,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,North America,United States,California,Irvine,Vincent Burke,,Online,,123.24,144.76,268
Q4,Audio,MP4&MP3,Contoso,North America,United States,California,Irvine,Vincent Burke,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,California,Lathrop,Patricia Costin,"2,000",South Carolina,,45.504,53.451,98.955
Q2,Audio,MP4&MP3,Contoso,North America,United States,California,Lathrop,Patricia Costin,"2,000",South Carolina,,,,
Q3,Audio,MP4&MP3,Contoso,North America,United States,California,Lathrop,Patricia Costin,"2,000",South Carolina,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,California,Lathrop,Patricia Costin,"2,000",South Carolina,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,California,Long Beach,Andrea Kristensen,"2,000",Nebraska,,,,
Q2,Audio,MP4&MP3,Contoso,North America,United States,California,Long Beach,Andrea Kristensen,"2,000",Nebraska,,,,
Q3,Audio,MP4&MP3,Contoso,North America,United States,California,Long Beach,Andrea Kristensen,"2,000",Nebraska,,288.063,275.697,563.76
Q4,Audio,MP4&MP3,Contoso,North America,United States,California,Long Beach,Andrea Kristensen,"2,000",Nebraska,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,California,San Mateo,Sally Marcial,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,North America,United States,California,San Mateo,Sally Marcial,,Online,,250.04,288.28240000000005,538.3224
Q3,Audio,MP4&MP3,Contoso,North America,United States,California,San Mateo,Sally Marcial,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,California,San Mateo,Sally Marcial,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,Colorado,Hugo,Aaron Preece,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,North America,United States,Colorado,Hugo,Aaron Preece,,Online,,288.063,338.3370000000001,626.4000000000001
Q3,Audio,MP4&MP3,Contoso,North America,United States,Colorado,Hugo,Aaron Preece,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,Colorado,Hugo,Aaron Preece,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,Colorado,Rico,Leonard Steen,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,North America,United States,Colorado,Rico,Leonard Steen,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,North America,United States,Colorado,Rico,Leonard Steen,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,Colorado,Rico,Leonard Steen,,Online,,27.522,22.68963,50.21163
Q1,Audio,MP4&MP3,Contoso,North America,United States,Florida,Jacksonville,Ken Anderson,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,North America,United States,Florida,Jacksonville,Ken Anderson,,Online,,50.56,59.39,109.95
Q3,Audio,MP4&MP3,Contoso,North America,United States,Florida,Jacksonville,Ken Anderson,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,Florida,Jacksonville,Ken Anderson,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,Florida,Lakeland,George Olivar,,Online,,106.69,102.11000000000001,208.8
Q2,Audio,MP4&MP3,Contoso,North America,United States,Florida,Lakeland,George Olivar,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,North America,United States,Florida,Lakeland,George Olivar,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,Florida,Lakeland,George Olivar,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,Illinois,East Saint Louis,Robert Grinder,,Online,,101.12,96.78999999999999,197.91
Q2,Audio,MP4&MP3,Contoso,North America,United States,Illinois,East Saint Louis,Robert Grinder,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,North America,United States,Illinois,East Saint Louis,Robert Grinder,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,Illinois,East Saint Louis,Robert Grinder,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,Massachusetts,Cambridge,Joseph Boling,"1,645",New Mexico,,,,
Q2,Audio,MP4&MP3,Contoso,North America,United States,Massachusetts,Cambridge,Joseph Boling,"1,645",New Mexico,,,,
Q3,Audio,MP4&MP3,Contoso,North America,United States,Massachusetts,Cambridge,Joseph Boling,"1,645",New Mexico,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,Massachusetts,Cambridge,Joseph Boling,"1,645",New Mexico,,183.86,175.95999999999998,359.82
Q1,Audio,MP4&MP3,Contoso,North America,United States,Michigan,Detroit,Julie Mahon,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,North America,United States,Michigan,Detroit,Julie Mahon,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,North America,United States,Michigan,Detroit,Julie Mahon,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,Michigan,Detroit,Julie Mahon,,Online,,22,15.9632,37.9632
Q1,Audio,MP4&MP3,Contoso,North America,United States,Michigan,Saginaw,Ronald Padilla,"1,785",West Virginia,,165.474,147.56940000000003,313.0434
Q2,Audio,MP4&MP3,Contoso,North America,United States,Michigan,Saginaw,Ronald Padilla,"1,785",West Virginia,,,,
Q3,Audio,MP4&MP3,Contoso,North America,United States,Michigan,Saginaw,Ronald Padilla,"1,785",West Virginia,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,Michigan,Saginaw,Ronald Padilla,"1,785",West Virginia,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,Minnesota,Minneapolis,Mikael Gundersen,,Online,,35.72,41.96000000000001,77.68
Q2,Audio,MP4&MP3,Contoso,North America,United States,Minnesota,Minneapolis,Mikael Gundersen,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,North America,United States,Minnesota,Minneapolis,Mikael Gundersen,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,Minnesota,Minneapolis,Mikael Gundersen,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,Minnesota,Wadena,Philip Coudert,840,Wyoming,,165.474,165.56040000000002,331.0344
Q2,Audio,MP4&MP3,Contoso,North America,United States,Minnesota,Wadena,Philip Coudert,840,Wyoming,,,,
Q3,Audio,MP4&MP3,Contoso,North America,United States,Minnesota,Wadena,Philip Coudert,840,Wyoming,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,Minnesota,Wadena,Philip Coudert,840,Wyoming,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,Mississippi,Ashland,Aubrey Williamson,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,North America,United States,Mississippi,Ashland,Aubrey Williamson,,Online,,107.16,104.90639999999999,212.0664
Q3,Audio,MP4&MP3,Contoso,North America,United States,Mississippi,Ashland,Aubrey Williamson,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,Mississippi,Ashland,Aubrey Williamson,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,Missouri,Maryland Heights,Roy Young,"1,260",Rhode Island,,136.512,157.38434999999998,293.89635
Q2,Audio,MP4&MP3,Contoso,North America,United States,Missouri,Maryland Heights,Roy Young,"1,260",Rhode Island,,,,
Q3,Audio,MP4&MP3,Contoso,North America,United States,Missouri,Maryland Heights,Roy Young,"1,260",Rhode Island,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,Missouri,Maryland Heights,Roy Young,"1,260",Rhode Island,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,Missouri,Powell,Stephen Mast,"3,500",North Dakota,,,,
Q2,Audio,MP4&MP3,Contoso,North America,United States,Missouri,Powell,Stephen Mast,"3,500",North Dakota,,,,
Q3,Audio,MP4&MP3,Contoso,North America,United States,Missouri,Powell,Stephen Mast,"3,500",North Dakota,,640.14,584.82,1224.96
Q4,Audio,MP4&MP3,Contoso,North America,United States,Missouri,Powell,Stephen Mast,"3,500",North Dakota,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,Nebraska,Fremont,Max Smith,"2,000",Nebraska,,71.44,83.92000000000002,155.36
Q2,Audio,MP4&MP3,Contoso,North America,United States,Nebraska,Fremont,Max Smith,"2,000",Nebraska,,,,
Q3,Audio,MP4&MP3,Contoso,North America,United States,Nebraska,Fremont,Max Smith,"2,000",Nebraska,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,Nebraska,Fremont,Max Smith,"2,000",Nebraska,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,New York,Buffalo,Kyla Alarcon,"1,295",Maine,,,,
Q2,Audio,MP4&MP3,Contoso,North America,United States,New York,Buffalo,Kyla Alarcon,"1,295",Maine,,29.79,21.650400000000005,51.440400000000004
Q3,Audio,MP4&MP3,Contoso,North America,United States,New York,Buffalo,Kyla Alarcon,"1,295",Maine,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,New York,Buffalo,Kyla Alarcon,"1,295",Maine,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,New York,Latham,Jeoffroi Fontaine,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,North America,United States,New York,Latham,Jeoffroi Fontaine,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,North America,United States,New York,Latham,Jeoffroi Fontaine,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,New York,Latham,Jeoffroi Fontaine,,Online,,106.69,99.78999999999999,206.48
Q1,Audio,MP4&MP3,Contoso,North America,United States,New York,New York,Ina Blomqvist,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,North America,United States,New York,New York,Ina Blomqvist,,Online,,122.32,100.84280000000001,223.1628
Q3,Audio,MP4&MP3,Contoso,North America,United States,New York,New York,Ina Blomqvist,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,North America,United States,New York,New York,Ina Blomqvist,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,North America,United States,New York,New York,Oliver Stipanov,,Online,,,,
