Time.FiscalYear,Store.Chain,Item.Category,Store.Territory,Item.Segment,Item.Buyer,Sales.TotalSales,Sales.TotalSalesLY,Sales.TotalUnits
2014,Fashions Direct,010-Womens,OH,4020,"Ray, Violet",10001.179999999995,10001.179999999995,820
2014,Fashions Direct,010-Womens,OH,4020,"Carr, Slade",4263.459999999999,3912.8099999999995,456
2014,Fashions Direct,010-Womens,OH,4020,"Hubbard, Quintessa",2186.85,2183.85,122
2014,Fashions Direct,010-Womens,OH,4020,"Mccray, Nayda",287.85,287.85,36
2014,Fashions Direct,010-Womens,OH,4020,"Mendez, Jerry",129.87,129.87,13
2014,Fashions Direct,010-Womens,OH,4020,"Clemons, Uma",99.97,99.97,28
2014,Fashions Direct,010-Womens,OH,4020,"Lynn, Farrah",28.990000000000002,28.990000000000002,8
2014,Fashions Direct,010-Womens,OH,4020,"Ward, Kermit",12.99,12.99,2
2014,Fashions Direct,010-Womens,OH,4227,"Buchanan, Alma",45006.77999999999,44943.97999999999,6974
2014,Fashions Direct,010-Womens,OH,4227,"Carr, Slade",5879.12,5879.12,1034
2014,Fashions Direct,010-Womens,OH,4227,"Ward, Kermit",763,763,111
2014,Fashions Direct,010-Womens,OH,4227,"Clemons, Uma",228.62,228.62,39
2014,Fashions Direct,010-Womens,OH,4227,"Mendez, Jerry",126.60999999999999,126.60999999999999,49
2014,Fashions Direct,010-Womens,OH,4227,"Ray, Violet",56.95,56.95,6
2014,Fashions Direct,010-Womens,OH,4227,"Hubbard, Quintessa",1,1,1
2014,Fashions Direct,010-Womens,OH,4017,"Buchanan, Alma",32256.629999999997,31885.170000000006,3486
2014,Fashions Direct,010-Womens,OH,4017,"Ray, Violet",5964.61,5964.61,620
2014,Fashions Direct,010-Womens,OH,4017,"Carr, Slade",2357.39,2318.39,291
2014,Fashions Direct,010-Womens,OH,4017,"Mendez, Jerry",360.63,360.63,53
2014,Fashions Direct,010-Womens,OH,4017,"Clemons, Uma",223.73000000000002,222.73000000000002,35
2014,Fashions Direct,010-Womens,OH,4017,"Hubbard, Quintessa",14.99,14.99,1
2014,Fashions Direct,010-Womens,OH,4017,"Lynn, Farrah",7,7,7
2014,Fashions Direct,010-Womens,OH,4019,"Buchanan, Alma",32248.919999999987,31429.549999999992,3890
2014,Fashions Direct,010-Womens,OH,4019,"Ray, Violet",7846.340000000001,7598.840000000001,721
2014,Fashions Direct,010-Womens,OH,4019,"Mccray, Nayda",153.88,153.88,17
2014,Fashions Direct,010-Womens,OH,4019,"Ferrell, Sara",133.32,80.38000000000001,21
2014,Fashions Direct,010-Womens,OH,4019,"Clemons, Uma",126.71000000000001,126.71000000000001,56
2014,Fashions Direct,010-Womens,OH,4019,"Hubbard, Quintessa",118.96000000000001,118.96000000000001,23
2014,Fashions Direct,010-Womens,OH,4019,"Lynn, Farrah",29,29,29
2014,Fashions Direct,010-Womens,OH,4019,"Mendez, Jerry",16,16,4
2014,Fashions Direct,010-Womens,OH,4026,"Buchanan, Alma",17251.7,16555.14,4197
2014,Fashions Direct,010-Womens,OH,4026,"Ray, Violet",15123.119999999997,15120.129999999996,3327
2014,Fashions Direct,010-Womens,OH,4026,"Carr, Slade",7017.499999999997,7006.5099999999975,1316
2014,Fashions Direct,010-Womens,OH,4026,"Hubbard, Quintessa",327.15,265.69,51
2014,Fashions Direct,010-Womens,OH,4026,"Mendez, Jerry",167.76999999999998,167.76999999999998,91
2014,Fashions Direct,010-Womens,OH,4026,"Mccray, Nayda",119.76,119.76,24
2014,Fashions Direct,010-Womens,OH,4026,"Ward, Kermit",51.56,51.56,28
2014,Fashions Direct,010-Womens,OH,4026,"Clemons, Uma",5,5,5
2014,Fashions Direct,010-Womens,OH,4026,"Lynn, Farrah",2,2,2
2014,Fashions Direct,010-Womens,OH,4035,"Petty, Perry",14709.010000000002,,2568
2014,Fashions Direct,010-Womens,OH,4035,"Buchanan, Alma",5828.810000000001,,1099
2014,Fashions Direct,010-Womens,OH,4035,"Mccray, Nayda",4365.81,,1193
2014,Fashions Direct,010-Womens,OH,4035,"Carr, Slade",4168.050000000001,83.86,651
2014,Fashions Direct,010-Womens,OH,4035,"Wright, Howard",2331.08,,565
2014,Fashions Direct,010-Womens,OH,4035,"Hubbard, Quintessa",1100.27,159.84,460
2014,Fashions Direct,010-Womens,OH,4035,"Long, Amy",329.66999999999996,,33
2014,Fashions Direct,010-Womens,OH,4035,"Pierce, Amery",198.04000000000002,,34
2014,Fashions Direct,010-Womens,OH,4035,"Gentry, Elizabeth",50.92,,15
2014,Fashions Direct,010-Womens,OH,4035,"Thomas, Shellie",41.93,,7
2014,Fashions Direct,010-Womens,OH,4035,"Barrett, Galvin",31.98,,7
2014,Fashions Direct,010-Womens,OH,4028,"Buchanan, Alma",25182.15000000003,24523.370000000028,4951
2014,Fashions Direct,010-Womens,OH,4028,"Carr, Slade",3196.6700000000005,3061.2100000000005,693
2014,Fashions Direct,010-Womens,OH,4028,"Ray, Violet",1715.06,1655.56,178
2014,Fashions Direct,010-Womens,OH,4028,"Clemons, Uma",752.6700000000001,752.6700000000001,235
2014,Fashions Direct,010-Womens,OH,4028,"Wright, Howard",492.77,492.77,124
2014,Fashions Direct,010-Womens,OH,4028,"Mendez, Jerry",458.43999999999994,458.43999999999994,65
2014,Fashions Direct,010-Womens,OH,4028,"Hubbard, Quintessa",218.85999999999999,206.85999999999999,38
2014,Fashions Direct,010-Womens,OH,4028,"Lynn, Farrah",101.9,101.9,78
2014,Fashions Direct,010-Womens,OH,4028,"Ward, Kermit",58.97,58.97,14
2014,Fashions Direct,010-Womens,OH,4220,"Buchanan, Alma",26103.30999999999,26103.30999999999,2147
2014,Fashions Direct,010-Womens,OH,4220,"Carr, Slade",5105.759999999999,5105.759999999999,424
2014,Fashions Direct,010-Womens,OH,4220,"Hubbard, Quintessa",15,15,3
2014,Fashions Direct,010-Womens,OH,4220,"Clemons, Uma",3,3,1
2014,Fashions Direct,010-Womens,OH,4650,"Buchanan, Alma",13708.570000000002,11128.970000000001,2343
2014,Fashions Direct,010-Womens,OH,4650,"Mccray, Nayda",7460.220000000002,,1153
2014,Fashions Direct,010-Womens,OH,4650,"Bolton, Marshall",5728.660000000001,5728.660000000001,991
2014,Fashions Direct,010-Womens,OH,4650,"Hubbard, Quintessa",11,,5
2014,Fashions Direct,010-Womens,OH,4475,"Petty, Perry",12534.48,,1111
2014,Fashions Direct,010-Womens,OH,4475,"Buchanan, Alma",4585.93,,280
2014,Fashions Direct,010-Womens,OH,4475,"Carr, Slade",4144.06,,318
2014,Fashions Direct,010-Womens,OH,4475,"Pierce, Amery",4090.880000000001,,395
2014,Fashions Direct,010-Womens,OH,4475,"Wright, Howard",617.38,,62
2014,Fashions Direct,010-Womens,OH,4475,"Hubbard, Quintessa",465.37,,41
2014,Fashions Direct,010-Womens,OH,4475,"Harper, Ferdinand",246.76,,25
2014,Fashions Direct,010-Womens,OH,4475,"Barrett, Galvin",51.94,,6
2014,Fashions Direct,010-Womens,OH,4003,"Buchanan, Alma",18405.679999999993,17991.549999999992,3219
2014,Fashions Direct,010-Womens,OH,4003,"Carr, Slade",4797.25,3868.3699999999994,1009
2014,Fashions Direct,010-Womens,OH,4003,"Hubbard, Quintessa",1162.03,1147.03,209
2014,Fashions Direct,010-Womens,OH,4003,"Ray, Violet",925.3799999999999,925.3799999999999,62
2014,Fashions Direct,010-Womens,OH,4003,"Ward, Kermit",130.87,130.87,48
2014,Fashions Direct,010-Womens,OH,4003,"Mendez, Jerry",94.89,94.89,12
2014,Fashions Direct,010-Womens,OH,4003,"Lynn, Farrah",59.980000000000004,59.980000000000004,16
2014,Fashions Direct,010-Womens,OH,4003,"Clemons, Uma",42.99,42.99,12
2014,Fashions Direct,010-Womens,OH,4012,"Buchanan, Alma",13709.529999999999,12494.409999999998,1805
2014,Fashions Direct,010-Womens,OH,4012,"Carr, Slade",4937.649999999999,4811.759999999998,743
2014,Fashions Direct,010-Womens,OH,4012,"Ray, Violet",1721.85,1687.35,219
2014,Fashions Direct,010-Womens,OH,4012,"Mendez, Jerry",1489.19,1489.19,326
2014,Fashions Direct,010-Womens,OH,4012,"Hubbard, Quintessa",523.03,492.73,66
2014,Fashions Direct,010-Womens,OH,4012,"Clemons, Uma",248.85000000000002,248.85000000000002,44
2014,Fashions Direct,010-Womens,OH,4012,"Lynn, Farrah",103.01,103.01,28
2014,Fashions Direct,010-Womens,OH,4012,"Ferrell, Sara",84.81,34.849999999999994,24
2014,Fashions Direct,010-Womens,OH,4012,"Watson, Skyler",51.96,51.96,4
2014,Fashions Direct,010-Womens,OH,4012,"Ward, Kermit",-7.99,,-1
2014,Fashions Direct,010-Womens,OH,4012,"Pierce, Amery",-18.18,,0
2014,Fashions Direct,010-Womens,OH,4014,"Buchanan, Alma",18770.580000000013,14962.7,2306
2014,Fashions Direct,010-Womens,OH,4014,"Ray, Violet",2544.999999999999,2544.999999999999,331
2014,Fashions Direct,010-Womens,OH,4014,"Mendez, Jerry",285.71999999999997,285.71999999999997,48
2014,Fashions Direct,010-Womens,OH,4014,"Hubbard, Quintessa",46.01,59,16
2014,Fashions Direct,010-Womens,OH,4014,"Lynn, Farrah",3,3,1
2014,Fashions Direct,010-Womens,OH,4702,"Buchanan, Alma",15505.019999999999,8975.929999999998,862
2014,Fashions Direct,010-Womens,OH,4702,"Carr, Slade",3376.5500000000006,1854.51,101
2014,Fashions Direct,010-Womens,OH,4702,"Jordan, Keely",921.9,921.9,85
2014,Fashions Direct,010-Womens,OH,4702,"Ward, Kermit",752.22,525.25,79
2014,Fashions Direct,010-Womens,OH,4702,"Hubbard, Quintessa",440.86999999999995,435.86999999999995,27
2014,Fashions Direct,010-Womens,OH,4702,"Clemons, Uma",368.15,368.15,74
2014,Fashions Direct,010-Womens,OH,4702,"Mendez, Jerry",104.96,104.96,6
2014,Fashions Direct,010-Womens,OH,4702,"Lynn, Farrah",34,34,4
2014,Fashions Direct,010-Womens,OH,4478,"Pierce, Amery",17229.66999999998,,893
2014,Fashions Direct,010-Womens,OH,4478,"Petty, Perry",2422.3400000000006,,163
2014,Fashions Direct,010-Womens,OH,4478,"Barrett, Galvin",159.96,,4
2014,Fashions Direct,010-Womens,OH,4478,"Long, Amy",39.96,,4
2014,Fashions Direct,010-Womens,OH,4478,"Buchanan, Alma",14,,6
2014,Fashions Direct,010-Womens,OH,4572,"Mccray, Nayda",5766.8,,1673
2014,Fashions Direct,010-Womens,OH,4572,"Barrett, Galvin",5671.3200000000015,,678
2014,Fashions Direct,010-Womens,OH,4572,"Long, Amy",2826.27,,462
2014,Fashions Direct,010-Womens,OH,4572,"Buchanan, Alma",1537.55,,248
2014,Fashions Direct,010-Womens,OH,4572,"Petty, Perry",1389.21,,196
2014,Fashions Direct,010-Womens,OH,4572,"Carr, Slade",704.5500000000001,,49
2014,Fashions Direct,010-Womens,OH,4572,"Mendez, Jerry",468.87000000000006,135.67000000000002,155
2014,Fashions Direct,010-Womens,OH,4572,"Wright, Howard",250.25,,87
2014,Fashions Direct,010-Womens,OH,4572,"Thomas, Shellie",179.88,,12
2014,Fashions Direct,010-Womens,OH,4572,"Hubbard, Quintessa",17.67,,9
2014,Fashions Direct,010-Womens,OH,4572,"Rodriguez, Calista",9,,8
2014,Fashions Direct,010-Womens,OH,4572,"Nguyen, Cecilia",8.97,,3
2014,Fashions Direct,010-Womens,OH,4572,"Gentry, Elizabeth",1,,1
2014,Fashions Direct,010-Womens,OH,4701,"Buchanan, Alma",12588.389999999998,7406.030000000001,569
2014,Fashions Direct,010-Womens,OH,4701,"Carr, Slade",4483.77,2372.7699999999995,235
2014,Fashions Direct,010-Womens,OH,4701,"Hubbard, Quintessa",429.71000000000004,429.71000000000004,30
2014,Fashions Direct,010-Womens,OH,4701,"Jordan, Keely",259.28,259.28,40
2014,Fashions Direct,010-Womens,OH,4701,"Ray, Violet",166.95,179.94,5
2014,Fashions Direct,010-Womens,OH,4701,"Ward, Kermit",159.98,159.98,2
2014,Fashions Direct,010-Womens,OH,4701,"Petty, Perry",45,,5
2014,Fashions Direct,010-Womens,OH,4701,"Clemons, Uma",2,2,2
2014,Fashions Direct,010-Womens,OH,4226,"Buchanan, Alma",16240.069999999996,16240.069999999996,2985
2014,Fashions Direct,010-Womens,OH,4226,"Carr, Slade",1462.6299999999999,1462.6299999999999,286
2014,Fashions Direct,010-Womens,OH,4226,"Ward, Kermit",64.95,64.95,5
2014,Fashions Direct,010-Womens,OH,4651,"Mccray, Nayda",7385.360000000001,,1168
2014,Fashions Direct,010-Womens,OH,4651,"Buchanan, Alma",6756.200000000003,6360.070000000002,1011
2014,Fashions Direct,010-Womens,OH,4651,"Bolton, Marshall",3603.530000000001,3603.530000000001,561
2014,Fashions Direct,010-Womens,OH,4573,"Mccray, Nayda",5358.849999999999,191.52,903
2014,Fashions Direct,010-Womens,OH,4573,"Barrett, Galvin",3885.430000000001,,281
2014,Fashions Direct,010-Womens,OH,4573,"Wright, Howard",3446.46,,491
2014,Fashions Direct,010-Womens,OH,4573,"Petty, Perry",2925.8399999999997,,415
2014,Fashions Direct,010-Womens,OH,4573,"Long, Amy",964.98,,142
2014,Fashions Direct,010-Womens,OH,4573,"Mendez, Jerry",739.95,,76
2014,Fashions Direct,010-Womens,OH,4573,"Buchanan, Alma",413.45000000000005,,59
2014,Fashions Direct,010-Womens,OH,4573,"Carr, Slade",5,,5
2014,Fashions Direct,010-Womens,OH,4476,"Petty, Perry",8509.03,,649
2014,Fashions Direct,010-Womens,OH,4476,"Buchanan, Alma",5954.389999999999,,462
2014,Fashions Direct,010-Womens,OH,4476,"Pierce, Amery",2249.93,,177
2014,Fashions Direct,010-Womens,OH,4476,"Wright, Howard",568.96,,44
2014,Fashions Direct,010-Womens,OH,4476,"Carr, Slade",71.91,,9
2014,Fashions Direct,010-Womens,OH,4476,"Mendez, Jerry",45.96,,2
2014,Fashions Direct,010-Womens,OH,4378,"Carr, Slade",5474.160000000001,,577
2014,Fashions Direct,010-Womens,OH,4378,"Petty, Perry",3104.6900000000005,,424
2014,Fashions Direct,010-Womens,OH,4378,"Long, Amy",1795.1300000000006,,137
2014,Fashions Direct,010-Womens,OH,4378,"Barrett, Galvin",1672.7600000000004,,134
2014,Fashions Direct,010-Womens,OH,4378,"Buchanan, Alma",1214.5100000000002,,207
2014,Fashions Direct,010-Womens,OH,4378,"Hubbard, Quintessa",1036.21,248.79,149
2014,Fashions Direct,010-Womens,OH,4378,"Wright, Howard",995.17,,143
2014,Fashions Direct,010-Womens,OH,4378,"Gentry, Elizabeth",331.82,,26
2014,Fashions Direct,010-Womens,OH,4378,"Mendez, Jerry",309.83,,43
2014,Fashions Direct,010-Womens,OH,4378,"Rodriguez, Calista",102.96000000000001,,10
2014,Fashions Direct,010-Womens,OH,4378,"Pierce, Amery",49.95,,5
2014,Fashions Direct,010-Womens,OH,4336,"Petty, Perry",11562.480000000001,,1246
2014,Fashions Direct,010-Womens,OH,4336,"Carr, Slade",2552.76,159.84,255
2014,Fashions Direct,010-Womens,OH,4336,"Hubbard, Quintessa",1032.33,,71
2014,Fashions Direct,010-Womens,OH,4336,"Wright, Howard",514.15,,66
2014,Fashions Direct,010-Womens,OH,4336,"Buchanan, Alma",378.6,20,64
2014,Fashions Direct,010-Womens,OH,4336,"Barrett, Galvin",20.98,,3
2014,Fashions Direct,010-Womens,OH,4155,"Petty, Perry",5720.620000000003,,732
2014,Fashions Direct,010-Womens,OH,4155,"Buchanan, Alma",5264.490000000002,2376.2999999999997,702
2014,Fashions Direct,010-Womens,OH,4155,"Wright, Howard",1617.8899999999999,561.59,441
2014,Fashions Direct,010-Womens,OH,4155,"Barrett, Galvin",1545.4499999999996,,192
2014,Fashions Direct,010-Womens,OH,4155,"Carr, Slade",903.96,,177
2014,Fashions Direct,010-Womens,OH,4155,"Pierce, Amery",478.52,,48
2014,Fashions Direct,010-Womens,OH,4155,"Long, Amy",415.48,,52
2014,Fashions Direct,010-Womens,OH,4155,"Rodriguez, Calista",53.93,,10
2014,Fashions Direct,010-Womens,OH,4155,"Ray, Violet",50.9,39.9,17
2014,Fashions Direct,010-Womens,OH,4155,"Hubbard, Quintessa",6.98,,3
2014,Fashions Direct,010-Womens,OH,4155,"Mccray, Nayda",1,,1
2014,Fashions Direct,010-Womens,OH,4875,"Petty, Perry",6058.660000000002,,801
2014,Fashions Direct,010-Womens,OH,4875,"Buchanan, Alma",2864.51,599.5200000000001,320
2014,Fashions Direct,010-Womens,OH,4875,"Wright, Howard",2642.35,135.88,346
2014,Fashions Direct,010-Womens,OH,4875,"Barrett, Galvin",2101.01,,223
2014,Fashions Direct,010-Womens,OH,4875,"Carr, Slade",1363.1399999999999,,172
2014,Fashions Direct,010-Womens,OH,4875,"Long, Amy",811.73,,91
2014,Fashions Direct,010-Womens,OH,4256,"Petty, Perry",7940.080000000001,,998
2014,Fashions Direct,010-Womens,OH,4256,"Wright, Howard",5514.029999999999,,644
2014,Fashions Direct,010-Womens,OH,4256,"Barrett, Galvin",1152.0900000000001,,126
2014,Fashions Direct,010-Womens,OH,4256,"Hubbard, Quintessa",516.57,,50
2014,Fashions Direct,010-Womens,OH,4256,"Carr, Slade",348.11,,67
2014,Fashions Direct,010-Womens,OH,4256,"Buchanan, Alma",39.90999999999999,,38
2014,Fashions Direct,010-Womens,OH,4256,"Mendez, Jerry",39.81999999999999,,9
2014,Fashions Direct,010-Womens,OH,4217,"Buchanan, Alma",12795.120000000004,12795.120000000004,1512
2014,Fashions Direct,010-Womens,OH,4217,"Carr, Slade",2268.76,2258.76,240
2014,Fashions Direct,010-Womens,OH,4217,"Ward, Kermit",426.76,426.76,41
2014,Fashions Direct,010-Womens,OH,4013,"Buchanan, Alma",12135.240000000007,9950.060000000003,1669
2014,Fashions Direct,010-Womens,OH,4013,"Carr, Slade",1511.0500000000004,1506.0500000000004,174
2014,Fashions Direct,010-Womens,OH,4013,"Hubbard, Quintessa",518.88,188.89,95
2014,Fashions Direct,010-Womens,OH,4013,"Clemons, Uma",310.84000000000003,320.83000000000004,68
2014,Fashions Direct,010-Womens,OH,4013,"Ray, Violet",260.81,246.81,25
2014,Fashions Direct,010-Womens,OH,4876,"Petty, Perry",6602.08,,727
2014,Fashions Direct,010-Womens,OH,4876,"Wright, Howard",3727.3000000000006,917.97,482
2014,Fashions Direct,010-Womens,OH,4876,"Buchanan, Alma",2009.35,274.86,274
2014,Fashions Direct,010-Womens,OH,4876,"Barrett, Galvin",937.12,,87
2014,Fashions Direct,010-Womens,OH,4876,"Carr, Slade",530.73,,35
2014,Fashions Direct,010-Womens,OH,4876,"Rodriguez, Calista",211,,49
2014,Fashions Direct,010-Womens,OH,4876,"Long, Amy",79.9,,10
2014,Fashions Direct,010-Womens,OH,4219,"Buchanan, Alma",13297.739999999993,13135.309999999994,1495
2014,Fashions Direct,010-Womens,OH,4219,"Hubbard, Quintessa",203.96,203.96,31
2014,Fashions Direct,010-Womens,OH,4219,"Ward, Kermit",80,75,9
2014,Fashions Direct,010-Womens,OH,4219,"Ferrell, Sara",42.940000000000005,37.95,7
2014,Fashions Direct,010-Womens,OH,4219,"Jordan, Keely",10,10,1
2014,Fashions Direct,010-Womens,OH,4009,"Buchanan, Alma",8873.130000000001,8789.830000000002,1629
2014,Fashions Direct,010-Womens,OH,4009,"Ray, Violet",2409.8699999999994,2382.3699999999994,334
2014,Fashions Direct,010-Womens,OH,4009,"Clemons, Uma",666.18,666.18,105
2014,Fashions Direct,010-Womens,OH,4009,"Carr, Slade",581.29,577.29,79
2014,Fashions Direct,010-Womens,OH,4009,"Mendez, Jerry",318.89000000000004,318.89000000000004,125
2014,Fashions Direct,010-Womens,OH,4009,"Mccray, Nayda",176.57999999999998,176.57999999999998,155
2014,Fashions Direct,010-Womens,OH,4009,"Lynn, Farrah",1,1,1
2014,Fashions Direct,010-Womens,OH,4212,"Buchanan, Alma",8470.480000000003,8372.970000000001,1255
2014,Fashions Direct,010-Womens,OH,4212,"Carr, Slade",4313.409999999999,4250.409999999999,704
2014,Fashions Direct,010-Womens,OH,4212,"Clemons, Uma",14.98,14.98,5
2014,Fashions Direct,010-Womens,OH,4212,"Mendez, Jerry",11.98,11.98,2
2014,Fashions Direct,010-Womens,OH,4076,"Petty, Perry",7029.080000000001,,880
2014,Fashions Direct,010-Womens,OH,4076,"Carr, Slade",2582.09,,226
2014,Fashions Direct,010-Womens,OH,4076,"Buchanan, Alma",2031.34,151.81,248
2014,Fashions Direct,010-Womens,OH,4076,"Hubbard, Quintessa",606.54,,47
2014,Fashions Direct,010-Womens,OH,4076,"Wright, Howard",238.17000000000002,,52
2014,Fashions Direct,010-Womens,OH,4015,"Buchanan, Alma",7001.950000000001,6944.950000000001,740
2014,Fashions Direct,010-Womens,OH,4015,"Carr, Slade",2236.7599999999998,2235.7599999999998,295
2014,Fashions Direct,010-Womens,OH,4015,"Ray, Violet",2099.4399999999996,2097.4399999999996,176
2014,Fashions Direct,010-Womens,OH,4015,"Hubbard, Quintessa",555.97,550.47,56
2014,Fashions Direct,010-Womens,OH,4015,"Watson, Skyler",5,5,1
2014,Fashions Direct,010-Womens,OH,4015,"Clemons, Uma",2,2,2
2014,Fashions Direct,010-Womens,OH,4015,"Pierce, Amery",-7,-7,-1
2014,Fashions Direct,010-Womens,OH,4376,"Petty, Perry",3997.17,,501
2014,Fashions Direct,010-Womens,OH,4376,"Mendez, Jerry",2712.53,,398
2014,Fashions Direct,010-Womens,OH,4376,"Wright, Howard",1817.9099999999999,,245
2014,Fashions Direct,010-Womens,OH,4376,"Buchanan, Alma",1096.1299999999999,,126
2014,Fashions Direct,010-Womens,OH,4376,"Carr, Slade",945.29,,163
2014,Fashions Direct,010-Womens,OH,4376,"Pierce, Amery",450.63,,37
2014,Fashions Direct,010-Womens,OH,4376,"Long, Amy",402.63,,37
2014,Fashions Direct,010-Womens,OH,4376,"Barrett, Galvin",119.88000000000001,,12
2014,Fashions Direct,010-Womens,OH,4376,"Chase, Freya",49.95,,5
2014,Fashions Direct,010-Womens,OH,4376,"Hubbard, Quintessa",11,,3
2014,Fashions Direct,010-Womens,OH,4455,"Petty, Perry",4153.339999999999,,617
2014,Fashions Direct,010-Womens,OH,4455,"Wright, Howard",3810.000000000001,2165.3500000000004,440
2014,Fashions Direct,010-Womens,OH,4455,"Buchanan, Alma",1216.5399999999997,846.9599999999999,236
2014,Fashions Direct,010-Womens,OH,4455,"Long, Amy",999.0000000000001,,100
2014,Fashions Direct,010-Womens,OH,4455,"Barrett, Galvin",701.46,,54
2014,Fashions Direct,010-Womens,OH,4455,"Carr, Slade",386.51,,50
2014,Fashions Direct,010-Womens,OH,4401,"Buchanan, Alma",11064.399999999996,11040.399999999996,2115
2014,Fashions Direct,010-Womens,OH,4401,"Clemons, Uma",92.86,92.86,34
2014,Fashions Direct,010-Womens,OH,4092,"Long, Amy",4272.7300000000005,,540
2014,Fashions Direct,010-Womens,OH,4092,"Buchanan, Alma",3114.91,,316
2014,Fashions Direct,010-Womens,OH,4092,"Barrett, Galvin",2867.5600000000004,,313
2014,Fashions Direct,010-Womens,OH,4092,"Petty, Perry",61.97,,8
2014,Fashions Direct,010-Womens,OH,4008,"Buchanan, Alma",6186.0999999999985,6017.979999999999,1847
2014,Fashions Direct,010-Womens,OH,4008,"Mendez, Jerry",1549.0700000000002,1547.5700000000002,748
2014,Fashions Direct,010-Womens,OH,4008,"Ray, Violet",454.6799999999999,454.6799999999999,148
2014,Fashions Direct,010-Womens,OH,4008,"Clemons, Uma",257.88,257.88,91
2014,Fashions Direct,010-Womens,OH,4008,"Rodriguez, Calista",38.94,38.94,9
2014,Fashions Direct,010-Womens,OH,4008,"Ward, Kermit",19.990000000000002,10,3
2014,Fashions Direct,010-Womens,OH,4008,"Carr, Slade",0,0,0
2014,Fashions Direct,010-Womens,OH,4551,"Mccray, Nayda",3459.1799999999994,695.76,1191
2014,Fashions Direct,010-Womens,OH,4551,"Buchanan, Alma",1493.0300000000002,1449.7700000000002,487
2014,Fashions Direct,010-Womens,OH,4551,"Hubbard, Quintessa",1313.4499999999998,,413
2014,Fashions Direct,010-Womens,OH,4551,"Petty, Perry",895.36,,315
2014,Fashions Direct,010-Womens,OH,4551,"Ray, Violet",492.11000000000007,490.11000000000007,192
2014,Fashions Direct,010-Womens,OH,4551,"Mendez, Jerry",449.70000000000005,374.76,174
2014,Fashions Direct,010-Womens,OH,4551,"Bright, Evangeline",106.44,106.44,36
2014,Fashions Direct,010-Womens,OH,4551,"Clemons, Uma",54.8,54.8,49
2014,Fashions Direct,010-Womens,OH,4551,"Pierce, Amery",31.92,,8
2014,Fashions Direct,010-Womens,OH,4551,"Rodriguez, Calista",7.98,,2
2014,Fashions Direct,010-Womens,OH,4228,"Buchanan, Alma",7247.360000000001,7157.6,1339
2014,Fashions Direct,010-Womens,OH,4228,"Carr, Slade",799.5700000000002,779.5700000000002,142
2014,Fashions Direct,010-Womens,OH,4228,"Clemons, Uma",93.74,93.74,26
2014,Fashions Direct,010-Womens,OH,4456,"Petty, Perry",3833.3500000000004,,665
2014,Fashions Direct,010-Womens,OH,4456,"Wright, Howard",2111.55,186.56,446
2014,Fashions Direct,010-Womens,OH,4456,"Buchanan, Alma",1444.43,229.77,282
2014,Fashions Direct,010-Womens,OH,4456,"Long, Amy",173.81,,19
