Orders.Region,Orders.Category,Orders.Ship Mode,Orders.Ship Date.Variation.Date Hierarchy.Year,Orders.Ship Date.Variation.Date Hierarchy.Quarter,CountNonNull(Orders.Postal Code),Min(Orders.Customer Name)
Central,Furniture,Same Day,2014,Qtr 2,,
East,Furniture,Same Day,2014,Qtr 2,1,Andrew Allen
South,Furniture,Same Day,2014,Qtr 2,,
West,Furniture,Same Day,2014,Qtr 2,2,Maya Herman
Central,Furniture,Same Day,2014,Qtr 3,,
East,Furniture,Same Day,2014,Qtr 3,2,Bill Shonely
South,Furniture,Same Day,2014,Qtr 3,1,Chloris Kastensmidt
West,Furniture,Same Day,2014,Qtr 3,2,Adrian Hane
Central,Furniture,Same Day,2014,Qtr 4,,
East,Furniture,Same Day,2014,Qtr 4,1,Muhammed Yedwab
South,Furniture,Same Day,2014,Qtr 4,1,Barry Gonzalez
West,Furniture,Same Day,2014,Qtr 4,2,Duane Huffman
Central,Furniture,Same Day,2015,Qtr 1,,
East,Furniture,Same Day,2015,Qtr 1,1,Luke Foster
South,Furniture,Same Day,2015,Qtr 1,,
West,Furniture,Same Day,2015,Qtr 1,,
Central,Furniture,Same Day,2015,Qtr 3,2,Mick Crebagga
East,Furniture,Same Day,2015,Qtr 3,4,Carlos Soltero
South,Furniture,Same Day,2015,Qtr 3,2,Nat Gilpin
West,Furniture,Same Day,2015,Qtr 3,5,Daniel Lacy
Central,Furniture,Same Day,2015,Qtr 4,9,Claire Gute
East,Furniture,Same Day,2015,Qtr 4,3,Dennis Kane
South,Furniture,Same Day,2015,Qtr 4,,
West,Furniture,Same Day,2015,Qtr 4,3,Deirdre Greer
Central,Furniture,Same Day,2016,Qtr 1,,
East,Furniture,Same Day,2016,Qtr 1,3,Brad Thomas
South,Furniture,Same Day,2016,Qtr 1,2,Paul Prost
West,Furniture,Same Day,2016,Qtr 1,2,Marc Crier
Central,Furniture,Same Day,2016,Qtr 2,1,Maurice Satty
East,Furniture,Same Day,2016,Qtr 2,3,Edward Nazzal
South,Furniture,Same Day,2016,Qtr 2,,
West,Furniture,Same Day,2016,Qtr 2,3,Ed Braxton
Central,Furniture,Same Day,2016,Qtr 3,1,Eugene Hildebrand
East,Furniture,Same Day,2016,Qtr 3,,
South,Furniture,Same Day,2016,Qtr 3,,
West,Furniture,Same Day,2016,Qtr 3,5,Edward Becker
Central,Furniture,Same Day,2016,Qtr 4,1,Mark Hamilton
East,Furniture,Same Day,2016,Qtr 4,7,Julie Kriz
South,Furniture,Same Day,2016,Qtr 4,4,Odella Nelson
West,Furniture,Same Day,2016,Qtr 4,4,Laurel Beltran
Central,Furniture,Same Day,2017,Qtr 1,1,Stephanie Ulpright
East,Furniture,Same Day,2017,Qtr 1,1,Susan Pistek
South,Furniture,Same Day,2017,Qtr 1,,
West,Furniture,Same Day,2017,Qtr 1,2,Jack O'Briant
Central,Furniture,Same Day,2017,Qtr 2,,
East,Furniture,Same Day,2017,Qtr 2,2,Sheri Gordon
South,Furniture,Same Day,2017,Qtr 2,,
West,Furniture,Same Day,2017,Qtr 2,1,Pauline Johnson
Central,Furniture,Same Day,2017,Qtr 3,2,Cynthia Arntzen
East,Furniture,Same Day,2017,Qtr 3,4,Brenda Bowman
South,Furniture,Same Day,2017,Qtr 3,1,Angele Hood
West,Furniture,Same Day,2017,Qtr 3,8,Cassandra Brandow
Central,Furniture,Same Day,2017,Qtr 4,10,Brian DeCherney
East,Furniture,Same Day,2017,Qtr 4,3,Anne Pryor
South,Furniture,Same Day,2017,Qtr 4,1,Pete Takahito
West,Furniture,Same Day,2017,Qtr 4,4,Beth Paige
Central,Furniture,Second Class,2014,Qtr 1,2,Guy Armstrong
East,Furniture,Second Class,2014,Qtr 1,2,Chloris Kastensmidt
South,Furniture,Second Class,2014,Qtr 1,2,Natalie DeCherney
West,Furniture,Second Class,2014,Qtr 1,3,Dave Brooks
Central,Furniture,Second Class,2014,Qtr 2,6,Dianna Wilson
East,Furniture,Second Class,2014,Qtr 2,3,Art Foster
South,Furniture,Second Class,2014,Qtr 2,3,Frank Olsen
West,Furniture,Second Class,2014,Qtr 2,3,Nicole Fjeld
Central,Furniture,Second Class,2014,Qtr 3,4,Craig Reiter
East,Furniture,Second Class,2014,Qtr 3,4,Logan Currie
South,Furniture,Second Class,2014,Qtr 3,3,Cynthia Arntzen
West,Furniture,Second Class,2014,Qtr 3,4,David Wiener
Central,Furniture,Second Class,2014,Qtr 4,8,Alan Dominguez
East,Furniture,Second Class,2014,Qtr 4,15,Andy Reiter
South,Furniture,Second Class,2014,Qtr 4,6,Alan Schoenberger
West,Furniture,Second Class,2014,Qtr 4,19,Allen Rosenblatt
Central,Furniture,Second Class,2015,Qtr 1,4,Amy Hunt
East,Furniture,Second Class,2015,Qtr 1,6,Alan Haines
South,Furniture,Second Class,2015,Qtr 1,2,Joseph Holt
West,Furniture,Second Class,2015,Qtr 1,6,Cathy Prescott
Central,Furniture,Second Class,2015,Qtr 2,6,Janet Molinari
East,Furniture,Second Class,2015,Qtr 2,3,Alan Schoenberger
South,Furniture,Second Class,2015,Qtr 2,,
West,Furniture,Second Class,2015,Qtr 2,5,Eugene Barchas
Central,Furniture,Second Class,2015,Qtr 3,4,Arthur Gainer
East,Furniture,Second Class,2015,Qtr 3,7,Brad Eason
South,Furniture,Second Class,2015,Qtr 3,5,Barbara Fisher
West,Furniture,Second Class,2015,Qtr 3,5,Jessica Myrick
Central,Furniture,Second Class,2015,Qtr 4,5,Carol Adams
East,Furniture,Second Class,2015,Qtr 4,11,Brian Derr
South,Furniture,Second Class,2015,Qtr 4,3,Denny Joy
West,Furniture,Second Class,2015,Qtr 4,13,Darren Budd
Central,Furniture,Second Class,2016,Qtr 1,,
East,Furniture,Second Class,2016,Qtr 1,7,Dan Campbell
South,Furniture,Second Class,2016,Qtr 1,3,Aaron Hawkins
West,Furniture,Second Class,2016,Qtr 1,8,Bobby Trafton
Central,Furniture,Second Class,2016,Qtr 2,12,Arthur Wiediger
East,Furniture,Second Class,2016,Qtr 2,3,Becky Castell
South,Furniture,Second Class,2016,Qtr 2,2,Ben Ferrer
West,Furniture,Second Class,2016,Qtr 2,5,Amy Hunt
Central,Furniture,Second Class,2016,Qtr 3,13,Anna Gayman
East,Furniture,Second Class,2016,Qtr 3,11,Darren Budd
South,Furniture,Second Class,2016,Qtr 3,3,Christopher Conant
West,Furniture,Second Class,2016,Qtr 3,9,Barry Französisch
Central,Furniture,Second Class,2016,Qtr 4,7,Ashley Jarboe
East,Furniture,Second Class,2016,Qtr 4,11,Clay Ludtke
South,Furniture,Second Class,2016,Qtr 4,10,Arthur Prichep
West,Furniture,Second Class,2016,Qtr 4,10,Alejandro Savely
Central,Furniture,Second Class,2017,Qtr 1,7,Andy Reiter
East,Furniture,Second Class,2017,Qtr 1,6,Alejandro Grove
South,Furniture,Second Class,2017,Qtr 1,1,Lena Cacioppo
West,Furniture,Second Class,2017,Qtr 1,6,Beth Thompson
Central,Furniture,Second Class,2017,Qtr 2,5,Erin Mull
East,Furniture,Second Class,2017,Qtr 2,10,Alan Shonely
South,Furniture,Second Class,2017,Qtr 2,6,Adam Hart
West,Furniture,Second Class,2017,Qtr 2,9,Alan Barnes
Central,Furniture,Second Class,2017,Qtr 3,5,Erica Hernandez
East,Furniture,Second Class,2017,Qtr 3,15,Bradley Nguyen
South,Furniture,Second Class,2017,Qtr 3,8,Becky Pak
West,Furniture,Second Class,2017,Qtr 3,15,Alan Schoenberger
Central,Furniture,Second Class,2017,Qtr 4,6,Aimee Bixby
East,Furniture,Second Class,2017,Qtr 4,13,Christina DeMoss
South,Furniture,Second Class,2017,Qtr 4,7,Brendan Sweed
West,Furniture,Second Class,2017,Qtr 4,19,Alex Grayson
Central,Furniture,Second Class,2018,Qtr 1,,
East,Furniture,Second Class,2018,Qtr 1,,
South,Furniture,Second Class,2018,Qtr 1,3,Katherine Hughes
West,Furniture,Second Class,2018,Qtr 1,,
Central,Furniture,Standard Class,2014,Qtr 1,8,Giulietta Weimer
East,Furniture,Standard Class,2014,Qtr 1,4,Christine Phan
South,Furniture,Standard Class,2014,Qtr 1,13,Alan Shonely
West,Furniture,Standard Class,2014,Qtr 1,9,Beth Fritzler
Central,Furniture,Standard Class,2014,Qtr 2,14,Christina VanderZanden
East,Furniture,Standard Class,2014,Qtr 2,17,Anna Andreadi
South,Furniture,Standard Class,2014,Qtr 2,6,Anna Häberlin
West,Furniture,Standard Class,2014,Qtr 2,21,Aaron Hawkins
Central,Furniture,Standard Class,2014,Qtr 3,15,Becky Castell
East,Furniture,Standard Class,2014,Qtr 3,18,Adam Shillingsburg
South,Furniture,Standard Class,2014,Qtr 3,7,Barbara Fisher
West,Furniture,Standard Class,2014,Qtr 3,25,Alyssa Crouse
Central,Furniture,Standard Class,2014,Qtr 4,21,Alan Barnes
East,Furniture,Standard Class,2014,Qtr 4,25,Benjamin Farhat
South,Furniture,Standard Class,2014,Qtr 4,11,Bryan Mills
West,Furniture,Standard Class,2014,Qtr 4,27,Arthur Prichep
Central,Furniture,Standard Class,2015,Qtr 1,9,Dana Kaydos
East,Furniture,Standard Class,2015,Qtr 1,8,Erin Smith
South,Furniture,Standard Class,2015,Qtr 1,5,Andrew Gjertsen
West,Furniture,Standard Class,2015,Qtr 1,14,Anthony Johnson
Central,Furniture,Standard Class,2015,Qtr 2,14,Anna Gayman
East,Furniture,Standard Class,2015,Qtr 2,17,Alan Dominguez
South,Furniture,Standard Class,2015,Qtr 2,15,Andrew Gjertsen
West,Furniture,Standard Class,2015,Qtr 2,17,Bart Watters
Central,Furniture,Standard Class,2015,Qtr 3,16,Alex Russell
East,Furniture,Standard Class,2015,Qtr 3,26,Andy Gerbode
South,Furniture,Standard Class,2015,Qtr 3,12,Barry Weirich
West,Furniture,Standard Class,2015,Qtr 3,23,Ann Steele
Central,Furniture,Standard Class,2015,Qtr 4,22,Adam Shillingsburg
East,Furniture,Standard Class,2015,Qtr 4,26,Brian Moss
South,Furniture,Standard Class,2015,Qtr 4,19,Anna Häberlin
West,Furniture,Standard Class,2015,Qtr 4,47,Arthur Wiediger
Central,Furniture,Standard Class,2016,Qtr 1,19,Bill Overfelt
East,Furniture,Standard Class,2016,Qtr 1,12,Benjamin Venier
South,Furniture,Standard Class,2016,Qtr 1,11,Adam Bellavance
West,Furniture,Standard Class,2016,Qtr 1,5,Annie Zypern
Central,Furniture,Standard Class,2016,Qtr 2,16,Ben Ferrer
East,Furniture,Standard Class,2016,Qtr 2,25,Adam Shillingsburg
South,Furniture,Standard Class,2016,Qtr 2,11,Anna Häberlin
West,Furniture,Standard Class,2016,Qtr 2,20,Anthony Rawles
Central,Furniture,Standard Class,2016,Qtr 3,17,Alejandro Grove
East,Furniture,Standard Class,2016,Qtr 3,24,Anne Pryor
South,Furniture,Standard Class,2016,Qtr 3,18,Anemone Ratner
West,Furniture,Standard Class,2016,Qtr 3,29,Adrian Barton
Central,Furniture,Standard Class,2016,Qtr 4,32,Alejandro Savely
East,Furniture,Standard Class,2016,Qtr 4,32,Bart Watters
South,Furniture,Standard Class,2016,Qtr 4,11,Alejandro Ballentine
West,Furniture,Standard Class,2016,Qtr 4,52,Adrian Shami
Central,Furniture,Standard Class,2017,Qtr 1,18,Benjamin Venier
East,Furniture,Standard Class,2017,Qtr 1,10,Brenda Bowman
South,Furniture,Standard Class,2017,Qtr 1,4,Bradley Drucker
West,Furniture,Standard Class,2017,Qtr 1,15,Bill Overfelt
Central,Furniture,Standard Class,2017,Qtr 2,26,Brendan Murry
East,Furniture,Standard Class,2017,Qtr 2,17,Alice McCarthy
South,Furniture,Standard Class,2017,Qtr 2,21,Caroline Jumper
West,Furniture,Standard Class,2017,Qtr 2,19,Charles Sheldon
Central,Furniture,Standard Class,2017,Qtr 3,16,Arthur Gainer
East,Furniture,Standard Class,2017,Qtr 3,31,Allen Rosenblatt
South,Furniture,Standard Class,2017,Qtr 3,13,Anne McFarland
West,Furniture,Standard Class,2017,Qtr 3,33,Allen Goldenen
Central,Furniture,Standard Class,2017,Qtr 4,28,Art Ferguson
East,Furniture,Standard Class,2017,Qtr 4,50,Alan Dominguez
South,Furniture,Standard Class,2017,Qtr 4,23,Adrian Barton
West,Furniture,Standard Class,2017,Qtr 4,50,Aaron Smayling
Central,Furniture,Standard Class,2018,Qtr 1,4,Greg Hansen
East,Furniture,Standard Class,2018,Qtr 1,1,Patrick O'Donnell
South,Furniture,Standard Class,2018,Qtr 1,,
West,Furniture,Standard Class,2018,Qtr 1,4,Ben Peterman
Central,Office Supplies,First Class,2014,Qtr 1,2,Carol Adams
East,Office Supplies,First Class,2014,Qtr 1,2,Joy Smith
South,Office Supplies,First Class,2014,Qtr 1,6,Bruce Geld
West,Office Supplies,First Class,2014,Qtr 1,6,Aaron Bergman
Central,Office Supplies,First Class,2014,Qtr 2,11,Dianna Vittorini
East,Office Supplies,First Class,2014,Qtr 2,10,Bryan Mills
South,Office Supplies,First Class,2014,Qtr 2,9,Denise Leinenbach
West,Office Supplies,First Class,2014,Qtr 2,3,Bill Shonely
Central,Office Supplies,First Class,2014,Qtr 3,12,Brian Moss
East,Office Supplies,First Class,2014,Qtr 3,17,Christine Sundaresam
South,Office Supplies,First Class,2014,Qtr 3,6,Christine Sundaresam
West,Office Supplies,First Class,2014,Qtr 3,14,Bruce Stewart
Central,Office Supplies,First Class,2014,Qtr 4,15,Adrian Barton
East,Office Supplies,First Class,2014,Qtr 4,12,Anna Chung
South,Office Supplies,First Class,2014,Qtr 4,8,Fred Hopkins
West,Office Supplies,First Class,2014,Qtr 4,31,Aaron Hawkins
Central,Office Supplies,First Class,2015,Qtr 1,6,Bart Watters
East,Office Supplies,First Class,2015,Qtr 1,9,Aaron Hawkins
South,Office Supplies,First Class,2015,Qtr 1,5,Dorothy Dickinson
West,Office Supplies,First Class,2015,Qtr 1,5,Alice McCarthy
Central,Office Supplies,First Class,2015,Qtr 2,7,Mark Van Huff
East,Office Supplies,First Class,2015,Qtr 2,17,Alejandro Ballentine
South,Office Supplies,First Class,2015,Qtr 2,8,Benjamin Venier
West,Office Supplies,First Class,2015,Qtr 2,11,Heather Jas
Central,Office Supplies,First Class,2015,Qtr 3,4,Kelly Williams
East,Office Supplies,First Class,2015,Qtr 3,18,Alejandro Grove
South,Office Supplies,First Class,2015,Qtr 3,3,Frank Atkinson
West,Office Supplies,First Class,2015,Qtr 3,14,Cari Sayre
Central,Office Supplies,First Class,2015,Qtr 4,7,Anthony Witt
East,Office Supplies,First Class,2015,Qtr 4,25,Alan Hwang
South,Office Supplies,First Class,2015,Qtr 4,8,Bradley Drucker
West,Office Supplies,First Class,2015,Qtr 4,24,Alex Avila
Central,Office Supplies,First Class,2016,Qtr 1,5,Jason Gross
East,Office Supplies,First Class,2016,Qtr 1,10,Bill Eplett
South,Office Supplies,First Class,2016,Qtr 1,5,Aaron Smayling
West,Office Supplies,First Class,2016,Qtr 1,7,Fred Chung
Central,Office Supplies,First Class,2016,Qtr 2,6,Bobby Trafton
East,Office Supplies,First Class,2016,Qtr 2,24,Arthur Gainer
South,Office Supplies,First Class,2016,Qtr 2,14,Clytie Kelty
West,Office Supplies,First Class,2016,Qtr 2,21,Chloris Kastensmidt
Central,Office Supplies,First Class,2016,Qtr 3,10,Bruce Geld
East,Office Supplies,First Class,2016,Qtr 3,25,Adam Bellavance
South,Office Supplies,First Class,2016,Qtr 3,10,Craig Yedwab
West,Office Supplies,First Class,2016,Qtr 3,18,Anna Andreadi
Central,Office Supplies,First Class,2016,Qtr 4,9,Barry Gonzalez
East,Office Supplies,First Class,2016,Qtr 4,34,Allen Goldenen
South,Office Supplies,First Class,2016,Qtr 4,8,Kelly Lampkin
West,Office Supplies,First Class,2016,Qtr 4,35,Adrian Hane
Central,Office Supplies,First Class,2017,Qtr 1,8,Claire Gute
East,Office Supplies,First Class,2017,Qtr 1,14,Bryan Davis
South,Office Supplies,First Class,2017,Qtr 1,5,Aaron Smayling
West,Office Supplies,First Class,2017,Qtr 1,14,Christina VanderZanden
Central,Office Supplies,First Class,2017,Qtr 2,18,Craig Leslie
East,Office Supplies,First Class,2017,Qtr 2,31,Alan Barnes
South,Office Supplies,First Class,2017,Qtr 2,18,Arthur Gainer
West,Office Supplies,First Class,2017,Qtr 2,26,Arthur Prichep
Central,Office Supplies,First Class,2017,Qtr 3,24,Adrian Hane
East,Office Supplies,First Class,2017,Qtr 3,29,Adam Hart
South,Office Supplies,First Class,2017,Qtr 3,12,Anna Gayman
West,Office Supplies,First Class,2017,Qtr 3,22,Aaron Smayling
Central,Office Supplies,First Class,2017,Qtr 4,30,Adam Bellavance
East,Office Supplies,First Class,2017,Qtr 4,26,Adam Hart
South,Office Supplies,First Class,2017,Qtr 4,15,Adam Shillingsburg
West,Office Supplies,First Class,2017,Qtr 4,42,Ann Blume
Central,Office Supplies,Same Day,2014,Qtr 1,4,Annie Zypern
East,Office Supplies,Same Day,2014,Qtr 1,1,Jas O'Carroll
South,Office Supplies,Same Day,2014,Qtr 1,3,Clay Ludtke
West,Office Supplies,Same Day,2014,Qtr 1,,
Central,Office Supplies,Same Day,2014,Qtr 2,1,Pamela Stobb
East,Office Supplies,Same Day,2014,Qtr 2,1,Andrew Roberts
South,Office Supplies,Same Day,2014,Qtr 2,6,Brian DeCherney
West,Office Supplies,Same Day,2014,Qtr 2,5,Maya Herman
Central,Office Supplies,Same Day,2014,Qtr 3,3,Dan Campbell
East,Office Supplies,Same Day,2014,Qtr 3,9,Allen Goldenen
South,Office Supplies,Same Day,2014,Qtr 3,2,Chloris Kastensmidt
West,Office Supplies,Same Day,2014,Qtr 3,8,Hilary Holden
Central,Office Supplies,Same Day,2014,Qtr 4,2,Craig Yedwab
East,Office Supplies,Same Day,2014,Qtr 4,7,Denny Ordway
South,Office Supplies,Same Day,2014,Qtr 4,1,Arthur Prichep
West,Office Supplies,Same Day,2014,Qtr 4,7,Duane Huffman
Central,Office Supplies,Same Day,2015,Qtr 1,1,Toby Swindell
East,Office Supplies,Same Day,2015,Qtr 1,3,Ken Black
South,Office Supplies,Same Day,2015,Qtr 1,1,Debra Catini
West,Office Supplies,Same Day,2015,Qtr 1,,
Central,Office Supplies,Same Day,2015,Qtr 2,5,Dennis Pardue
East,Office Supplies,Same Day,2015,Qtr 2,1,Paul Prost
South,Office Supplies,Same Day,2015,Qtr 2,1,Muhammed Lee
West,Office Supplies,Same Day,2015,Qtr 2,3,Jennifer Ferguson
Central,Office Supplies,Same Day,2015,Qtr 3,7,Darrin Martin
East,Office Supplies,Same Day,2015,Qtr 3,10,Alan Shonely
South,Office Supplies,Same Day,2015,Qtr 3,2,Nat Gilpin
West,Office Supplies,Same Day,2015,Qtr 3,3,Eric Hoffmann
Central,Office Supplies,Same Day,2015,Qtr 4,6,Andrew Gjertsen
East,Office Supplies,Same Day,2015,Qtr 4,7,Charlotte Melton
South,Office Supplies,Same Day,2015,Qtr 4,1,Ralph Arnett
West,Office Supplies,Same Day,2015,Qtr 4,11,Charlotte Melton
Central,Office Supplies,Same Day,2016,Qtr 1,,
East,Office Supplies,Same Day,2016,Qtr 1,3,Gary Zandusky
South,Office Supplies,Same Day,2016,Qtr 1,8,Christina Anderson
West,Office Supplies,Same Day,2016,Qtr 1,2,Patrick Gardner
Central,Office Supplies,Same Day,2016,Qtr 2,6,Maurice Satty
East,Office Supplies,Same Day,2016,Qtr 2,10,Brian Thompson
South,Office Supplies,Same Day,2016,Qtr 2,3,Eugene Hildebrand
West,Office Supplies,Same Day,2016,Qtr 2,6,Adam Hart
Central,Office Supplies,Same Day,2016,Qtr 3,4,Eugene Hildebrand
East,Office Supplies,Same Day,2016,Qtr 3,7,Filia McAdams
South,Office Supplies,Same Day,2016,Qtr 3,5,Hunter Glantz
West,Office Supplies,Same Day,2016,Qtr 3,7,Becky Castell
Central,Office Supplies,Same Day,2016,Qtr 4,4,Evan Bailliet
East,Office Supplies,Same Day,2016,Qtr 4,8,Jim Mitchum
South,Office Supplies,Same Day,2016,Qtr 4,3,Lena Radford
West,Office Supplies,Same Day,2016,Qtr 4,18,Bobby Elias
Central,Office Supplies,Same Day,2017,Qtr 1,12,Ann Chong
East,Office Supplies,Same Day,2017,Qtr 1,2,Susan Pistek
South,Office Supplies,Same Day,2017,Qtr 1,3,Claudia Bergmann
West,Office Supplies,Same Day,2017,Qtr 1,2,Michael Moore
Central,Office Supplies,Same Day,2017,Qtr 2,2,Allen Rosenblatt
East,Office Supplies,Same Day,2017,Qtr 2,4,Arianne Irving
South,Office Supplies,Same Day,2017,Qtr 2,6,Cari Schnelling
West,Office Supplies,Same Day,2017,Qtr 2,4,Dianna Vittorini
Central,Office Supplies,Same Day,2017,Qtr 3,,
East,Office Supplies,Same Day,2017,Qtr 3,9,Ben Peterman
South,Office Supplies,Same Day,2017,Qtr 3,2,Sarah Jordon
West,Office Supplies,Same Day,2017,Qtr 3,19,Cassandra Brandow
Central,Office Supplies,Same Day,2017,Qtr 4,17,Brian DeCherney
East,Office Supplies,Same Day,2017,Qtr 4,7,Anne Pryor
South,Office Supplies,Same Day,2017,Qtr 4,5,Grant Thornton
West,Office Supplies,Same Day,2017,Qtr 4,16,Alice McCarthy
Central,Office Supplies,Second Class,2014,Qtr 1,6,Delfina Latchford
East,Office Supplies,Second Class,2014,Qtr 1,10,Aimee Bixby
South,Office Supplies,Second Class,2014,Qtr 1,7,Ashley Jarboe
West,Office Supplies,Second Class,2014,Qtr 1,10,Cindy Stewart
Central,Office Supplies,Second Class,2014,Qtr 2,22,Bart Pistole
East,Office Supplies,Second Class,2014,Qtr 2,9,Aaron Hawkins
South,Office Supplies,Second Class,2014,Qtr 2,13,Allen Goldenen
West,Office Supplies,Second Class,2014,Qtr 2,10,Alejandro Grove
Central,Office Supplies,Second Class,2014,Qtr 3,12,Carl Ludwig
East,Office Supplies,Second Class,2014,Qtr 3,16,Barbara Fisher
South,Office Supplies,Second Class,2014,Qtr 3,7,Cynthia Arntzen
West,Office Supplies,Second Class,2014,Qtr 3,24,Anthony Rawles
Central,Office Supplies,Second Class,2014,Qtr 4,11,Alice McCarthy
East,Office Supplies,Second Class,2014,Qtr 4,21,Alan Dominguez
South,Office Supplies,Second Class,2014,Qtr 4,16,Alan Schoenberger
West,Office Supplies,Second Class,2014,Qtr 4,30,Alyssa Tate
Central,Office Supplies,Second Class,2015,Qtr 1,10,Amy Hunt
East,Office Supplies,Second Class,2015,Qtr 1,12,Claudia Bergmann
South,Office Supplies,Second Class,2015,Qtr 1,5,Karen Seio
West,Office Supplies,Second Class,2015,Qtr 1,11,Bryan Mills
Central,Office Supplies,Second Class,2015,Qtr 2,13,Ben Ferrer
East,Office Supplies,Second Class,2015,Qtr 2,8,Annie Zypern
South,Office Supplies,Second Class,2015,Qtr 2,5,Alan Shonely
West,Office Supplies,Second Class,2015,Qtr 2,8,Andy Reiter
Central,Office Supplies,Second Class,2015,Qtr 3,17,Arthur Gainer
East,Office Supplies,Second Class,2015,Qtr 3,19,Brad Eason
South,Office Supplies,Second Class,2015,Qtr 3,7,Alyssa Tate
West,Office Supplies,Second Class,2015,Qtr 3,24,Doug Bickford
Central,Office Supplies,Second Class,2015,Qtr 4,19,Brian Moss
East,Office Supplies,Second Class,2015,Qtr 4,33,Adam Hart
South,Office Supplies,Second Class,2015,Qtr 4,10,Gene McClure
