Opportunities.Campaign Name,Opportunities.DaysToClose,Opportunities.Opportunity Owner Name,Opportunities.Close %,Opportunities.Forecast %
(Blank),102,Alicia Thomber,0,0
(Blank),104,Alicia Thomber,0,0
(Blank),106,Alicia Thomber,0,0
(Blank),108,Alicia Thomber,0,0
(Blank),110,Alicia Thomber,0,0
(Blank),112,Alicia Thomber,0,0
(Blank),114,Alicia Thomber,0,0
(Blank),116,Alicia Thomber,0,0
(Blank),118,Alicia Thomber,0,0
Consumer Tradeshow,34,Alicia Thomber,0,0
Consumer Tradeshow,44,Alicia Thomber,0,0
Consumer Tradeshow,46,Alicia Thomber,100,0
Consumer Tradeshow,48,Alicia Thomber,0,0
Consumer Tradeshow,50,Alicia Thomber,0,0
Consumer Tradeshow,52,Alicia Thomber,100,0
Consumer Tradeshow,54,Alicia Thomber,0,0
Consumer Tradeshow,58,Alicia Thomber,100,0
Consumer Tradeshow,60,Alicia Thomber,100,69
Consumer Tradeshow,62,Alicia Thomber,100,73
Consumer Tradeshow,63,Alicia Thomber,100,0
Consumer Tradeshow,64,Alicia Thomber,100,85
Consumer Tradeshow,66,Alicia Thomber,100,90
Consumer Tradeshow,68,Alicia Thomber,100,0
Consumer Tradeshow,69,Alicia Thomber,0,0
Consumer Tradeshow,70,Alicia Thomber,100,0
Consumer Tradeshow,72,Alicia Thomber,100,131
Consumer Tradeshow,74,Alicia Thomber,100,95
Consumer Tradeshow,75,Alicia Thomber,0,0
Consumer Tradeshow,76,Alicia Thomber,100,81.5
Consumer Tradeshow,77,Alicia Thomber,100,106
Consumer Tradeshow,78,Alicia Thomber,100,0
Consumer Tradeshow,80,Alicia Thomber,0,0
Consumer Tradeshow,82,Alicia Thomber,0,0
Consumer Tradeshow,83,Alicia Thomber,0,0
Consumer Tradeshow,84,Alicia Thomber,100,0
Consumer Tradeshow,85,Alicia Thomber,0,0
Consumer Tradeshow,86,Alicia Thomber,0,0
Consumer Tradeshow,88,Alicia Thomber,0,0
Consumer Tradeshow,89,Alicia Thomber,0,0
Consumer Tradeshow,90,Alicia Thomber,100,53
Consumer Tradeshow,91,Alicia Thomber,0,0
Consumer Tradeshow,92,Alicia Thomber,0,0
Consumer Tradeshow,94,Alicia Thomber,0,0
Consumer Tradeshow,96,Alicia Thomber,0,0
Consumer Tradeshow,98,Alicia Thomber,0,0
Consumer Tradeshow,100,Alicia Thomber,0,0
Consumer Tradeshow,102,Alicia Thomber,0,0
Consumer Tradeshow,104,Alicia Thomber,0,0
Consumer Tradeshow,116,Alicia Thomber,0,0
Consumer Tradeshow,103,Alicia Thomber,0,0
Customer Care Campaign,38,Alicia Thomber,0,0
Customer Care Campaign,46,Alicia Thomber,0,0
Customer Care Campaign,52,Alicia Thomber,100,65
Customer Care Campaign,54,Alicia Thomber,0,0
Customer Care Campaign,56,Alicia Thomber,0,0
Customer Care Campaign,58,Alicia Thomber,0,0
Customer Care Campaign,60,Alicia Thomber,100,103
Customer Care Campaign,62,Alicia Thomber,100,0
Customer Care Campaign,64,Alicia Thomber,100,70
Customer Care Campaign,66,Alicia Thomber,0,0
Customer Care Campaign,68,Alicia Thomber,100,0
Customer Care Campaign,69,Alicia Thomber,0,0
Customer Care Campaign,70,Alicia Thomber,0,0
Customer Care Campaign,72,Alicia Thomber,0,0
Customer Care Campaign,74,Alicia Thomber,0,0
Customer Care Campaign,75,Alicia Thomber,0,0
Customer Care Campaign,76,Alicia Thomber,100,114.99999999999999
Customer Care Campaign,77,Alicia Thomber,100,0
Customer Care Campaign,78,Alicia Thomber,100,119
Customer Care Campaign,80,Alicia Thomber,0,0
Customer Care Campaign,82,Alicia Thomber,100,86
Customer Care Campaign,83,Alicia Thomber,0,0
Customer Care Campaign,84,Alicia Thomber,100,94
Customer Care Campaign,86,Alicia Thomber,100,0
Customer Care Campaign,88,Alicia Thomber,100,75
Customer Care Campaign,89,Alicia Thomber,0,0
Customer Care Campaign,90,Alicia Thomber,100,129.66666666666666
Customer Care Campaign,91,Alicia Thomber,0,0
Customer Care Campaign,92,Alicia Thomber,100,85
Customer Care Campaign,94,Alicia Thomber,0,0
Customer Care Campaign,96,Alicia Thomber,50,0
Customer Care Campaign,97,Alicia Thomber,0,0
Customer Care Campaign,98,Alicia Thomber,0,0
Customer Care Campaign,100,Alicia Thomber,0,0
Customer Care Campaign,102,Alicia Thomber,0,0
Customer Care Campaign,104,Alicia Thomber,28.57142857142857,57.99999999999999
Customer Care Campaign,106,Alicia Thomber,0,0
Customer Care Campaign,108,Alicia Thomber,0,0
Customer Care Campaign,110,Alicia Thomber,0,0
Customer Care Campaign,112,Alicia Thomber,0,0
Customer Care Campaign,114,Alicia Thomber,0,0
Customer Care Campaign,116,Alicia Thomber,0,0
Customer Care Campaign,118,Alicia Thomber,0,0
Customer Care Campaign,103,Alicia Thomber,0,0
Customer Care Campaign,87,Alicia Thomber,0,0
Customer Care Campaign,107,Alicia Thomber,0,0
Customer Follow-up,56,Alicia Thomber,0,0
Customer Follow-up,58,Alicia Thomber,100,64
Customer Follow-up,62,Alicia Thomber,100,0
Customer Follow-up,64,Alicia Thomber,100,62
Customer Follow-up,66,Alicia Thomber,100,72
Customer Follow-up,68,Alicia Thomber,0,0
Customer Follow-up,70,Alicia Thomber,100,131
Customer Follow-up,72,Alicia Thomber,100,138
Customer Follow-up,74,Alicia Thomber,0,0
Customer Follow-up,76,Alicia Thomber,100,67
Customer Follow-up,77,Alicia Thomber,0,0
Customer Follow-up,78,Alicia Thomber,100,112.25
Customer Follow-up,80,Alicia Thomber,100,97
Customer Follow-up,82,Alicia Thomber,0,0
Customer Follow-up,84,Alicia Thomber,100,86
Customer Follow-up,86,Alicia Thomber,100,68
Customer Follow-up,88,Alicia Thomber,0,0
Customer Follow-up,89,Alicia Thomber,0,0
Customer Follow-up,90,Alicia Thomber,100,0
Customer Follow-up,91,Alicia Thomber,0,0
Customer Follow-up,92,Alicia Thomber,100,149
Customer Follow-up,94,Alicia Thomber,100,100
Customer Follow-up,96,Alicia Thomber,0,0
Customer Follow-up,98,Alicia Thomber,0,0
Customer Follow-up,100,Alicia Thomber,0,0
Customer Follow-up,102,Alicia Thomber,0,0
Customer Follow-up,104,Alicia Thomber,0,0
Customer Follow-up,106,Alicia Thomber,0,0
Market Trends Newsletter,52,Alicia Thomber,0,0
Market Trends Newsletter,56,Alicia Thomber,0,0
Market Trends Newsletter,58,Alicia Thomber,100,51
Market Trends Newsletter,62,Alicia Thomber,100,0
Market Trends Newsletter,63,Alicia Thomber,0,0
Market Trends Newsletter,64,Alicia Thomber,100,0
Market Trends Newsletter,66,Alicia Thomber,0,0
Market Trends Newsletter,68,Alicia Thomber,0,0
Market Trends Newsletter,70,Alicia Thomber,100,0
Market Trends Newsletter,72,Alicia Thomber,100,0
Market Trends Newsletter,74,Alicia Thomber,0,0
Market Trends Newsletter,76,Alicia Thomber,100,0
Market Trends Newsletter,77,Alicia Thomber,100,0
Market Trends Newsletter,78,Alicia Thomber,100,96
Market Trends Newsletter,80,Alicia Thomber,100,0
Market Trends Newsletter,82,Alicia Thomber,0,0
Market Trends Newsletter,83,Alicia Thomber,0,0
Market Trends Newsletter,84,Alicia Thomber,100,74
Market Trends Newsletter,86,Alicia Thomber,0,0
Market Trends Newsletter,88,Alicia Thomber,0,0
Market Trends Newsletter,90,Alicia Thomber,100,99
Market Trends Newsletter,92,Alicia Thomber,100,0
Market Trends Newsletter,94,Alicia Thomber,0,0
Market Trends Newsletter,96,Alicia Thomber,100,0
Market Trends Newsletter,98,Alicia Thomber,100,0
Market Trends Newsletter,100,Alicia Thomber,0,0
Market Trends Newsletter,102,Alicia Thomber,0,0
Market Trends Newsletter,104,Alicia Thomber,0,0
Market Trends Newsletter,108,Alicia Thomber,0,0
Market Trends Newsletter,112,Alicia Thomber,0,0
Market Trends Newsletter,103,Alicia Thomber,0,0
Monthly Newsletter,52,Alicia Thomber,0,0
Monthly Newsletter,56,Alicia Thomber,100,50
Monthly Newsletter,58,Alicia Thomber,100,0
Monthly Newsletter,62,Alicia Thomber,100,0
Monthly Newsletter,64,Alicia Thomber,100,0
Monthly Newsletter,66,Alicia Thomber,0,0
Monthly Newsletter,68,Alicia Thomber,0,0
Monthly Newsletter,70,Alicia Thomber,100,117
Monthly Newsletter,72,Alicia Thomber,100,155
Monthly Newsletter,74,Alicia Thomber,0,0
Monthly Newsletter,76,Alicia Thomber,100,91.5
Monthly Newsletter,77,Alicia Thomber,0,0
Monthly Newsletter,78,Alicia Thomber,100,56.8
Monthly Newsletter,80,Alicia Thomber,100,126
Monthly Newsletter,81,Alicia Thomber,0,0
Monthly Newsletter,82,Alicia Thomber,100,93
Monthly Newsletter,84,Alicia Thomber,100,90.25
Monthly Newsletter,86,Alicia Thomber,100,88.33333333333333
Monthly Newsletter,88,Alicia Thomber,0,0
Monthly Newsletter,89,Alicia Thomber,0,0
Monthly Newsletter,90,Alicia Thomber,76.92307692307693,83.66666666666667
Monthly Newsletter,91,Alicia Thomber,0,0
Monthly Newsletter,92,Alicia Thomber,88.88888888888889,89
Monthly Newsletter,94,Alicia Thomber,100,83
Monthly Newsletter,95,Alicia Thomber,0,0
Monthly Newsletter,96,Alicia Thomber,0,0
Monthly Newsletter,97,Alicia Thomber,0,0
Monthly Newsletter,98,Alicia Thomber,85.71428571428571,89
Monthly Newsletter,100,Alicia Thomber,100,0
Monthly Newsletter,102,Alicia Thomber,50,0
Monthly Newsletter,104,Alicia Thomber,0,0
Monthly Newsletter,106,Alicia Thomber,33.33333333333333,0
Monthly Newsletter,110,Alicia Thomber,0,0
Monthly Newsletter,114,Alicia Thomber,0,0
Monthly Newsletter,116,Alicia Thomber,0,0
Monthly Newsletter,118,Alicia Thomber,0,0
New Product Releases,52,Alicia Thomber,100,89
New Product Releases,56,Alicia Thomber,100,90
New Product Releases,58,Alicia Thomber,100,99
New Product Releases,60,Alicia Thomber,0,0
New Product Releases,62,Alicia Thomber,100,139
New Product Releases,63,Alicia Thomber,100,67
New Product Releases,64,Alicia Thomber,100,50
New Product Releases,66,Alicia Thomber,100,78
New Product Releases,68,Alicia Thomber,0,0
New Product Releases,69,Alicia Thomber,0,0
New Product Releases,70,Alicia Thomber,100,84
New Product Releases,72,Alicia Thomber,100,80.5
New Product Releases,74,Alicia Thomber,0,0
New Product Releases,75,Alicia Thomber,0,0
New Product Releases,76,Alicia Thomber,100,104
New Product Releases,77,Alicia Thomber,100,0
New Product Releases,78,Alicia Thomber,100,89.5
New Product Releases,80,Alicia Thomber,100,88
New Product Releases,82,Alicia Thomber,100,0
New Product Releases,83,Alicia Thomber,0,0
New Product Releases,84,Alicia Thomber,100,125
New Product Releases,86,Alicia Thomber,100,83
New Product Releases,88,Alicia Thomber,100,0
New Product Releases,89,Alicia Thomber,0,0
New Product Releases,90,Alicia Thomber,100,143
New Product Releases,91,Alicia Thomber,100,59
New Product Releases,92,Alicia Thomber,100,136
New Product Releases,94,Alicia Thomber,100,0
New Product Releases,95,Alicia Thomber,0,0
New Product Releases,96,Alicia Thomber,100,0
New Product Releases,97,Alicia Thomber,0,0
New Product Releases,98,Alicia Thomber,100,0
New Product Releases,100,Alicia Thomber,0,0
New Product Releases,102,Alicia Thomber,0,0
New Product Releases,104,Alicia Thomber,0,0
New Product Releases,110,Alicia Thomber,75,55.00000000000001
New Product Releases,112,Alicia Thomber,0,0
New Product Releases,103,Alicia Thomber,0,0
Twitter,52,Alicia Thomber,0,0
Twitter,56,Alicia Thomber,100,0
Twitter,58,Alicia Thomber,0,0
Twitter,62,Alicia Thomber,0,0
Twitter,64,Alicia Thomber,100,0
Twitter,66,Alicia Thomber,100,59
Twitter,68,Alicia Thomber,0,0
Twitter,69,Alicia Thomber,0,0
Twitter,70,Alicia Thomber,100,0
Twitter,72,Alicia Thomber,100,0
Twitter,74,Alicia Thomber,0,0
Twitter,76,Alicia Thomber,100,142
Twitter,78,Alicia Thomber,100,0
Twitter,80,Alicia Thomber,100,65
Twitter,82,Alicia Thomber,0,0
Twitter,83,Alicia Thomber,0,0
