Opportunities.Opportunity Owner Name,Opportunities.Budget,Opportunities.Close %,Opportunities.Forecast %
Alicia Thomber,1500,85,105
Alicia Thomber,4875,85,111.14999999999999
Alicia Thomber,3125,84,91.25
Alicia Thomber,1375,83.33333333333334,121
Alicia Thomber,2250,82.35294117647058,102
Alicia Thomber,2375,80,95
Alicia Thomber,3375,77.46478873239437,79.65
Alicia Thomber,3625,76.38888888888889,81.2
Alicia Thomber,4375,75.55555555555556,129.5
Alicia Thomber,2125,75,68
Alicia Thomber,4125,74.39024390243902,107.25
Alicia Thomber,3500,74.35897435897436,92.4
Alicia Thomber,3875,74.32432432432432,91.45
Alicia Thomber,3750,74.28571428571429,87
Alicia Thomber,3000,73.68421052631578,74.4
Alicia Thomber,4250,71.62162162162163,108.80000000000001
Alicia Thomber,3250,70.66666666666667,143
Alicia Thomber,2500,70.58823529411765,56.00000000000001
Alicia Thomber,4000,68.65671641791045,83.2
Alicia Thomber,2625,67.74193548387096,105
Alicia Thomber,2750,66.66666666666666,102.66666666666666
Alicia Thomber,2875,65.38461538461539,96.6
Alicia Thomber,2000,60,96
Alicia Thomber,,4211.013663643676,4391.316666666666
Spencer Low,125,100,0
Spencer Low,250,100,0
Spencer Low,375,100,0
Spencer Low,500,100,0
Spencer Low,750,100,60
Spencer Low,1375,100,115.5
Spencer Low,2125,100,85
Spencer Low,2375,100,113.99999999999999
Spencer Low,5000,100,100
Spencer Low,5250,100,98
Spencer Low,5375,100,100.33333333333334
Spencer Low,5500,100,61.6
Spencer Low,5625,100,112.5
Spencer Low,5750,100,103.49999999999999
Spencer Low,5875,100,94
Spencer Low,6000,100,108
Spencer Low,6125,100,98
Spencer Low,1125,91.66666666666666,117
Spencer Low,5125,91.66666666666666,90.2
Spencer Low,875,88.88888888888889,112.00000000000001
Spencer Low,1750,88.88888888888889,119
Spencer Low,4625,88.23529411764706,114.7
Spencer Low,3625,84.84848484848484,87
Spencer Low,4875,84.84848484848484,120.9
Spencer Low,4125,84.375,99
Spencer Low,1500,84,88
Spencer Low,4500,83.87096774193549,115.19999999999999
Spencer Low,1000,83.33333333333334,96
Spencer Low,3875,82.35294117647058,93
Spencer Low,1625,80.95238095238095,86.66666666666667
Spencer Low,625,80,55.00000000000001
Spencer Low,3250,79.62962962962963,122.2
Spencer Low,2750,79.16666666666666,110.00000000000001
Spencer Low,4750,79.16666666666666,95
Spencer Low,1250,78.26086956521739,90
Spencer Low,2500,77.77777777777779,113.33333333333333
Spencer Low,3500,77.14285714285715,81.2
Spencer Low,4375,76.92307692307693,73.5
Spencer Low,4000,76.74418604651163,118.39999999999999
Spencer Low,3125,76.19047619047619,90
Spencer Low,3375,73.80952380952381,89.1
Spencer Low,3000,71.42857142857143,102
Spencer Low,4250,69.44444444444444,105.4
Spencer Low,3750,68.75,87
Spencer Low,2000,66.66666666666666,0
Spencer Low,1875,61.53846153846154,135
Spencer Low,2250,55.55555555555556,108
Spencer Low,2625,52.94117647058824,105
Spencer Low,2875,52.17391304347826,122.66666666666666
Spencer Low,,4171.238517696019,4391.899999999999
Renee Lo,125,100,0
Renee Lo,250,100,0
Renee Lo,375,100,0
Renee Lo,500,100,0
Renee Lo,625,100,55.00000000000001
Renee Lo,875,100,91
Renee Lo,1125,100,108
Renee Lo,1500,100,90
Renee Lo,2000,100,0
Renee Lo,5000,100,80
Renee Lo,5125,100,102.49999999999999
Renee Lo,5250,100,126
Renee Lo,5375,100,86
Renee Lo,5625,100,90
Renee Lo,5750,100,138
Renee Lo,5875,100,109.66666666666667
Renee Lo,6000,100,120
Renee Lo,6125,100,114.33333333333333
Renee Lo,4500,95.23809523809523,82.8
Renee Lo,3750,93.33333333333333,96
Renee Lo,4750,91.30434782608695,87.4
Renee Lo,1375,90,121
Renee Lo,1000,88.88888888888889,72
Renee Lo,1750,88.88888888888889,112.00000000000001
Renee Lo,4625,88.88888888888889,70.3
Renee Lo,2125,83.33333333333334,85
Renee Lo,2250,83.33333333333334,90
Renee Lo,3125,83.33333333333334,100
Renee Lo,3000,81.81818181818183,120
Renee Lo,3250,81.48148148148148,62.4
Renee Lo,1625,80,117
Renee Lo,4000,80,54.400000000000006
Renee Lo,4875,80,70.19999999999999
Renee Lo,4250,77.77777777777779,85
Renee Lo,1250,76.47058823529412,140
Renee Lo,750,75,0
Renee Lo,2375,75,56.99999999999999
Renee Lo,4125,75,62.7
Renee Lo,3375,72,59.4
Renee Lo,3625,71.42857142857143,98.6
Renee Lo,4375,70.83333333333334,73.5
Renee Lo,3500,68,56.00000000000001
Renee Lo,2625,66.66666666666666,84
Renee Lo,5500,66.66666666666666,132
Renee Lo,2875,54.54545454545454,80.5
Renee Lo,3875,52.17391304347826,100.75
Renee Lo,1875,50,0
Renee Lo,2500,43.75,140
Renee Lo,2750,33.33333333333333,176
Renee Lo,,4118.488411394422,3996.4500000000003
Julian Isla,125,100,0
Julian Isla,250,100,0
Julian Isla,375,100,0
Julian Isla,500,100,64
Julian Isla,750,100,96
Julian Isla,875,100,98
Julian Isla,1000,100,88
Julian Isla,1125,100,144
Julian Isla,2000,100,64
Julian Isla,2625,100,84
Julian Isla,5000,100,120
Julian Isla,5125,100,123
Julian Isla,5250,100,105
Julian Isla,5375,100,100.33333333333334
Julian Isla,5625,100,120
Julian Isla,5875,100,117.5
Julian Isla,6000,100,112.00000000000001
Julian Isla,6125,100,98
Julian Isla,1750,92,107.33333333333333
Julian Isla,4500,90,108
Julian Isla,4875,88,101.4
Julian Isla,4250,87.5,98.6
Julian Isla,4625,86.66666666666667,55.50000000000001
Julian Isla,1250,84.21052631578947,80
Julian Isla,3625,83.33333333333334,78.3
Julian Isla,625,81.81818181818183,0
Julian Isla,4750,81.81818181818183,83.6
Julian Isla,5500,80,88
Julian Isla,1625,78.94736842105263,110.5
Julian Isla,4125,78.57142857142857,82.5
Julian Isla,1375,76.19047619047619,88
Julian Isla,2125,75,119
Julian Isla,2250,75,72
Julian Isla,3375,75,91.8
Julian Isla,1500,74.07407407407408,88
Julian Isla,3750,73.33333333333333,72
Julian Isla,4000,72.41379310344827,76.8
Julian Isla,4375,69.56521739130434,59.5
Julian Isla,3250,68.75,65
Julian Isla,3500,68.57142857142857,75.6
Julian Isla,2375,66.66666666666666,133
Julian Isla,3875,66.66666666666666,65.10000000000001
Julian Isla,5750,66.66666666666666,92
Julian Isla,3125,65.78947368421053,65
Julian Isla,2875,64.28571428571429,114.99999999999999
Julian Isla,2500,61.53846153846154,100
Julian Isla,1875,60,0
Julian Isla,2750,58.333333333333336,121
Julian Isla,3000,38.095238095238095,96
Julian Isla,,4088.8062305456556,4122.366666666667
Jeff Hay,5125,100,82
Jeff Hay,5375,100,86
Jeff Hay,5500,100,88
Jeff Hay,5625,100,157.5
Jeff Hay,6125,100,196
Jeff Hay,1625,94.44444444444444,86.66666666666667
Jeff Hay,1250,92.3076923076923,140
Jeff Hay,1375,88.23529411764706,88
Jeff Hay,5750,85.71428571428571,92
Jeff Hay,2375,83.33333333333334,95
Jeff Hay,2000,80,80
Jeff Hay,1500,72.72727272727273,96
Jeff Hay,1750,72.22222222222221,105
Jeff Hay,4375,72.22222222222221,52.5
Jeff Hay,4250,71.42857142857143,54.400000000000006
Jeff Hay,1875,66.66666666666666,90
Jeff Hay,2250,66.66666666666666,72
Jeff Hay,5250,66.66666666666666,84
Jeff Hay,5875,66.66666666666666,94
Jeff Hay,3625,65.21739130434783,130.5
Jeff Hay,4500,65.21739130434783,54
Jeff Hay,1125,62.5,0
Jeff Hay,2125,62.5,85
Jeff Hay,3000,61.53846153846154,108
Jeff Hay,4875,61.111111111111114,117
Jeff Hay,250,60,0
Jeff Hay,4625,58.333333333333336,51.800000000000004
Jeff Hay,750,57.14285714285714,0
Jeff Hay,4000,56.75675675675676,70.39999999999999
Jeff Hay,4750,56.52173913043478,53.2
Jeff Hay,4125,55.88235294117647,66
Jeff Hay,3750,55.172413793103445,96
Jeff Hay,3375,51.61290322580645,97.2
Jeff Hay,625,50,0
Jeff Hay,2500,50,120
Jeff Hay,6000,50,96
Jeff Hay,3125,46.15384615384615,100
Jeff Hay,3875,44.44444444444444,93
Jeff Hay,125,40,0
Jeff Hay,3500,39.39393939393939,98
Jeff Hay,2875,38.88888888888889,80.5
Jeff Hay,500,35.714285714285715,0
Jeff Hay,3250,34.48275862068966,95.33333333333334
Jeff Hay,2625,33.33333333333333,0
Jeff Hay,2750,33.33333333333333,66
Jeff Hay,375,28.57142857142857,0
Jeff Hay,875,25,0
Jeff Hay,1000,23.076923076923077,0
Jeff Hay,,2981.2018982972068,3517
David So,1500,92.1875,81.6
David So,1625,91.80327868852459,83.2
David So,1375,90.1639344262295,64.9
David So,5125,86.66666666666667,57.4
David So,1250,85.5072463768116,70
David So,1750,83.33333333333334,64.4
David So,6000,73.68421052631578,67.2
David So,5250,73.33333333333333,100.8
David So,5000,72.72727272727273,90
David So,2000,71.42857142857143,104
David So,2375,68.75,104.5
David So,5375,68.75,103.2
David So,125,66.66666666666666,0
David So,5500,66.66666666666666,132
David So,5875,64.28571428571429,117.5
David So,5750,63.63636363636363,114.99999999999999
David So,5625,62.5,99
David So,2125,61.904761904761905,119
David So,4375,59.25925925925925,91
David So,6125,58.333333333333336,110.25
David So,2625,57.89473684210527,100.8
David So,4875,57.35294117647059,85.8
David So,3500,55.68181818181818,148.4
David So,2750,55.319148936170215,57.199999999999996
David So,4625,55.12820512820513,94.35
David So,3875,55.10204081632652,88.35
David So,2875,53.70370370370371,66.7
David So,4750,52.85714285714286,152
David So,3750,52.63157894736842,126
David So,3000,52.27272727272727,55.2
David So,4000,51.886792452830186,92.80000000000001
David So,250,51.724137931034484,0
David So,750,51.61290322580645,113.99999999999999
David So,4500,50.66666666666667,151.2
David So,4250,50.57471264367817,83.3
David So,3375,49.39759036144578,121.50000000000001
David So,2500,48.78048780487805,105
David So,2250,47.05882352941176,90
David So,1875,45.45454545454545,82.5
David So,4125,44.21052631578947,145.2
David So,3250,42.69662921348314,104
David So,1125,41.935483870967744,144
David So,3625,40.74074074074074,101.49999999999999
David So,3125,40.51724137931034,125
David So,875,37.5,84
David So,1000,34.285714285714285,128
David So,625,33.33333333333333,80
David So,500,29.629629629629626,0
David So,375,25,0
David So,,2826.5381159611284,4501.75
Anne Weiler,1375,95.45454545454545,59.4
Anne Weiler,1625,93.75,107.25
Anne Weiler,1500,92.85714285714286,70.8
Anne Weiler,1750,91.30434782608695,64.4
Anne Weiler,5500,90.9090909090909,110.00000000000001
Anne Weiler,5000,90,110.00000000000001
Anne Weiler,1250,86.04651162790698,107.5
Anne Weiler,5750,80.76923076923077,96.6
Anne Weiler,6000,75,120
Anne Weiler,6125,75,58.8
Anne Weiler,5375,73.68421052631578,64.5
Anne Weiler,5625,72.72727272727273,72
Anne Weiler,5125,66.66666666666666,109.33333333333333
Anne Weiler,5875,66.66666666666666,117.5
Anne Weiler,5250,64.28571428571429,115.5
Anne Weiler,1875,63.63636363636363,120
Anne Weiler,2125,61.53846153846154,136
Anne Weiler,4500,59.67741935483871,147.6
Anne Weiler,2250,58.82352941176471,99
Anne Weiler,2375,58.333333333333336,85.5
Anne Weiler,2875,55.88235294117647,109.25
Anne Weiler,3125,55.670103092783506,142.5
Anne Weiler,3875,54.94505494505495,80.60000000000001
Anne Weiler,3500,54.44444444444444,145.6
Anne Weiler,3625,54.166666666666664,124.70000000000002
Anne Weiler,3750,53.608247422680414,82.5
Anne Weiler,2000,52.94117647058824,80
Anne Weiler,4375,52.85714285714286,140
Anne Weiler,625,52.77777777777778,105
Anne Weiler,2500,51.515151515151516,90
Anne Weiler,4000,51.162790697674424,153.6
Anne Weiler,1000,50,144
Anne Weiler,2750,50,96.8
Anne Weiler,3250,50,127.4
Anne Weiler,3375,49.36708860759494,105.3
Anne Weiler,4750,49.2063492063492,140.6
Anne Weiler,4875,48.214285714285715,124.8
Anne Weiler,4250,46.590909090909086,153
Anne Weiler,875,45.83333333333333,98
Anne Weiler,250,41.37931034482759,0
Anne Weiler,4625,41.37931034482759,111.00000000000001
Anne Weiler,125,40.909090909090914,0
Anne Weiler,375,40.909090909090914,0
Anne Weiler,2625,40.74074074074074,157.5
Anne Weiler,3000,38.775510204081634,100.8
Anne Weiler,1125,38.70967741935484,108
Anne Weiler,4125,36.36363636363637,102.3
Anne Weiler,500,33.33333333333333,0
Anne Weiler,750,29.03225806451613,60
Anne Weiler,,2877.8453410085162,4854.9333333333325
Eric Gruber,5500,100,102.66666666666666
Eric Gruber,3500,83.01886792452831,134.4
Eric Gruber,5375,75,96.75
Eric Gruber,5625,75,105
Eric Gruber,2875,72,103.49999999999999
Eric Gruber,4875,69.76744186046511,124.8
Eric Gruber,3250,68.91891891891892,148.2
Eric Gruber,3750,68.75,153
Eric Gruber,3875,67.3469387755102,130.20000000000002
Eric Gruber,2625,66.66666666666666,110.25
Eric Gruber,3375,65.82278481012658,83.7
Eric Gruber,4125,65.15151515151516,141.9
Eric Gruber,3625,65,124.70000000000002
Eric Gruber,2500,64.86486486486487,52
Eric Gruber,4000,63.63636363636363,131.20000000000002
Eric Gruber,4500,61.53846153846154,97.2
Eric Gruber,2750,61.111111111111114,143
Eric Gruber,4625,61.111111111111114,81.39999999999999
Eric Gruber,3000,60,67.2
Eric Gruber,4250,60,115.6
Eric Gruber,5000,60,120
Eric Gruber,5250,60,126
Eric Gruber,4750,59.183673469387756,117.8
Eric Gruber,5125,58.333333333333336,95.66666666666667
Eric Gruber,6000,58.333333333333336,112.00000000000001
Eric Gruber,2375,56.25,85.5
Eric Gruber,4375,55.769230769230774,115.5
Eric Gruber,3125,54.90196078431373,80
Eric Gruber,375,52.94117647058824,0
Eric Gruber,5875,50,117.5
Eric Gruber,2000,44.44444444444444,80
Eric Gruber,500,37.5,0
Eric Gruber,2250,36.36363636363637,90
Eric Gruber,250,33.33333333333333,0
Eric Gruber,1000,33.33333333333333,88
Eric Gruber,875,31.818181818181817,0
Eric Gruber,6125,30,98
Eric Gruber,1875,27.27272727272727,0
Eric Gruber,2125,27.27272727272727,68
Eric Gruber,750,25,0
Eric Gruber,125,23.809523809523807,0
Eric Gruber,5750,20,0
Eric Gruber,625,18.181818181818183,0
Eric Gruber,1500,16.216216216216218,96
Eric Gruber,1625,12.82051282051282,104
Eric Gruber,1750,10.344827586206897,70
Eric Gruber,1375,9.75609756097561,0
Eric Gruber,1125,5.88235294117647,0
Eric Gruber,1250,2.631578947368421,0
Eric Gruber,,2386.399066432012,3910.633333333334
Greg Winston,2750,78.04878048780488,79.2
Greg Winston,4125,72.85714285714285,92.4
Greg Winston,4375,72.1311475409836,84
Greg Winston,4250,71.23287671232876,103.69999999999999
Greg Winston,6125,68.75,53.900000000000006
Greg Winston,3375,68.68686868686868,98.55000000000001
Greg Winston,3625,67.3469387755102,113.1
Greg Winston,3000,66.66666666666666,81.6
Greg Winston,3875,65.625,148.8
Greg Winston,4500,64.91228070175438,147.6
Greg Winston,2625,62.857142857142854,96.6
Greg Winston,3250,62.82051282051282,143
Greg Winston,4625,62.66666666666667,90.64999999999999
Greg Winston,4000,61.42857142857143,153.6
Greg Winston,5000,60,56.00000000000001
Greg Winston,4750,58.57142857142858,79.80000000000001
Greg Winston,3500,56.52173913043478,84
Greg Winston,3125,55.84415584415584,130
Greg Winston,5500,55.55555555555556,105.60000000000001
Greg Winston,6000,55.55555555555556,120
Greg Winston,4875,54.41176470588235,81.89999999999999
Greg Winston,3750,51.94805194805194,132
Greg Winston,625,50,75
Greg Winston,1875,50,150
Greg Winston,5125,50,102.49999999999999
Greg Winston,125,46.15384615384615,0
Greg Winston,5625,46.15384615384615,105
Greg Winston,5375,45.45454545454545,129
Greg Winston,2125,43.75,119
Greg Winston,2000,42.857142857142854,144
Greg Winston,2875,41.935483870967744,114.99999999999999
Greg Winston,2250,41.66666666666667,90
Greg Winston,5875,41.66666666666667,109.66666666666667
Greg Winston,2375,41.17647058823529,133
Greg Winston,5250,40,84
Greg Winston,5750,40,122.66666666666666
Greg Winston,250,39.285714285714285,0
Greg Winston,2500,39.285714285714285,86.66666666666667
Greg Winston,875,37.142857142857146,98
Greg Winston,375,34.285714285714285,0
Greg Winston,1125,30.555555555555557,99
Greg Winston,1000,28.57142857142857,72
Greg Winston,750,25.925925925925924,0
Greg Winston,1500,25.53191489361702,168
Greg Winston,1375,22,165
Greg Winston,1625,19.565217391304348,143
Greg Winston,500,17.391304347826086,0
Greg Winston,1250,11.666666666666666,80
Greg Winston,1750,11.538461538461538,112.00000000000001
Greg Winston,,2357.99999081572,4778.499999999999
Alan Steiner,5500,80,57.199999999999996
Alan Steiner,5625,80,112.5
Alan Steiner,1875,77.77777777777779,105
Alan Steiner,3875,72.58064516129032,151.89999999999998
Alan Steiner,3375,70.49180327868852,124.2
Alan Steiner,6000,70,128
Alan Steiner,4125,68.33333333333333,148.5
Alan Steiner,2625,68,94.5
Alan Steiner,3000,65.51724137931035,100.8
Alan Steiner,4250,61.53846153846154,119
Alan Steiner,5375,61.53846153846154,143.33333333333334
Alan Steiner,3250,61.25000000000001,158.6
Alan Steiner,2875,61.111111111111114,107.33333333333333
Alan Steiner,4500,60.78431372549019,122.39999999999999
Alan Steiner,2750,58.97435897435898,57.199999999999996
Alan Steiner,4625,57.692307692307686,129.5
Alan Steiner,3625,57.534246575342465,147.9
Alan Steiner,2250,57.14285714285714,72
Alan Steiner,4375,57.14285714285714,94.5
Alan Steiner,5000,57.14285714285714,106.66666666666667
Alan Steiner,5250,57.14285714285714,84
Alan Steiner,500,55.55555555555556,0
Alan Steiner,3125,55.35714285714286,85
Alan Steiner,4000,55.319148936170215,102.4
Alan Steiner,2500,55.172413793103445,106.66666666666667
Alan Steiner,5875,54.54545454545454,94
Alan Steiner,3500,54.21686746987952,142.79999999999998
Alan Steiner,3750,53.57142857142857,105
Alan Steiner,125,52.94117647058824,0
Alan Steiner,6125,50,147
Alan Steiner,4875,47.5,89.7
Alan Steiner,4750,40.816326530612244,98.8
Alan Steiner,2000,38.46153846153847,112.00000000000001
Alan Steiner,2375,36.84210526315789,152
Alan Steiner,250,36.36363636363637,0
Alan Steiner,5750,33.33333333333333,114.99999999999999
Alan Steiner,375,30.76923076923077,0
Alan Steiner,1000,29.166666666666668,56.00000000000001
Alan Steiner,875,28.57142857142857,56.00000000000001
Alan Steiner,5125,27.27272727272727,102.49999999999999
Alan Steiner,1500,24.444444444444443,132
Alan Steiner,1125,24,54
Alan Steiner,625,18.181818181818183,0
Alan Steiner,750,14.285714285714285,0
Alan Steiner,1625,11.11111111111111,104
Alan Steiner,2125,11.11111111111111,0
Alan Steiner,1375,8.571428571428571,0
Alan Steiner,1250,5.714285714285714,0
Alan Steiner,1750,2.1739130434782608,0
Alan Steiner,,2317.065498552408,4219.9
Sanjay Shah,5625,100,0
Sanjay Shah,5750,100,114.99999999999999
Sanjay Shah,5875,100,94
Sanjay Shah,6125,100,147
Sanjay Shah,5375,75,129
Sanjay Shah,5500,75,132
Sanjay Shah,4625,63.1578947368421,120.24999999999999
Sanjay Shah,1000,60,0
Sanjay Shah,6000,60,144
Sanjay Shah,250,57.14285714285714,0
Sanjay Shah,750,57.14285714285714,0
Sanjay Shah,2000,57.14285714285714,64
Sanjay Shah,2125,57.14285714285714,68
Sanjay Shah,4750,53.84615384615385,56.99999999999999
Sanjay Shah,625,50,0
Sanjay Shah,3375,50,108
Sanjay Shah,3625,48.38709677419355,98.6
Sanjay Shah,1250,46.666666666666664,80
Sanjay Shah,2625,45.45454545454545,105
Sanjay Shah,1875,44.44444444444444,75
Sanjay Shah,4500,43.47826086956522,90
Sanjay Shah,4875,43.47826086956522,97.5
Sanjay Shah,2500,40,80
Sanjay Shah,5125,40,123
Sanjay Shah,125,37.5,0
Sanjay Shah,3750,37.5,100
Sanjay Shah,3125,35.714285714285715,108.33333333333333
Sanjay Shah,1750,35.294117647058826,84
Sanjay Shah,1625,35,117
Sanjay Shah,375,33.33333333333333,0
Sanjay Shah,875,33.33333333333333,0
Sanjay Shah,2250,33.33333333333333,0
Sanjay Shah,3250,33.33333333333333,130
Sanjay Shah,4125,33.33333333333333,99
Sanjay Shah,5250,33.33333333333333,84
Sanjay Shah,4000,32.142857142857146,96
Sanjay Shah,1500,31.25,72
Sanjay Shah,3875,29.629629629629626,93
Sanjay Shah,1375,29.411764705882355,66
Sanjay Shah,3500,26.923076923076923,112.00000000000001
Sanjay Shah,3000,26.666666666666668,96
Sanjay Shah,2875,25,92
Sanjay Shah,4375,23.52941176470588,105
Sanjay Shah,4250,20.689655172413794,102
Sanjay Shah,1125,20,0
Sanjay Shah,2750,8.333333333333332,0
Sanjay Shah,,2122.0695509333145,3483.683333333334
