Year,SalesTerritoryGroup2,SalesPerson,Value Column Name,Value
"2020","United Kingdom","Jae Pak","% Cont. GT","0.08295541040401515"
"2020","United Kingdom","Jae Pak","Quota","39999999.996"
"2020","United Kingdom","Jae Pak","Sales - Quota","1168712.289999999"
"2020","United Kingdom","Jae Pak","Variance","0.02921780725292176"
"2020","United States","David Campbell","Sales","15730129.389"
"2020","United States","David Campbell","-","15730129.389"
"2020","United States","David Campbell","% Cont.","0.23073712442903538"
"2020","United States","David Campbell","% Cont. GT","0.031696384625965204"
"2020","United States","David Campbell","Quota","15000000"
"2020","United States","David Campbell","Sales - Quota","730129.3890000004"
"2020","United States","David Campbell","Variance","0.04867529260000003"
"2020","United States","Pamela Ansman-Wolfe","Sales","13525771.334000003"
"2020","United States","Pamela Ansman-Wolfe","-","13525771.334000003"
"2020","United States","Pamela Ansman-Wolfe","% Cont.","0.1984025373290487"
"2020","United States","Pamela Ansman-Wolfe","% Cont. GT","0.0272545787744835"
"2020","United States","Pamela Ansman-Wolfe","Quota","22749999.996"
"2020","United States","Pamela Ansman-Wolfe","Sales - Quota","-9224228.661999997"
"2020","United States","Pamela Ansman-Wolfe","Variance","-0.4054606005987622"
"2020","United States","Tete Mensa-Annan","Sales","15765621.970999999"
"2020","United States","Tete Mensa-Annan","-","15765621.970999999"
"2020","United States","Tete Mensa-Annan","% Cont.","0.23125774673968005"
"2020","United States","Tete Mensa-Annan","% Cont. GT","0.031767902571089496"
"2020","United States","Tete Mensa-Annan","Quota","15549999.996"
"2020","United States","Tete Mensa-Annan","Sales - Quota","215621.97499999963"
"2020","United States","Tete Mensa-Annan","Variance","0.013866364955335376"
"2020","United States","Tsvi Reiter","Sales","23151856.115000002"
"2020","United States","Tsvi Reiter","-","23151856.115000002"
"2020","United States","Tsvi Reiter","% Cont.","0.33960259150223565"
"2020","United States","Tsvi Reiter","% Cont. GT","0.046651246031021734"
"2020","United States","Tsvi Reiter","Quota","23249999.994"
"2020","United States","Tsvi Reiter","Sales - Quota","-98143.87899999693"
"2020","United States","Tsvi Reiter","Variance","-0.004221242108616102"
"2021","Australia","Lynn Tsoflias","Sales","13862520"
"2021","Australia","Lynn Tsoflias","-","13862520"
"2021","Australia","Lynn Tsoflias","% Cont.","1"
"2021","Australia","Lynn Tsoflias","% Cont. GT","0.027933131059455846"
"2021","Australia","Lynn Tsoflias","Quota","13772442"
"2021","Australia","Lynn Tsoflias","Sales - Quota","90078"
"2021","Australia","Lynn Tsoflias","Variance","0.006540452303229884"
"2021","Canada","Garrett Vargas","Sales","15795807"
"2021","Canada","Garrett Vargas","-","15795807"
"2021","Canada","Garrett Vargas","% Cont.","0.44306830852651563"
"2021","Canada","Garrett Vargas","% Cont. GT","0.03182872573824024"
"2021","Canada","Garrett Vargas","Quota","11604160"
"2021","Canada","Garrett Vargas","Sales - Quota","4191647"
"2021","Canada","Garrett Vargas","Variance","0.36121933858202576"
"2021","Canada","José Saraiva","Sales","19855145"
"2021","Canada","José Saraiva","-","19855145"
"2021","Canada","José Saraiva","% Cont.","0.5569316914734843"
"2021","Canada","José Saraiva","% Cont. GT","0.040008336686944326"
"2021","Canada","José Saraiva","Quota","12667564"
"2021","Canada","José Saraiva","Sales - Quota","7187581"
"2021","Canada","José Saraiva","Variance","0.5674004094236271"
"2021","France","Ranjit Varkey Chudukatil","Sales","16913099"
"2021","France","Ranjit Varkey Chudukatil","-","16913099"
"2021","France","Ranjit Varkey Chudukatil","% Cont.","1"
"2021","France","Ranjit Varkey Chudukatil","% Cont. GT","0.03408008147065264"
"2021","France","Ranjit Varkey Chudukatil","Quota","11964116"
"2021","France","Ranjit Varkey Chudukatil","Sales - Quota","4948983"
"2021","France","Ranjit Varkey Chudukatil","Variance","0.4136522079859473"
"2021","Germany","Rachel Valdez","Sales","14273437"
"2021","Germany","Rachel Valdez","-","14273437"
"2021","Germany","Rachel Valdez","% Cont.","1"
"2021","Germany","Rachel Valdez","% Cont. GT","0.028761133357418874"
"2021","Germany","Rachel Valdez","Quota","12977502"
"2021","Germany","Rachel Valdez","Sales - Quota","1295935"
"2021","Germany","Rachel Valdez","Variance","0.09986012716468855"
"2021","United Kingdom","Jae Pak","Sales","12028435"
"2021","United Kingdom","Jae Pak","-","12028435"
"2021","United Kingdom","Jae Pak","% Cont.","1"
"2021","United Kingdom","Jae Pak","% Cont. GT","0.024237429507416097"
"2021","United Kingdom","Jae Pak","Quota","12844677"
"2021","United Kingdom","Jae Pak","Sales - Quota","-816242"
"2021","United Kingdom","Jae Pak","Variance","-0.0635471020407909"
"2021","United States","David Campbell","Sales","11026377"
"2021","United States","David Campbell","-","11026377"
"2021","United States","David Campbell","% Cont.","0.20276700376095472"
"2021","United States","David Campbell","% Cont. GT","0.02221827155899285"
"2021","United States","David Campbell","Quota","11568119"
"2021","United States","David Campbell","Sales - Quota","-541742"
"2021","United States","David Campbell","Variance","-0.046830604007444945"
"2021","United States","Pamela Ansman-Wolfe","Sales","15138437"
"2021","United States","Pamela Ansman-Wolfe","-","15138437"
"2021","United States","Pamela Ansman-Wolfe","% Cont.","0.27838477789340743"
"2021","United States","Pamela Ansman-Wolfe","% Cont. GT","0.030504117920574007"
"2021","United States","Pamela Ansman-Wolfe","Quota","14785340"
"2021","United States","Pamela Ansman-Wolfe","Sales - Quota","353097"
"2021","United States","Pamela Ansman-Wolfe","Variance","0.023881561059806534"
"2021","United States","Tete Mensa-Annan","Sales","18317001"
"2021","United States","Tete Mensa-Annan","-","18317001"
"2021","United States","Tete Mensa-Annan","% Cont.","0.33683624373231674"
"2021","United States","Tete Mensa-Annan","% Cont. GT","0.03690895952173081"
"2021","United States","Tete Mensa-Annan","Quota","13136087"
"2021","United States","Tete Mensa-Annan","Sales - Quota","5180914"
"2021","United States","Tete Mensa-Annan","Variance","0.39440314303643087"
"2021","United States","Tsvi Reiter","Sales","9897728"
"2021","United States","Tsvi Reiter","-","9897728"
"2021","United States","Tsvi Reiter","% Cont.","0.18201197461332103"
"2021","United States","Tsvi Reiter","% Cont. GT","0.0199440313460212"
"2021","United States","Tsvi Reiter","Quota","12233675"
"2021","United States","Tsvi Reiter","Sales - Quota","-2335947"
"2021","United States","Tsvi Reiter","Variance","-0.19094401314404708"
