Item.Category,Time.FiscalYear,Store.Chain,Item.Segment,Item.Buyer,Sales.TotalSales,Sales.TotalSalesLY,Sales.TotalUnits
010-Womens,2014,Fashions Direct,4020,"Mccray, Nayda",365.86,365.86,49
010-Womens,2014,Fashions Direct,4020,"Ward, Kermit",140.87,140.87,25
010-Womens,2014,Fashions Direct,4020,"Mendez, Jerry",129.87,129.87,13
010-Womens,2014,Fashions Direct,4020,"Pierce, Amery",9.99,9.99,1
010-Womens,2014,Fashions Direct,4020,"Pruitt, Lillian",5,5,5
010-Womens,2014,Fashions Direct,4020,"Lynn, Farrah",-1,-1,11
010-Womens,2014,Fashions Direct,4227,"Buchanan, Alma",135949.20999999982,135825.9199999998,19814
010-Womens,2014,Fashions Direct,4227,"Carr, Slade",13180.999999999996,13133.059999999998,2329
010-Womens,2014,Fashions Direct,4227,"Ward, Kermit",3122.93,3122.93,461
010-Womens,2014,Fashions Direct,4227,"Mendez, Jerry",489.68,489.68,202
010-Womens,2014,Fashions Direct,4227,"Clemons, Uma",484.70000000000005,483.70000000000005,86
010-Womens,2014,Fashions Direct,4227,"Ray, Violet",86.92,86.92,9
010-Womens,2014,Fashions Direct,4227,"Hubbard, Quintessa",6,6,4
010-Womens,2014,Fashions Direct,4227,"Lynn, Farrah",-11.98,-11.98,-2
010-Womens,2014,Fashions Direct,4026,"Buchanan, Alma",53163.79999999997,50170.69999999997,13456
010-Womens,2014,Fashions Direct,4026,"Ray, Violet",45219.61999999999,45199.64999999999,10609
010-Womens,2014,Fashions Direct,4026,"Carr, Slade",17258.190000000006,16934.750000000007,3468
010-Womens,2014,Fashions Direct,4026,"Hubbard, Quintessa",1900.3000000000002,1508.2400000000002,216
010-Womens,2014,Fashions Direct,4026,"Mccray, Nayda",853.29,853.29,171
010-Womens,2014,Fashions Direct,4026,"Mendez, Jerry",308.63,308.63,186
010-Womens,2014,Fashions Direct,4026,"Ward, Kermit",301.48,301.48,167
010-Womens,2014,Fashions Direct,4026,"Clemons, Uma",79.35,78.35,43
010-Womens,2014,Fashions Direct,4026,"Lynn, Farrah",2,2,2
010-Womens,2014,Fashions Direct,4017,"Buchanan, Alma",87663.45000000006,86189.77000000006,9643
010-Womens,2014,Fashions Direct,4017,"Ray, Violet",19645.480000000014,19645.480000000014,1929
010-Womens,2014,Fashions Direct,4017,"Carr, Slade",5907.380000000001,5810.890000000001,712
010-Womens,2014,Fashions Direct,4017,"Mendez, Jerry",2092.33,2092.33,258
010-Womens,2014,Fashions Direct,4017,"Hubbard, Quintessa",711.52,711.52,50
010-Womens,2014,Fashions Direct,4017,"Clemons, Uma",443.89,442.89,76
010-Womens,2014,Fashions Direct,4017,"Miles, Mikayla",26.96,26.96,5
010-Womens,2014,Fashions Direct,4017,"Lynn, Farrah",10,10,10
010-Womens,2014,Fashions Direct,4019,"Buchanan, Alma",92833.49000000003,91172.03000000003,10891
010-Womens,2014,Fashions Direct,4019,"Ray, Violet",19929.210000000006,19502.710000000006,1894
010-Womens,2014,Fashions Direct,4019,"Clemons, Uma",746.0999999999999,746.0999999999999,202
010-Womens,2014,Fashions Direct,4019,"Ferrell, Sara",415.82000000000005,206.81,50
010-Womens,2014,Fashions Direct,4019,"Mccray, Nayda",392.65,392.65,42
010-Womens,2014,Fashions Direct,4019,"Hubbard, Quintessa",341.98,341.98,97
010-Womens,2014,Fashions Direct,4019,"Lynn, Farrah",96.51,111.5,80
010-Womens,2014,Fashions Direct,4019,"Mendez, Jerry",28,28,9
010-Womens,2014,Fashions Direct,4019,"Bolton, Marshall",3,3,3
010-Womens,2014,Fashions Direct,4019,"Carr, Slade",3,3,3
010-Womens,2014,Fashions Direct,4019,"Ward, Kermit",0,0,0
010-Womens,2014,Fashions Direct,4650,"Buchanan, Alma",50821.79000000003,42049.55000000001,7920
010-Womens,2014,Fashions Direct,4650,"Mccray, Nayda",22663.739999999994,,3389
010-Womens,2014,Fashions Direct,4650,"Bolton, Marshall",18825.370000000003,18819.380000000005,2926
010-Womens,2014,Fashions Direct,4650,"Hubbard, Quintessa",11,,5
010-Womens,2014,Fashions Direct,4028,"Buchanan, Alma",72468.76000000001,70837.71999999997,13616
010-Womens,2014,Fashions Direct,4028,"Carr, Slade",7016.399999999998,6584.3499999999985,1582
010-Womens,2014,Fashions Direct,4028,"Ray, Violet",6207.31,6146.8,580
010-Womens,2014,Fashions Direct,4028,"Clemons, Uma",2290.09,2290.09,610
010-Womens,2014,Fashions Direct,4028,"Hubbard, Quintessa",1632.1899999999998,1608.2,231
010-Womens,2014,Fashions Direct,4028,"Mendez, Jerry",1249.65,1247.75,355
010-Womens,2014,Fashions Direct,4028,"Wright, Howard",995.5100000000001,995.5100000000001,250
010-Womens,2014,Fashions Direct,4028,"Lynn, Farrah",306.8,306.8,206
010-Womens,2014,Fashions Direct,4028,"Ward, Kermit",83.47,83.47,24
010-Womens,2014,Fashions Direct,4035,"Petty, Perry",41123.570000000014,,7172
010-Womens,2014,Fashions Direct,4035,"Buchanan, Alma",14708.600000000006,,2700
010-Womens,2014,Fashions Direct,4035,"Mccray, Nayda",13485.619999999995,,3841
010-Womens,2014,Fashions Direct,4035,"Wright, Howard",7251.880000000002,,1939
010-Womens,2014,Fashions Direct,4035,"Carr, Slade",6880.71,77.87,1195
010-Womens,2014,Fashions Direct,4035,"Hubbard, Quintessa",3600.7099999999978,479.52000000000004,1604
010-Womens,2014,Fashions Direct,4035,"Long, Amy",1027.97,,103
010-Womens,2014,Fashions Direct,4035,"Barrett, Galvin",619,,105
010-Womens,2014,Fashions Direct,4035,"Pierce, Amery",493.09000000000003,,84
010-Womens,2014,Fashions Direct,4035,"Gentry, Elizabeth",197.73,,56
010-Womens,2014,Fashions Direct,4035,"Thomas, Shellie",41.93,,7
010-Womens,2014,Fashions Direct,4220,"Buchanan, Alma",71026.54000000002,71007.54000000002,5794
010-Womens,2014,Fashions Direct,4220,"Carr, Slade",12835.539999999997,12835.539999999997,1053
010-Womens,2014,Fashions Direct,4220,"Ward, Kermit",206.86,206.86,13
010-Womens,2014,Fashions Direct,4220,"Hubbard, Quintessa",67.51,67.51,15
010-Womens,2014,Fashions Direct,4220,"Clemons, Uma",8,8,4
010-Womens,2014,Fashions Direct,4014,"Buchanan, Alma",70346.87999999999,54405.72999999997,7895
010-Womens,2014,Fashions Direct,4014,"Ray, Violet",9171.369999999999,9171.369999999999,1201
010-Womens,2014,Fashions Direct,4014,"Carr, Slade",1147.22,1047.29,122
010-Womens,2014,Fashions Direct,4014,"Mendez, Jerry",918.1099999999999,918.1099999999999,163
010-Womens,2014,Fashions Direct,4014,"Hubbard, Quintessa",569.33,187.9,59
010-Womens,2014,Fashions Direct,4014,"Lynn, Farrah",4,4,2
010-Womens,2014,Fashions Direct,4014,"Clemons, Uma",1.0199999999999996,8.01,1
010-Womens,2014,Fashions Direct,4014,"Bolton, Marshall",-4.99,-4.99,-1
010-Womens,2014,Fashions Direct,4014,"Ward, Kermit",-9.99,-9.99,-1
010-Womens,2014,Fashions Direct,4475,"Petty, Perry",36003.659999999974,,3243
010-Womens,2014,Fashions Direct,4475,"Pierce, Amery",12040.490000000003,,1135
010-Womens,2014,Fashions Direct,4475,"Carr, Slade",11449.65,8.99,855
010-Womens,2014,Fashions Direct,4475,"Buchanan, Alma",10275.460000000005,309.81,642
010-Womens,2014,Fashions Direct,4475,"Wright, Howard",1761.24,,178
010-Womens,2014,Fashions Direct,4475,"Harper, Ferdinand",680.6500000000001,,69
010-Womens,2014,Fashions Direct,4475,"Hubbard, Quintessa",496.28,,47
010-Womens,2014,Fashions Direct,4475,"Barrett, Galvin",207.75,,25
010-Womens,2014,Fashions Direct,4475,"Mccray, Nayda",89.97,,3
010-Womens,2014,Fashions Direct,4012,"Buchanan, Alma",43556.09999999998,40390.15999999999,5669
010-Womens,2014,Fashions Direct,4012,"Carr, Slade",14692.010000000002,14439.320000000002,2242
010-Womens,2014,Fashions Direct,4012,"Ray, Violet",4775.28,4713.76,626
010-Womens,2014,Fashions Direct,4012,"Mendez, Jerry",3143.139999999999,3143.139999999999,747
010-Womens,2014,Fashions Direct,4012,"Hubbard, Quintessa",1265.37,1237.06,180
010-Womens,2014,Fashions Direct,4012,"Clemons, Uma",987.2500000000001,987.2500000000001,174
010-Womens,2014,Fashions Direct,4012,"Ferrell, Sara",342.15999999999997,98.83000000000001,52
010-Womens,2014,Fashions Direct,4012,"Lynn, Farrah",182.85,182.85,58
010-Womens,2014,Fashions Direct,4012,"Watson, Skyler",64.95,64.95,5
010-Womens,2014,Fashions Direct,4012,"Pierce, Amery",-18.18,,0
010-Womens,2014,Fashions Direct,4012,"Ward, Kermit",-27.97,,-3
010-Womens,2014,Fashions Direct,4003,"Buchanan, Alma",49224.49000000008,48357.7800000001,8502
010-Womens,2014,Fashions Direct,4003,"Carr, Slade",13396.130000000001,12052.8,2479
010-Womens,2014,Fashions Direct,4003,"Ray, Violet",2435.2400000000002,2435.2400000000002,176
010-Womens,2014,Fashions Direct,4003,"Hubbard, Quintessa",2232.4,2229.39,459
010-Womens,2014,Fashions Direct,4003,"Ward, Kermit",525.7,530.69,232
010-Womens,2014,Fashions Direct,4003,"Mendez, Jerry",507.52,507.52,75
010-Womens,2014,Fashions Direct,4003,"Clemons, Uma",166.84,166.84,53
010-Womens,2014,Fashions Direct,4003,"Lynn, Farrah",149.92000000000002,149.92000000000002,47
010-Womens,2014,Fashions Direct,4478,"Pierce, Amery",52051.73999999996,,2733
010-Womens,2014,Fashions Direct,4478,"Petty, Perry",7613.33,,525
010-Womens,2014,Fashions Direct,4478,"Harper, Ferdinand",399.9,,10
010-Womens,2014,Fashions Direct,4478,"Barrett, Galvin",159.96,,4
010-Womens,2014,Fashions Direct,4478,"Long, Amy",129.87,,13
010-Womens,2014,Fashions Direct,4478,"Buchanan, Alma",35.5,,16
010-Womens,2014,Fashions Direct,4572,"Barrett, Galvin",17485.410000000003,,2085
010-Womens,2014,Fashions Direct,4572,"Mccray, Nayda",16675.470000000016,,4796
010-Womens,2014,Fashions Direct,4572,"Long, Amy",10335.33,,1703
010-Womens,2014,Fashions Direct,4572,"Petty, Perry",4370.430000000001,,571
010-Womens,2014,Fashions Direct,4572,"Carr, Slade",3054.6,,166
010-Womens,2014,Fashions Direct,4572,"Mendez, Jerry",2926.849999999998,1213.1499999999999,959
010-Womens,2014,Fashions Direct,4572,"Buchanan, Alma",2034.87,,354
010-Womens,2014,Fashions Direct,4572,"Wright, Howard",1083.48,,274
010-Womens,2014,Fashions Direct,4572,"Thomas, Shellie",652.57,,43
010-Womens,2014,Fashions Direct,4572,"Hubbard, Quintessa",645.62,,200
010-Womens,2014,Fashions Direct,4572,"Rodriguez, Calista",18,,9
010-Womens,2014,Fashions Direct,4572,"Nguyen, Cecilia",11.96,,4
010-Womens,2014,Fashions Direct,4572,"Gentry, Elizabeth",5,,5
010-Womens,2014,Fashions Direct,4226,"Buchanan, Alma",51128.399999999936,51133.38999999994,9559
010-Womens,2014,Fashions Direct,4226,"Carr, Slade",5704.419999999996,5692.439999999997,1081
010-Womens,2014,Fashions Direct,4226,"Ward, Kermit",64.95,64.95,5
010-Womens,2014,Fashions Direct,4226,"Clemons, Uma",4.99,5.99,0
010-Womens,2014,Fashions Direct,4651,"Mccray, Nayda",23747.859999999993,,3673
010-Womens,2014,Fashions Direct,4651,"Buchanan, Alma",19374.430000000015,17721.540000000008,2837
010-Womens,2014,Fashions Direct,4651,"Bolton, Marshall",12812.060000000007,12812.060000000007,1907
010-Womens,2014,Fashions Direct,4701,"Buchanan, Alma",41986.60999999997,22732.760000000006,1792
010-Womens,2014,Fashions Direct,4701,"Carr, Slade",10664.34,5884.57,555
010-Womens,2014,Fashions Direct,4701,"Jordan, Keely",965.74,965.74,261
010-Womens,2014,Fashions Direct,4701,"Hubbard, Quintessa",727.5699999999999,726.5699999999999,56
010-Womens,2014,Fashions Direct,4701,"Ray, Violet",546.8299999999999,509.83,25
010-Womens,2014,Fashions Direct,4701,"Barrett, Galvin",515.74,,26
010-Womens,2014,Fashions Direct,4701,"Mendez, Jerry",245.93,217.93,15
010-Womens,2014,Fashions Direct,4701,"Ward, Kermit",159.98,159.98,2
010-Womens,2014,Fashions Direct,4701,"Petty, Perry",45,,5
010-Womens,2014,Fashions Direct,4701,"Clemons, Uma",24,24,12
010-Womens,2014,Fashions Direct,4573,"Mccray, Nayda",20764.700000000008,865.83,3505
010-Womens,2014,Fashions Direct,4573,"Barrett, Galvin",11242.309999999998,,895
010-Womens,2014,Fashions Direct,4573,"Petty, Perry",8943.54,,1226
010-Womens,2014,Fashions Direct,4573,"Wright, Howard",7516.439999999998,,1118
010-Womens,2014,Fashions Direct,4573,"Long, Amy",2849.81,,419
010-Womens,2014,Fashions Direct,4573,"Mendez, Jerry",1124.48,,124
010-Womens,2014,Fashions Direct,4573,"Buchanan, Alma",580.3,,85
010-Womens,2014,Fashions Direct,4573,"Carr, Slade",116.91,,22
010-Womens,2014,Fashions Direct,4573,"Thomas, Shellie",77.94,,6
010-Womens,2014,Fashions Direct,4702,"Buchanan, Alma",37394.92,21206.90999999999,2183
010-Womens,2014,Fashions Direct,4702,"Carr, Slade",6164.379999999999,3600.4900000000002,205
010-Womens,2014,Fashions Direct,4702,"Jordan, Keely",2553.59,2553.59,234
010-Womens,2014,Fashions Direct,4702,"Clemons, Uma",2505.25,2505.25,549
010-Womens,2014,Fashions Direct,4702,"Ward, Kermit",1533.19,1197.2,163
010-Womens,2014,Fashions Direct,4702,"Hubbard, Quintessa",1354.66,1245.66,79
010-Womens,2014,Fashions Direct,4702,"Rodriguez, Calista",326.89,326.89,11
010-Womens,2014,Fashions Direct,4702,"Mendez, Jerry",289.90999999999997,289.90999999999997,15
010-Womens,2014,Fashions Direct,4702,"Lynn, Farrah",34,34,4
010-Womens,2014,Fashions Direct,4378,"Carr, Slade",18777.640000000007,,2034
010-Womens,2014,Fashions Direct,4378,"Petty, Perry",9706.57,,1270
010-Womens,2014,Fashions Direct,4378,"Long, Amy",5034.77,,383
010-Womens,2014,Fashions Direct,4378,"Barrett, Galvin",4756.59,,381
010-Womens,2014,Fashions Direct,4378,"Buchanan, Alma",4243.07,181.86,609
010-Womens,2014,Fashions Direct,4378,"Hubbard, Quintessa",3961.3100000000004,400.68999999999994,557
010-Womens,2014,Fashions Direct,4378,"Wright, Howard",2104.94,,303
010-Womens,2014,Fashions Direct,4378,"Gentry, Elizabeth",1506.78,,123
010-Womens,2014,Fashions Direct,4378,"Mendez, Jerry",955.47,,133
010-Womens,2014,Fashions Direct,4378,"Rodriguez, Calista",372.84999999999997,,32
010-Womens,2014,Fashions Direct,4378,"Ray, Violet",164.8,,22
010-Womens,2014,Fashions Direct,4378,"Pierce, Amery",49.95,,5
010-Womens,2014,Fashions Direct,4378,"Harper, Ferdinand",19,,3
010-Womens,2014,Fashions Direct,4875,"Petty, Perry",18057.28999999998,,2230
010-Womens,2014,Fashions Direct,4875,"Barrett, Galvin",7544.390000000003,,748
010-Womens,2014,Fashions Direct,4875,"Buchanan, Alma",7525.830000000001,2472.99,813
010-Womens,2014,Fashions Direct,4875,"Wright, Howard",7301.300000000003,356.30999999999995,1028
010-Womens,2014,Fashions Direct,4875,"Carr, Slade",6499.1900000000005,,876
010-Womens,2014,Fashions Direct,4875,"Long, Amy",1348.1799999999998,,146
010-Womens,2014,Fashions Direct,4875,"Mendez, Jerry",11.98,,2
010-Womens,2014,Fashions Direct,4155,"Buchanan, Alma",17103.859999999993,6002.180000000002,2251
010-Womens,2014,Fashions Direct,4155,"Petty, Perry",15846.139999999998,,2027
010-Womens,2014,Fashions Direct,4155,"Wright, Howard",5499.079999999998,1610.5299999999997,1469
010-Womens,2014,Fashions Direct,4155,"Barrett, Galvin",3679.6900000000014,,424
010-Womens,2014,Fashions Direct,4155,"Carr, Slade",2746.869999999998,,522
010-Womens,2014,Fashions Direct,4155,"Long, Amy",1628.3600000000001,,204
010-Womens,2014,Fashions Direct,4155,"Pierce, Amery",898.0999999999999,,90
010-Womens,2014,Fashions Direct,4155,"Rodriguez, Calista",242.66,,44
010-Womens,2014,Fashions Direct,4155,"Ray, Violet",212.32,194.31,62
010-Womens,2014,Fashions Direct,4155,"Gardner, Pascale",63.92,,8
010-Womens,2014,Fashions Direct,4155,"Monroe, Cody",37.879999999999995,,14
010-Womens,2014,Fashions Direct,4155,"Mccray, Nayda",22.93,17.94,9
010-Womens,2014,Fashions Direct,4155,"Hubbard, Quintessa",6.98,,3
010-Womens,2014,Fashions Direct,4217,"Buchanan, Alma",37377.81999999997,37377.31999999997,4455
010-Womens,2014,Fashions Direct,4217,"Carr, Slade",8698.930000000002,8365.750000000002,923
010-Womens,2014,Fashions Direct,4217,"Ward, Kermit",962.1099999999999,962.1099999999999,102
010-Womens,2014,Fashions Direct,4217,"Hubbard, Quintessa",1,1,1
010-Womens,2014,Fashions Direct,4217,"Lynn, Farrah",1,1,1
010-Womens,2014,Fashions Direct,4217,"Pierce, Amery",0,0,0
010-Womens,2014,Fashions Direct,4876,"Petty, Perry",19053.939999999988,,2073
010-Womens,2014,Fashions Direct,4876,"Wright, Howard",11380.02,3032.7400000000002,1448
010-Womens,2014,Fashions Direct,4876,"Buchanan, Alma",7396.010000000002,734.63,948
010-Womens,2014,Fashions Direct,4876,"Barrett, Galvin",4019.9300000000003,,325
010-Womens,2014,Fashions Direct,4876,"Carr, Slade",3809.270000000001,,228
010-Womens,2014,Fashions Direct,4876,"Rodriguez, Calista",643.99,,137
010-Womens,2014,Fashions Direct,4876,"Long, Amy",231.74,,26
010-Womens,2014,Fashions Direct,4336,"Petty, Perry",34059.80999999997,,3690
010-Womens,2014,Fashions Direct,4336,"Carr, Slade",4915.360000000002,219.78000000000003,559
010-Womens,2014,Fashions Direct,4336,"Hubbard, Quintessa",2575.25,,184
010-Womens,2014,Fashions Direct,4336,"Wright, Howard",2027.3,,242
010-Womens,2014,Fashions Direct,4336,"Buchanan, Alma",1808.1299999999999,20,212
010-Womens,2014,Fashions Direct,4336,"Pierce, Amery",137.85999999999999,,14
010-Womens,2014,Fashions Direct,4336,"Barrett, Galvin",99.87,,15
010-Womens,2014,Fashions Direct,4476,"Petty, Perry",23350.44999999998,,1812
010-Womens,2014,Fashions Direct,4476,"Buchanan, Alma",13048.180000000002,,1016
010-Womens,2014,Fashions Direct,4476,"Pierce, Amery",7091.560000000002,,559
010-Womens,2014,Fashions Direct,4476,"Wright, Howard",1335.37,,103
010-Womens,2014,Fashions Direct,4476,"Carr, Slade",199.75,,25
010-Womens,2014,Fashions Direct,4476,"Mendez, Jerry",130.91,,8
010-Womens,2014,Fashions Direct,4256,"Petty, Perry",24466.55999999997,,3164
010-Womens,2014,Fashions Direct,4256,"Wright, Howard",12805.75,,1494
010-Womens,2014,Fashions Direct,4256,"Barrett, Galvin",2911.55,,314
010-Womens,2014,Fashions Direct,4256,"Hubbard, Quintessa",2722.83,,237
010-Womens,2014,Fashions Direct,4256,"Carr, Slade",918.75,,179
010-Womens,2014,Fashions Direct,4256,"Buchanan, Alma",694.61,,142
010-Womens,2014,Fashions Direct,4256,"Mendez, Jerry",94.60000000000001,,19
010-Womens,2014,Fashions Direct,4013,"Buchanan, Alma",34279.959999999985,28325.500000000004,4605
010-Womens,2014,Fashions Direct,4013,"Carr, Slade",4608.89,4591.89,541
010-Womens,2014,Fashions Direct,4013,"Hubbard, Quintessa",951.4399999999999,550.4300000000001,195
010-Womens,2014,Fashions Direct,4013,"Clemons, Uma",882.2499999999999,866.26,186
010-Womens,2014,Fashions Direct,4013,"Ray, Violet",695.86,679.86,122
010-Womens,2014,Fashions Direct,4013,"Gentry, Elizabeth",148.85,148.85,15
010-Womens,2014,Fashions Direct,4013,"Mendez, Jerry",69.94,69.94,10
010-Womens,2014,Fashions Direct,4013,"Bolton, Marshall",7.99,7.99,1
010-Womens,2014,Fashions Direct,4009,"Buchanan, Alma",26440.850000000006,26195.360000000004,4833
010-Womens,2014,Fashions Direct,4009,"Ray, Violet",8068.270000000005,8020.380000000005,1105
010-Womens,2014,Fashions Direct,4009,"Clemons, Uma",1877.66,1882.65,285
010-Womens,2014,Fashions Direct,4009,"Carr, Slade",1618.9199999999998,1601.0200000000002,228
010-Womens,2014,Fashions Direct,4009,"Mendez, Jerry",1548.4200000000005,1546.4300000000005,631
010-Womens,2014,Fashions Direct,4009,"Mccray, Nayda",321.54999999999995,321.54999999999995,298
010-Womens,2014,Fashions Direct,4009,"Hubbard, Quintessa",3,3,3
010-Womens,2014,Fashions Direct,4009,"Lynn, Farrah",2,2,2
010-Womens,2014,Fashions Direct,4376,"Petty, Perry",15502.609999999997,,1907
010-Womens,2014,Fashions Direct,4376,"Mendez, Jerry",6966.73,,1031
010-Womens,2014,Fashions Direct,4376,"Wright, Howard",6241.200000000003,,822
010-Womens,2014,Fashions Direct,4376,"Buchanan, Alma",4200.84,,477
010-Womens,2014,Fashions Direct,4376,"Carr, Slade",1661.5700000000002,,322
010-Womens,2014,Fashions Direct,4376,"Long, Amy",1245.31,,109
010-Womens,2014,Fashions Direct,4376,"Pierce, Amery",1035.1799999999998,,82
010-Womens,2014,Fashions Direct,4376,"Barrett, Galvin",489.51,,49
010-Womens,2014,Fashions Direct,4376,"Chase, Freya",467.57,,47
010-Womens,2014,Fashions Direct,4376,"Hubbard, Quintessa",146.02,,43
010-Womens,2014,Fashions Direct,4219,"Buchanan, Alma",36806.92999999994,36405.55999999995,4146
010-Womens,2014,Fashions Direct,4219,"Ward, Kermit",504.75,499.75,40
010-Womens,2014,Fashions Direct,4219,"Hubbard, Quintessa",453.21000000000004,453.21000000000004,65
010-Womens,2014,Fashions Direct,4219,"Ferrell, Sara",156.63,71.92000000000002,22
010-Womens,2014,Fashions Direct,4219,"Jordan, Keely",10,10,1
010-Womens,2014,Fashions Direct,4219,"Lynn, Farrah",2,2,2
010-Womens,2014,Fashions Direct,4219,"Mckenzie, Aphrodite",0,0,0
010-Womens,2014,Fashions Direct,4212,"Buchanan, Alma",22087.19000000001,21124.210000000014,3357
010-Womens,2014,Fashions Direct,4212,"Carr, Slade",14546.609999999999,14392.71,2325
010-Womens,2014,Fashions Direct,4212,"Mendez, Jerry",226.86,226.86,54
010-Womens,2014,Fashions Direct,4212,"Clemons, Uma",148.32,142.32999999999998,35
010-Womens,2014,Fashions Direct,4212,"Lynn, Farrah",2.5,2.5,3
010-Womens,2014,Fashions Direct,4212,"Ward, Kermit",2,2,0
010-Womens,2014,Fashions Direct,4076,"Petty, Perry",19853.75999999999,,2421
010-Womens,2014,Fashions Direct,4076,"Buchanan, Alma",7607.520000000001,364.56,873
010-Womens,2014,Fashions Direct,4076,"Carr, Slade",6566.659999999999,,729
010-Womens,2014,Fashions Direct,4076,"Wright, Howard",985.4700000000001,,207
010-Womens,2014,Fashions Direct,4076,"Hubbard, Quintessa",580.56,,45
010-Womens,2014,Fashions Direct,4076,"Barrett, Galvin",39.95,,5
010-Womens,2014,Fashions Direct,4401,"Buchanan, Alma",33433.26000000003,33341.77000000003,6215
010-Womens,2014,Fashions Direct,4401,"Clemons, Uma",238.26999999999998,238.26999999999998,118
010-Womens,2014,Fashions Direct,4401,"Patel, Branden",14.99,14.99,1
010-Womens,2014,Fashions Direct,4401,"Ward, Kermit",9,9,9
010-Womens,2014,Fashions Direct,4455,"Wright, Howard",13164,7413.460000000001,1485
010-Womens,2014,Fashions Direct,4455,"Petty, Perry",10568.520000000002,,1483
010-Womens,2014,Fashions Direct,4455,"Buchanan, Alma",3102.7800000000007,2037.9300000000003,505
010-Womens,2014,Fashions Direct,4455,"Carr, Slade",2106.16,,247
010-Womens,2014,Fashions Direct,4455,"Long, Amy",1861.62,,187
010-Womens,2014,Fashions Direct,4455,"Barrett, Galvin",1740.6599999999996,,134
010-Womens,2014,Fashions Direct,4015,"Buchanan, Alma",23531.649999999994,23371.539999999997,2483
010-Womens,2014,Fashions Direct,4015,"Ray, Violet",4575.960000000001,4580.960000000001,376
010-Womens,2014,Fashions Direct,4015,"Carr, Slade",3431.2999999999997,3430.2999999999997,452
010-Womens,2014,Fashions Direct,4015,"Hubbard, Quintessa",843.1999999999999,837.6999999999999,90
010-Womens,2014,Fashions Direct,4015,"Lynn, Farrah",130.9,130.9,11
010-Womens,2014,Fashions Direct,4015,"Clemons, Uma",9.99,9.99,3
010-Womens,2014,Fashions Direct,4015,"Watson, Skyler",5,5,1
010-Womens,2014,Fashions Direct,4015,"Pierce, Amery",-7,-7,-1
010-Womens,2014,Fashions Direct,4551,"Mccray, Nayda",13906.419999999993,2377.329999999999,3747
010-Womens,2014,Fashions Direct,4551,"Buchanan, Alma",5706.149999999999,5641.8899999999985,1755
010-Womens,2014,Fashions Direct,4551,"Hubbard, Quintessa",4593.879999999999,,1483
010-Womens,2014,Fashions Direct,4551,"Petty, Perry",1824.4,,603
