Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Sub-Category,Orders.Country,Orders.Customer Name,Sum(Orders.Profit),CountNonNull(Orders.Row ID),Sum(Orders.Sales),Sum(Orders.Discount),Sum(Orders.Quantity)
Qtr 2,2016,Accessories,United States,Alex Russell,,,,,
Qtr 3,2016,Accessories,United States,Alex Russell,,,,,
Qtr 4,2016,Accessories,United States,Alex Russell,,,,,
Qtr 2,2017,Accessories,United States,Alex Russell,,,,,
Qtr 3,2017,Accessories,United States,Alex Russell,20.234999999999996,1,85.2,0.2,6
Qtr 4,2017,Accessories,United States,Alex Russell,,,,,
Qtr 2,2014,Accessories,United States,Allen Armold,,,,,
Qtr 3,2014,Accessories,United States,Allen Armold,,,,,
Qtr 4,2014,Accessories,United States,Allen Armold,,,,,
Qtr 2,2015,Accessories,United States,Allen Armold,,,,,
Qtr 3,2015,Accessories,United States,Allen Armold,,,,,
Qtr 4,2015,Accessories,United States,Allen Armold,,,,,
Qtr 2,2016,Accessories,United States,Allen Armold,,,,,
Qtr 3,2016,Accessories,United States,Allen Armold,,,,,
Qtr 4,2016,Accessories,United States,Allen Armold,114.99540000000002,1,499.98,0,2
Qtr 2,2017,Accessories,United States,Allen Armold,,,,,
Qtr 3,2017,Accessories,United States,Allen Armold,,,,,
Qtr 4,2017,Accessories,United States,Allen Armold,,,,,
Qtr 2,2014,Accessories,United States,Amy Cox,,,,,
Qtr 3,2014,Accessories,United States,Amy Cox,,,,,
Qtr 4,2014,Accessories,United States,Amy Cox,,,,,
Qtr 2,2015,Accessories,United States,Amy Cox,-0.7295000000000007,1,11.672,0.2,1
Qtr 3,2015,Accessories,United States,Amy Cox,,,,,
Qtr 4,2015,Accessories,United States,Amy Cox,,,,,
Qtr 2,2016,Accessories,United States,Amy Cox,,,,,
Qtr 3,2016,Accessories,United States,Amy Cox,,,,,
Qtr 4,2016,Accessories,United States,Amy Cox,,,,,
Qtr 2,2017,Accessories,United States,Amy Cox,,,,,
Qtr 3,2017,Accessories,United States,Amy Cox,,,,,
Qtr 4,2017,Accessories,United States,Amy Cox,,,,,
Qtr 2,2014,Accessories,United States,Andrew Allen,,,,,
Qtr 3,2014,Accessories,United States,Andrew Allen,,,,,
Qtr 4,2014,Accessories,United States,Andrew Allen,,,,,
Qtr 2,2015,Accessories,United States,Andrew Allen,,,,,
Qtr 3,2015,Accessories,United States,Andrew Allen,,,,,
Qtr 4,2015,Accessories,United States,Andrew Allen,,,,,
Qtr 2,2016,Accessories,United States,Andrew Allen,,,,,
Qtr 3,2016,Accessories,United States,Andrew Allen,163.1898,1,479.97,0,3
Qtr 4,2016,Accessories,United States,Andrew Allen,,,,,
Qtr 2,2017,Accessories,United States,Andrew Allen,,,,,
Qtr 3,2017,Accessories,United States,Andrew Allen,,,,,
Qtr 4,2017,Accessories,United States,Andrew Allen,,,,,
Qtr 2,2014,Accessories,United States,Andrew Roberts,,,,,
Qtr 3,2014,Accessories,United States,Andrew Roberts,,,,,
Qtr 4,2014,Accessories,United States,Andrew Roberts,,,,,
Qtr 2,2015,Accessories,United States,Andrew Roberts,,,,,
Qtr 3,2015,Accessories,United States,Andrew Roberts,,,,,
Qtr 4,2015,Accessories,United States,Andrew Roberts,,,,,
Qtr 2,2016,Accessories,United States,Andrew Roberts,,,,,
Qtr 3,2016,Accessories,United States,Andrew Roberts,,,,,
Qtr 4,2016,Accessories,United States,Andrew Roberts,18.893699999999995,1,89.97,0,3
Qtr 2,2017,Accessories,United States,Andrew Roberts,,,,,
Qtr 3,2017,Accessories,United States,Andrew Roberts,,,,,
Qtr 4,2017,Accessories,United States,Andrew Roberts,,,,,
Qtr 2,2014,Accessories,United States,Andy Gerbode,,,,,
Qtr 3,2014,Accessories,United States,Andy Gerbode,,,,,
Qtr 4,2014,Accessories,United States,Andy Gerbode,,,,,
Qtr 2,2015,Accessories,United States,Andy Gerbode,,,,,
Qtr 3,2015,Accessories,United States,Andy Gerbode,16.199999999999992,1,90,0,5
Qtr 4,2015,Accessories,United States,Andy Gerbode,,,,,
Qtr 2,2016,Accessories,United States,Andy Gerbode,,,,,
Qtr 3,2016,Accessories,United States,Andy Gerbode,,,,,
Qtr 4,2016,Accessories,United States,Andy Gerbode,,,,,
Qtr 2,2017,Accessories,United States,Andy Gerbode,,,,,
Qtr 3,2017,Accessories,United States,Andy Gerbode,,,,,
Qtr 4,2017,Accessories,United States,Andy Gerbode,,,,,
Qtr 2,2014,Accessories,United States,Ann Blume,,,,,
Qtr 3,2014,Accessories,United States,Ann Blume,,,,,
Qtr 4,2014,Accessories,United States,Ann Blume,,,,,
Qtr 2,2015,Accessories,United States,Ann Blume,,,,,
Qtr 3,2015,Accessories,United States,Ann Blume,,,,,
Qtr 4,2015,Accessories,United States,Ann Blume,,,,,
Qtr 2,2016,Accessories,United States,Ann Blume,,,,,
Qtr 3,2016,Accessories,United States,Ann Blume,,,,,
Qtr 4,2016,Accessories,United States,Ann Blume,,,,,
Qtr 2,2017,Accessories,United States,Ann Blume,,,,,
Qtr 3,2017,Accessories,United States,Ann Blume,,,,,
Qtr 4,2017,Accessories,United States,Ann Blume,-35.99280000000004,1,239.95200000000003,0.2,6
Qtr 2,2014,Accessories,United States,Ann Chong,,,,,
Qtr 3,2014,Accessories,United States,Ann Chong,,,,,
Qtr 4,2014,Accessories,United States,Ann Chong,,,,,
Qtr 2,2015,Accessories,United States,Ann Chong,,,,,
Qtr 3,2015,Accessories,United States,Ann Chong,,,,,
Qtr 4,2015,Accessories,United States,Ann Chong,,,,,
Qtr 2,2016,Accessories,United States,Ann Chong,,,,,
Qtr 3,2016,Accessories,United States,Ann Chong,,,,,
Qtr 4,2016,Accessories,United States,Ann Chong,,,,,
Qtr 2,2017,Accessories,United States,Ann Chong,,,,,
Qtr 3,2017,Accessories,United States,Ann Chong,78.39280000000002,2,405.97,0,5
Qtr 4,2017,Accessories,United States,Ann Chong,,,,,
Qtr 2,2014,Accessories,United States,Anna Gayman,,,,,
Qtr 3,2014,Accessories,United States,Anna Gayman,,,,,
Qtr 4,2014,Accessories,United States,Anna Gayman,,,,,
Qtr 2,2015,Accessories,United States,Anna Gayman,,,,,
Qtr 3,2015,Accessories,United States,Anna Gayman,,,,,
Qtr 4,2015,Accessories,United States,Anna Gayman,,,,,
Qtr 2,2016,Accessories,United States,Anna Gayman,,,,,
Qtr 3,2016,Accessories,United States,Anna Gayman,0.7197999999999993,1,57.584,0.2,2
Qtr 4,2016,Accessories,United States,Anna Gayman,,,,,
Qtr 2,2017,Accessories,United States,Anna Gayman,,,,,
Qtr 3,2017,Accessories,United States,Anna Gayman,1.8872,1,13.48,0,1
Qtr 4,2017,Accessories,United States,Anna Gayman,,,,,
Qtr 2,2014,Accessories,United States,Anne Pryor,,,,,
Qtr 3,2014,Accessories,United States,Anne Pryor,,,,,
Qtr 4,2014,Accessories,United States,Anne Pryor,,,,,
Qtr 2,2015,Accessories,United States,Anne Pryor,,,,,
Qtr 3,2015,Accessories,United States,Anne Pryor,,,,,
Qtr 4,2015,Accessories,United States,Anne Pryor,-1.3583999999999987,1,27.168000000000003,0.2,4
Qtr 2,2016,Accessories,United States,Anne Pryor,,,,,
Qtr 3,2016,Accessories,United States,Anne Pryor,,,,,
Qtr 4,2016,Accessories,United States,Anne Pryor,,,,,
Qtr 2,2017,Accessories,United States,Anne Pryor,,,,,
Qtr 3,2017,Accessories,United States,Anne Pryor,,,,,
Qtr 4,2017,Accessories,United States,Anne Pryor,,,,,
Qtr 2,2014,Accessories,United States,Anthony Jacobs,,,,,
Qtr 3,2014,Accessories,United States,Anthony Jacobs,,,,,
Qtr 4,2014,Accessories,United States,Anthony Jacobs,,,,,
Qtr 2,2015,Accessories,United States,Anthony Jacobs,,,,,
Qtr 3,2015,Accessories,United States,Anthony Jacobs,,,,,
Qtr 4,2015,Accessories,United States,Anthony Jacobs,,,,,
Qtr 2,2016,Accessories,United States,Anthony Jacobs,,,,,
Qtr 3,2016,Accessories,United States,Anthony Jacobs,,,,,
Qtr 4,2016,Accessories,United States,Anthony Jacobs,,,,,
Qtr 2,2017,Accessories,United States,Anthony Jacobs,18.893699999999995,1,89.97,0,3
Qtr 3,2017,Accessories,United States,Anthony Jacobs,,,,,
Qtr 4,2017,Accessories,United States,Anthony Jacobs,,,,,
Qtr 2,2014,Accessories,United States,Anthony Johnson,,,,,
Qtr 3,2014,Accessories,United States,Anthony Johnson,,,,,
Qtr 4,2014,Accessories,United States,Anthony Johnson,,,,,
Qtr 2,2015,Accessories,United States,Anthony Johnson,,,,,
Qtr 3,2015,Accessories,United States,Anthony Johnson,,,,,
Qtr 4,2015,Accessories,United States,Anthony Johnson,,,,,
Qtr 2,2016,Accessories,United States,Anthony Johnson,,,,,
Qtr 3,2016,Accessories,United States,Anthony Johnson,1.6559999999999988,1,20.700000000000003,0,3
Qtr 4,2016,Accessories,United States,Anthony Johnson,,,,,
Qtr 2,2017,Accessories,United States,Anthony Johnson,,,,,
Qtr 3,2017,Accessories,United States,Anthony Johnson,,,,,
Qtr 4,2017,Accessories,United States,Anthony Johnson,,,,,
Qtr 2,2014,Accessories,United States,Anthony Rawles,,,,,
Qtr 3,2014,Accessories,United States,Anthony Rawles,,,,,
Qtr 4,2014,Accessories,United States,Anthony Rawles,,,,,
Qtr 2,2015,Accessories,United States,Anthony Rawles,,,,,
Qtr 3,2015,Accessories,United States,Anthony Rawles,,,,,
Qtr 4,2015,Accessories,United States,Anthony Rawles,,,,,
Qtr 2,2016,Accessories,United States,Anthony Rawles,,,,,
Qtr 3,2016,Accessories,United States,Anthony Rawles,,,,,
Qtr 4,2016,Accessories,United States,Anthony Rawles,31.599999999999966,1,316,0,4
Qtr 2,2017,Accessories,United States,Anthony Rawles,,,,,
Qtr 3,2017,Accessories,United States,Anthony Rawles,,,,,
Qtr 4,2017,Accessories,United States,Anthony Rawles,,,,,
Qtr 2,2014,Accessories,United States,Anthony Witt,,,,,
Qtr 3,2014,Accessories,United States,Anthony Witt,,,,,
Qtr 4,2014,Accessories,United States,Anthony Witt,,,,,
Qtr 2,2015,Accessories,United States,Anthony Witt,,,,,
Qtr 3,2015,Accessories,United States,Anthony Witt,,,,,
Qtr 4,2015,Accessories,United States,Anthony Witt,-0.26850000000000307,1,21.48,0.2,3
Qtr 2,2016,Accessories,United States,Anthony Witt,,,,,
Qtr 3,2016,Accessories,United States,Anthony Witt,,,,,
Qtr 4,2016,Accessories,United States,Anthony Witt,,,,,
Qtr 2,2017,Accessories,United States,Anthony Witt,,,,,
Qtr 3,2017,Accessories,United States,Anthony Witt,,,,,
Qtr 4,2017,Accessories,United States,Anthony Witt,,,,,
Qtr 2,2014,Accessories,United States,Art Ferguson,,,,,
Qtr 3,2014,Accessories,United States,Art Ferguson,,,,,
Qtr 4,2014,Accessories,United States,Art Ferguson,,,,,
Qtr 2,2015,Accessories,United States,Art Ferguson,,,,,
Qtr 3,2015,Accessories,United States,Art Ferguson,,,,,
Qtr 4,2015,Accessories,United States,Art Ferguson,,,,,
Qtr 2,2016,Accessories,United States,Art Ferguson,27.159999999999993,2,121.276,0.2,7
Qtr 3,2016,Accessories,United States,Art Ferguson,,,,,
Qtr 4,2016,Accessories,United States,Art Ferguson,,,,,
Qtr 2,2017,Accessories,United States,Art Ferguson,,,,,
Qtr 3,2017,Accessories,United States,Art Ferguson,,,,,
Qtr 4,2017,Accessories,United States,Art Ferguson,,,,,
Qtr 2,2014,Accessories,United States,Arthur Gainer,,,,,
Qtr 3,2014,Accessories,United States,Arthur Gainer,149.2487999999999,2,1502.976,0.4,18
Qtr 4,2014,Accessories,United States,Arthur Gainer,,,,,
Qtr 2,2015,Accessories,United States,Arthur Gainer,,,,,
Qtr 3,2015,Accessories,United States,Arthur Gainer,,,,,
Qtr 4,2015,Accessories,United States,Arthur Gainer,,,,,
Qtr 2,2016,Accessories,United States,Arthur Gainer,,,,,
Qtr 3,2016,Accessories,United States,Arthur Gainer,,,,,
Qtr 4,2016,Accessories,United States,Arthur Gainer,,,,,
Qtr 2,2017,Accessories,United States,Arthur Gainer,,,,,
Qtr 3,2017,Accessories,United States,Arthur Gainer,,,,,
Qtr 4,2017,Accessories,United States,Arthur Gainer,,,,,
Qtr 2,2014,Accessories,United States,Arthur Prichep,,,,,
Qtr 3,2014,Accessories,United States,Arthur Prichep,,,,,
Qtr 4,2014,Accessories,United States,Arthur Prichep,,,,,
Qtr 2,2015,Accessories,United States,Arthur Prichep,,,,,
Qtr 3,2015,Accessories,United States,Arthur Prichep,,,,,
Qtr 4,2015,Accessories,United States,Arthur Prichep,,,,,
Qtr 2,2016,Accessories,United States,Arthur Prichep,,,,,
Qtr 3,2016,Accessories,United States,Arthur Prichep,,,,,
Qtr 4,2016,Accessories,United States,Arthur Prichep,8.502499999999994,1,44.75,0,5
Qtr 2,2017,Accessories,United States,Arthur Prichep,,,,,
Qtr 3,2017,Accessories,United States,Arthur Prichep,0.5997999999999966,1,47.984,0.2,2
Qtr 4,2017,Accessories,United States,Arthur Prichep,,,,,
Qtr 2,2014,Accessories,United States,Ashley Jarboe,,,,,
Qtr 3,2014,Accessories,United States,Ashley Jarboe,,,,,
Qtr 4,2014,Accessories,United States,Ashley Jarboe,,,,,
Qtr 2,2015,Accessories,United States,Ashley Jarboe,,,,,
Qtr 3,2015,Accessories,United States,Ashley Jarboe,,,,,
Qtr 4,2015,Accessories,United States,Ashley Jarboe,10.5,1,50,0,2
Qtr 2,2016,Accessories,United States,Ashley Jarboe,,,,,
Qtr 3,2016,Accessories,United States,Ashley Jarboe,,,,,
Qtr 4,2016,Accessories,United States,Ashley Jarboe,,,,,
Qtr 2,2017,Accessories,United States,Ashley Jarboe,,,,,
Qtr 3,2017,Accessories,United States,Ashley Jarboe,,,,,
Qtr 4,2017,Accessories,United States,Ashley Jarboe,,,,,
Qtr 2,2014,Accessories,United States,Bart Pistole,,,,,
Qtr 3,2014,Accessories,United States,Bart Pistole,,,,,
Qtr 4,2014,Accessories,United States,Bart Pistole,,,,,
Qtr 2,2015,Accessories,United States,Bart Pistole,,,,,
Qtr 3,2015,Accessories,United States,Bart Pistole,,,,,
Qtr 4,2015,Accessories,United States,Bart Pistole,,,,,
Qtr 2,2016,Accessories,United States,Bart Pistole,,,,,
Qtr 3,2016,Accessories,United States,Bart Pistole,,,,,
Qtr 4,2016,Accessories,United States,Bart Pistole,,,,,
Qtr 2,2017,Accessories,United States,Bart Pistole,,,,,
Qtr 3,2017,Accessories,United States,Bart Pistole,,,,,
Qtr 4,2017,Accessories,United States,Bart Pistole,-10.79730000000001,1,95.97600000000001,0.2,3
Qtr 2,2014,Accessories,United States,Becky Castell,,,,,
Qtr 3,2014,Accessories,United States,Becky Castell,,,,,
Qtr 4,2014,Accessories,United States,Becky Castell,,,,,
Qtr 2,2015,Accessories,United States,Becky Castell,91.99540000000002,1,319.98400000000004,0.2,2
Qtr 3,2015,Accessories,United States,Becky Castell,,,,,
Qtr 4,2015,Accessories,United States,Becky Castell,,,,,
