Orders.Order Date.Variation.Date Hierarchy.Year,Orders.City,CountNonNull(Orders.Postal Code)
2014,Cincinnati,2
2015,Cincinnati,1
2016,Cincinnati,7
2017,Cincinnati,7
2014,Citrus Heights,
2015,Citrus Heights,
2016,Citrus Heights,
2017,Citrus Heights,1
2014,Clarksville,1
2015,Clarksville,2
2016,Clarksville,
2017,Clarksville,4
2014,Cleveland,4
2015,Cleveland,6
2016,Cleveland,14
2017,Cleveland,18
2014,Clifton,2
2015,Clifton,
2016,Clifton,
2017,Clifton,
2014,Clinton,4
2015,Clinton,17
2016,Clinton,4
2017,Clinton,4
2014,Clovis,
2015,Clovis,
2016,Clovis,
2017,Clovis,2
2014,Coachella,
2015,Coachella,
2016,Coachella,
2017,Coachella,2
2014,College Station,
2015,College Station,
2016,College Station,
2017,College Station,3
2014,Colorado Springs,5
2015,Colorado Springs,15
2016,Colorado Springs,5
2017,Colorado Springs,
2014,Columbia,23
2015,Columbia,14
2016,Columbia,21
2017,Columbia,23
2014,Columbus,51
2015,Columbus,33
2016,Columbus,56
2017,Columbus,82
2014,Commerce City,
2015,Commerce City,
2016,Commerce City,
2017,Commerce City,1
2014,Concord,8
2015,Concord,4
2016,Concord,9
2017,Concord,10
2014,Conroe,
2015,Conroe,
2016,Conroe,1
2017,Conroe,
2014,Conway,
2015,Conway,1
2016,Conway,
2017,Conway,
2014,Coon Rapids,2
2015,Coon Rapids,
2016,Coon Rapids,
2017,Coon Rapids,
2014,Coppell,
2015,Coppell,1
2016,Coppell,
2017,Coppell,3
2014,Coral Gables,
2015,Coral Gables,
2016,Coral Gables,2
2017,Coral Gables,
2014,Coral Springs,
2015,Coral Springs,6
2016,Coral Springs,
2017,Coral Springs,2
2014,Corpus Christi,7
2015,Corpus Christi,
2016,Corpus Christi,
2017,Corpus Christi,1
2014,Costa Mesa,
2015,Costa Mesa,1
2016,Costa Mesa,4
2017,Costa Mesa,6
2014,Cottage Grove,2
2015,Cottage Grove,
2016,Cottage Grove,
2017,Cottage Grove,
2014,Covington,
2015,Covington,1
2016,Covington,3
2017,Covington,
2014,Cranston,7
2015,Cranston,
2016,Cranston,
2017,Cranston,9
2014,Cuyahoga Falls,
2015,Cuyahoga Falls,1
2016,Cuyahoga Falls,1
2017,Cuyahoga Falls,1
2014,Dallas,24
2015,Dallas,23
2016,Dallas,40
2017,Dallas,70
2014,Danbury,
2015,Danbury,
2016,Danbury,
2017,Danbury,1
2014,Danville,
2015,Danville,
2016,Danville,
2017,Danville,7
2014,Davis,
2015,Davis,
2016,Davis,1
2017,Davis,
2014,Daytona Beach,
2015,Daytona Beach,4
2016,Daytona Beach,
2017,Daytona Beach,
2014,Dearborn,
2015,Dearborn,4
2016,Dearborn,
2017,Dearborn,1
2014,Dearborn Heights,4
2015,Dearborn Heights,
2016,Dearborn Heights,
2017,Dearborn Heights,2
2014,Decatur,13
2015,Decatur,5
2016,Decatur,8
2017,Decatur,9
2014,Deer Park,
2015,Deer Park,
2016,Deer Park,1
2017,Deer Park,
2014,Delray Beach,1
2015,Delray Beach,
2016,Delray Beach,2
2017,Delray Beach,
2014,Deltona,3
2015,Deltona,1
2016,Deltona,
2017,Deltona,1
2014,Denver,12
2015,Denver,5
2016,Denver,11
2017,Denver,16
2014,Des Moines,5
2015,Des Moines,2
2016,Des Moines,6
2017,Des Moines,6
2014,Des Plaines,5
2015,Des Plaines,
2016,Des Plaines,
2017,Des Plaines,1
2014,Detroit,12
2015,Detroit,37
2016,Detroit,37
2017,Detroit,29
2014,Dover,7
2015,Dover,8
2016,Dover,4
2017,Dover,
2014,Draper,1
2015,Draper,
2016,Draper,
2017,Draper,2
2014,Dublin,
2015,Dublin,6
2016,Dublin,
2017,Dublin,8
2014,Dubuque,
2015,Dubuque,3
2016,Dubuque,
2017,Dubuque,
2014,Durham,2
2015,Durham,5
2016,Durham,
2017,Durham,2
2014,Eagan,
2015,Eagan,3
2016,Eagan,2
2017,Eagan,3
2014,East Orange,
2015,East Orange,
2016,East Orange,4
2017,East Orange,1
2014,East Point,
2015,East Point,3
2016,East Point,
2017,East Point,
2014,Eau Claire,1
2015,Eau Claire,2
2016,Eau Claire,2
2017,Eau Claire,1
2014,Edinburg,
2015,Edinburg,
2016,Edinburg,2
2017,Edinburg,1
2014,Edmond,
2015,Edmond,
2016,Edmond,2
2017,Edmond,
2014,Edmonds,4
2015,Edmonds,
2016,Edmonds,5
2017,Edmonds,5
2014,El Cajon,1
2015,El Cajon,
2016,El Cajon,1
2017,El Cajon,
2014,El Paso,12
2015,El Paso,1
2016,El Paso,1
2017,El Paso,5
2014,Elkhart,
2015,Elkhart,
2016,Elkhart,
2017,Elkhart,2
2014,Elmhurst,2
2015,Elmhurst,
2016,Elmhurst,2
2017,Elmhurst,
2014,Elyria,
2015,Elyria,
2016,Elyria,
2017,Elyria,1
2014,Encinitas,
2015,Encinitas,
2016,Encinitas,2
2017,Encinitas,3
2014,Englewood,
2015,Englewood,
2016,Englewood,2
2017,Englewood,
2014,Escondido,2
2015,Escondido,
2016,Escondido,
2017,Escondido,1
2014,Eugene,
2015,Eugene,
2016,Eugene,6
2017,Eugene,
2014,Evanston,1
2015,Evanston,2
2016,Evanston,1
2017,Evanston,
2014,Everett,3
2015,Everett,9
2016,Everett,
2017,Everett,10
2014,Fairfield,10
2015,Fairfield,1
2016,Fairfield,8
2017,Fairfield,26
2014,Fargo,
2015,Fargo,
2016,Fargo,
2017,Fargo,7
2014,Farmington,
2015,Farmington,1
2016,Farmington,
2017,Farmington,2
2014,Fayetteville,7
2015,Fayetteville,5
2016,Fayetteville,12
2017,Fayetteville,17
2014,Florence,3
2015,Florence,7
2016,Florence,2
2017,Florence,9
2014,Fort Collins,
2015,Fort Collins,
2016,Fort Collins,1
2017,Fort Collins,6
2014,Fort Lauderdale,2
2015,Fort Lauderdale,2
2016,Fort Lauderdale,6
2017,Fort Lauderdale,5
2014,Fort Worth,6
2015,Fort Worth,8
2016,Fort Worth,7
2017,Fort Worth,6
2014,Frankfort,
2015,Frankfort,1
2016,Frankfort,1
2017,Frankfort,
2014,Franklin,4
2015,Franklin,12
2016,Franklin,15
2017,Franklin,6
2014,Freeport,2
2015,Freeport,5
2016,Freeport,
2017,Freeport,3
2014,Fremont,
2015,Fremont,
2016,Fremont,3
2017,Fremont,5
2014,Fresno,9
2015,Fresno,
2016,Fresno,3
2017,Fresno,14
2014,Frisco,
2015,Frisco,1
2016,Frisco,
2017,Frisco,1
2014,Gaithersburg,
2015,Gaithersburg,
2016,Gaithersburg,2
2017,Gaithersburg,
2014,Garden City,1
2015,Garden City,3
2016,Garden City,
2017,Garden City,1
2014,Garland,1
2015,Garland,
2016,Garland,
2017,Garland,3
2014,Gastonia,
2015,Gastonia,
2016,Gastonia,4
2017,Gastonia,
2014,Georgetown,
2015,Georgetown,
2016,Georgetown,6
2017,Georgetown,2
2014,Gilbert,2
2015,Gilbert,7
2016,Gilbert,
2017,Gilbert,6
2014,Gladstone,
2015,Gladstone,
2016,Gladstone,
2017,Gladstone,2
2014,Glendale,5
2015,Glendale,2
2016,Glendale,5
2017,Glendale,11
2014,Glenview,
2015,Glenview,1
2016,Glenview,
2017,Glenview,
2014,Goldsboro,
2015,Goldsboro,
2016,Goldsboro,1
2017,Goldsboro,
2014,Grand Island,
2015,Grand Island,
2016,Grand Island,
2017,Grand Island,1
2014,Grand Prairie,2
2015,Grand Prairie,5
2016,Grand Prairie,3
2017,Grand Prairie,3
2014,Grand Rapids,1
2015,Grand Rapids,
2016,Grand Rapids,4
2017,Grand Rapids,2
2014,Grapevine,
2015,Grapevine,
2016,Grapevine,2
2017,Grapevine,
2014,Great Falls,4
2015,Great Falls,
2016,Great Falls,
2017,Great Falls,4
2014,Greeley,
2015,Greeley,
2016,Greeley,
2017,Greeley,2
2014,Green Bay,1
2015,Green Bay,
2016,Green Bay,2
2017,Green Bay,1
2014,Greensboro,2
2015,Greensboro,1
2016,Greensboro,5
2017,Greensboro,5
2014,Greenville,1
2015,Greenville,
2016,Greenville,6
2017,Greenville,2
2014,Greenwood,
2015,Greenwood,
2016,Greenwood,1
2017,Greenwood,3
2014,Gresham,2
2015,Gresham,
2016,Gresham,3
2017,Gresham,
2014,Grove City,
2015,Grove City,
2016,Grove City,
2017,Grove City,2
2014,Gulfport,
2015,Gulfport,
2016,Gulfport,2
2017,Gulfport,1
2014,Hackensack,6
2015,Hackensack,
2016,Hackensack,
2017,Hackensack,
2014,Hagerstown,
2015,Hagerstown,
2016,Hagerstown,
2017,Hagerstown,1
2014,Haltom City,
2015,Haltom City,4
2016,Haltom City,
2017,Haltom City,
2014,Hamilton,3
2015,Hamilton,
2016,Hamilton,1
2017,Hamilton,
2014,Hampton,4
2015,Hampton,6
2016,Hampton,1
2017,Hampton,
2014,Harlingen,
2015,Harlingen,
2016,Harlingen,3
2017,Harlingen,2
2014,Harrisonburg,5
2015,Harrisonburg,1
2016,Harrisonburg,
2017,Harrisonburg,1
2014,Hattiesburg,
2015,Hattiesburg,1
2016,Hattiesburg,6
2017,Hattiesburg,2
2014,Helena,
2015,Helena,2
2016,Helena,
2017,Helena,1
2014,Hempstead,3
2015,Hempstead,4
2016,Hempstead,3
2017,Hempstead,1
2014,Henderson,13
2015,Henderson,16
2016,Henderson,11
2017,Henderson,11
2014,Hendersonville,
2015,Hendersonville,
2016,Hendersonville,2
2017,Hendersonville,3
2014,Hesperia,
2015,Hesperia,
2016,Hesperia,3
2017,Hesperia,1
2014,Hialeah,5
2015,Hialeah,1
2016,Hialeah,6
2017,Hialeah,6
2014,Hickory,
2015,Hickory,
2016,Hickory,1
2017,Hickory,1
2014,Highland Park,
2015,Highland Park,4
2016,Highland Park,3
2017,Highland Park,
2014,Hillsboro,
2015,Hillsboro,2
2016,Hillsboro,
2017,Hillsboro,2
2014,Holland,
2015,Holland,1
2016,Holland,2
2017,Holland,
2014,Hollywood,3
2015,Hollywood,3
2016,Hollywood,2
2017,Hollywood,3
2014,Holyoke,
2015,Holyoke,1
2016,Holyoke,
2017,Holyoke,
2014,Homestead,
2015,Homestead,
2016,Homestead,1
2017,Homestead,2
2014,Hoover,
2015,Hoover,
2016,Hoover,
2017,Hoover,4
2014,Hot Springs,
2015,Hot Springs,1
2016,Hot Springs,3
2017,Hot Springs,
2014,Houston,79
2015,Houston,94
2016,Houston,100
2017,Houston,104
2014,Huntington Beach,3
2015,Huntington Beach,
2016,Huntington Beach,1
2017,Huntington Beach,2
2014,Huntsville,12
2015,Huntsville,4
2016,Huntsville,7
2017,Huntsville,13
2014,Independence,
2015,Independence,
2016,Independence,
2017,Independence,2
2014,Indianapolis,3
2015,Indianapolis,5
2016,Indianapolis,1
2017,Indianapolis,14
2014,Inglewood,
2015,Inglewood,
2016,Inglewood,
2017,Inglewood,16
2014,Iowa City,
2015,Iowa City,
2016,Iowa City,1
2017,Iowa City,
2014,Irving,1
2015,Irving,
2016,Irving,7
2017,Irving,
2014,Jackson,16
2015,Jackson,11
2016,Jackson,29
2017,Jackson,26
2014,Jacksonville,21
2015,Jacksonville,27
2016,Jacksonville,32
2017,Jacksonville,45
2014,Jamestown,2
2015,Jamestown,
2016,Jamestown,
2017,Jamestown,
2014,Jefferson City,
2015,Jefferson City,
2016,Jefferson City,1
2017,Jefferson City,
2014,Johnson City,3
2015,Johnson City,
2016,Johnson City,4
2017,Johnson City,5
2014,Jonesboro,7
2015,Jonesboro,
2016,Jonesboro,2
2017,Jonesboro,2
2014,Jupiter,
2015,Jupiter,
2016,Jupiter,
2017,Jupiter,1
2014,Keller,
2015,Keller,
2016,Keller,
2017,Keller,1
2014,Kenner,
2015,Kenner,
2016,Kenner,2
2017,Kenner,
2014,Kenosha,
2015,Kenosha,8
2016,Kenosha,
2017,Kenosha,1
2014,Kent,3
2015,Kent,
2016,Kent,1
2017,Kent,9
2014,Kirkwood,
2015,Kirkwood,2
2016,Kirkwood,
2017,Kirkwood,
2014,Kissimmee,
2015,Kissimmee,
2016,Kissimmee,
2017,Kissimmee,1
2014,Knoxville,6
2015,Knoxville,
2016,Knoxville,4
2017,Knoxville,14
2014,La Crosse,
2015,La Crosse,
2016,La Crosse,5
2017,La Crosse,
2014,La Mesa,
2015,La Mesa,
2016,La Mesa,
2017,La Mesa,2
2014,La Porte,
2015,La Porte,
2016,La Porte,9
2017,La Porte,1
2014,La Quinta,
2015,La Quinta,1
2016,La Quinta,
2017,La Quinta,
2014,Lafayette,5
2015,Lafayette,2
2016,Lafayette,7
2017,Lafayette,17
2014,Laguna Niguel,
2015,Laguna Niguel,
2016,Laguna Niguel,1
2017,Laguna Niguel,3
2014,Lake Charles,2
2015,Lake Charles,
2016,Lake Charles,
2017,Lake Charles,1
2014,Lake Elsinore,
2015,Lake Elsinore,1
2016,Lake Elsinore,
2017,Lake Elsinore,
2014,Lake Forest,
2015,Lake Forest,
2016,Lake Forest,4
2017,Lake Forest,2
2014,Lakeland,8
2015,Lakeland,11
2016,Lakeland,1
2017,Lakeland,2
2014,Lakeville,10
2015,Lakeville,1
2016,Lakeville,
2017,Lakeville,4
2014,Lakewood,10
2015,Lakewood,8
2016,Lakewood,7
2017,Lakewood,24
2014,Lancaster,7
2015,Lancaster,3
2016,Lancaster,19
2017,Lancaster,17
2014,Lansing,
2015,Lansing,5
2016,Lansing,1
2017,Lansing,2
2014,Laredo,7
2015,Laredo,
2016,Laredo,6
2017,Laredo,
2014,Las Cruces,
2015,Las Cruces,2
2016,Las Cruces,
2017,Las Cruces,1
2014,Las Vegas,1
2015,Las Vegas,8
2016,Las Vegas,
2017,Las Vegas,4
2014,Laurel,
2015,Laurel,
2016,Laurel,
2017,Laurel,2
2014,Lawrence,8
2015,Lawrence,16
2016,Lawrence,6
2017,Lawrence,14
2014,Lawton,2
2015,Lawton,
2016,Lawton,
2017,Lawton,2
2014,Layton,
2015,Layton,1
2016,Layton,
2017,Layton,
2014,League City,4
2015,League City,
2016,League City,
2017,League City,2
2014,Lebanon,
2015,Lebanon,1
2016,Lebanon,1
2017,Lebanon,1
2014,Lehi,
2015,Lehi,1
2016,Lehi,1
2017,Lehi,
2014,Leominster,
2015,Leominster,6
2016,Leominster,
2017,Leominster,
2014,Lewiston,1
2015,Lewiston,3
2016,Lewiston,
2017,Lewiston,
2014,Lincoln Park,
2015,Lincoln Park,2
2016,Lincoln Park,1
2017,Lincoln Park,
2014,Linden,1
2015,Linden,
2016,Linden,
2017,Linden,
2014,Lindenhurst,
2015,Lindenhurst,1
2016,Lindenhurst,
2017,Lindenhurst,
2014,Little Rock,6
2015,Little Rock,
2016,Little Rock,10
2017,Little Rock,8
2014,Littleton,
2015,Littleton,
2016,Littleton,1
2017,Littleton,
2014,Lodi,1
2015,Lodi,
2016,Lodi,
2017,Lodi,1
2014,Logan,5
2015,Logan,
2016,Logan,
2017,Logan,
2014,Long Beach,13
2015,Long Beach,16
2016,Long Beach,18
2017,Long Beach,14
2014,Longmont,
2015,Longmont,
2016,Longmont,3
2017,Longmont,
2014,Longview,
2015,Longview,
2016,Longview,1
2017,Longview,2
2014,Lorain,1
2015,Lorain,
2016,Lorain,5
2017,Lorain,3
2014,Los Angeles,156
2015,Los Angeles,161
2016,Los Angeles,220
2017,Los Angeles,210
2014,Louisville,8
2015,Louisville,15
2016,Louisville,6
2017,Louisville,28
2014,Loveland,
2015,Loveland,
2016,Loveland,
2017,Loveland,4
2014,Lowell,7
2015,Lowell,
2016,Lowell,2
2017,Lowell,7
2014,Lubbock,1
2015,Lubbock,3
2016,Lubbock,
2017,Lubbock,2
2014,Macon,4
2015,Macon,2
2016,Macon,
2017,Macon,
2014,Madison,3
2015,Madison,
2016,Madison,2
2017,Madison,5
2014,Malden,
2015,Malden,
2016,Malden,3
2017,Malden,
2014,Manchester,
2015,Manchester,2
2016,Manchester,4
2017,Manchester,5
2014,Manhattan,1
2015,Manhattan,
2016,Manhattan,
2017,Manhattan,
2014,Mansfield,
2015,Mansfield,
2016,Mansfield,
2017,Mansfield,2
2014,Manteca,2
2015,Manteca,
2016,Manteca,
2017,Manteca,1
2014,Maple Grove,
2015,Maple Grove,
2016,Maple Grove,
2017,Maple Grove,4
2014,Margate,1
2015,Margate,
2016,Margate,
2017,Margate,
2014,Marietta,2
2015,Marietta,1
2016,Marietta,4
2017,Marietta,
2014,Marion,3
2015,Marion,7
2016,Marion,1
2017,Marion,9
2014,Marlborough,
2015,Marlborough,
2016,Marlborough,2
2017,Marlborough,
2014,Marysville,
2015,Marysville,
2016,Marysville,2
2017,Marysville,
2014,Mason,3
2015,Mason,
2016,Mason,
2017,Mason,
2014,Mcallen,
2015,Mcallen,11
2016,Mcallen,5
2017,Mcallen,3
2014,Medford,2
2015,Medford,1
2016,Medford,1
2017,Medford,
2014,Medina,3
2015,Medina,6
2016,Medina,
2017,Medina,
2014,Melbourne,
2015,Melbourne,
2016,Melbourne,
2017,Melbourne,1
2014,Memphis,4
2015,Memphis,8
2016,Memphis,4
2017,Memphis,14
2014,Mentor,
2015,Mentor,
2016,Mentor,
2017,Mentor,6
2014,Meriden,4
2015,Meriden,3
2016,Meriden,
2017,Meriden,4
2014,Meridian,
2015,Meridian,
2016,Meridian,
2017,Meridian,4
2014,Mesa,1
2015,Mesa,15
2016,Mesa,4
2017,Mesa,8
2014,Mesquite,4
2015,Mesquite,
2016,Mesquite,
2017,Mesquite,1
2014,Miami,17
2015,Miami,17
2016,Miami,9
2017,Miami,14
2014,Middletown,1
2015,Middletown,1
2016,Middletown,2
2017,Middletown,5
2014,Midland,10
2015,Midland,2
2016,Midland,
2017,Midland,
2014,Milford,
2015,Milford,
2016,Milford,3
2017,Milford,3
2014,Milwaukee,1
2015,Milwaukee,10
2016,Milwaukee,10
2017,Milwaukee,24
2014,Minneapolis,7
2015,Minneapolis,7
2016,Minneapolis,2
2017,Minneapolis,7
2014,Miramar,
2015,Miramar,
2016,Miramar,
2017,Miramar,8
2014,Mishawaka,1
2015,Mishawaka,
2016,Mishawaka,1
2017,Mishawaka,
2014,Mission Viejo,1
2015,Mission Viejo,
2016,Mission Viejo,2
2017,Mission Viejo,2
2014,Missoula,
2015,Missoula,1
2016,Missoula,
2017,Missoula,
2014,Missouri City,
2015,Missouri City,
2016,Missouri City,
2017,Missouri City,1
2014,Mobile,1
2015,Mobile,3
2016,Mobile,7
2017,Mobile,
2014,Modesto,
2015,Modesto,
2016,Modesto,
2017,Modesto,3
2014,Monroe,3
2015,Monroe,8
2016,Monroe,4
2017,Monroe,6
2014,Montebello,
2015,Montebello,
2016,Montebello,1
2017,Montebello,
2014,Montgomery,4
2015,Montgomery,3
2016,Montgomery,2
2017,Montgomery,1
2014,Moorhead,1
2015,Moorhead,
2016,Moorhead,
2017,Moorhead,1
2014,Moreno Valley,5
2015,Moreno Valley,3
2016,Moreno Valley,2
2017,Moreno Valley,
2014,Morgan Hill,
2015,Morgan Hill,
2016,Morgan Hill,4
2017,Morgan Hill,
2014,Morristown,
2015,Morristown,2
2016,Morristown,2
2017,Morristown,3
2014,Mount Pleasant,1
2015,Mount Pleasant,1
2016,Mount Pleasant,
2017,Mount Pleasant,
2014,Mount Vernon,2
2015,Mount Vernon,
2016,Mount Vernon,
2017,Mount Vernon,6
2014,Murfreesboro,
2015,Murfreesboro,9
2016,Murfreesboro,1
2017,Murfreesboro,1
2014,Murray,1
2015,Murray,
2016,Murray,1
2017,Murray,3
2014,Murrieta,
2015,Murrieta,1
2016,Murrieta,
2017,Murrieta,
2014,Muskogee,
2015,Muskogee,
2016,Muskogee,
2017,Muskogee,4
2014,Naperville,3
2015,Naperville,3
2016,Naperville,
2017,Naperville,2
2014,Nashua,
2015,Nashua,
2016,Nashua,1
2017,Nashua,1
2014,Nashville,2
2015,Nashville,7
2016,Nashville,8
2017,Nashville,12
2014,New Albany,
2015,New Albany,4
2016,New Albany,
2017,New Albany,
2014,New Bedford,
2015,New Bedford,1
2016,New Bedford,
2017,New Bedford,4
2014,New Brunswick,
2015,New Brunswick,
2016,New Brunswick,
2017,New Brunswick,2
2014,New Castle,
2015,New Castle,2
2016,New Castle,
2017,New Castle,
2014,New Rochelle,5
2015,New Rochelle,
2016,New Rochelle,2
2017,New Rochelle,2
2014,New York City,141
2015,New York City,211
2016,New York City,257
2017,New York City,306
2014,Newark,18
2015,Newark,25
2016,Newark,30
2017,Newark,22
2014,Newport News,3
2015,Newport News,1
2016,Newport News,4
2017,Newport News,4
2014,Niagara Falls,1
2015,Niagara Falls,
2016,Niagara Falls,2
2017,Niagara Falls,
2014,Noblesville,
2015,Noblesville,3
2016,Noblesville,1
2017,Noblesville,
2014,Norfolk,
2015,Norfolk,1
2016,Norfolk,
2017,Norfolk,
2014,Normal,
2015,Normal,1
2016,Normal,
2017,Normal,
2014,Norman,
2015,Norman,
