Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Region,Orders.Country,Orders.City,Orders.Customer ID,Orders.Customer Name,Orders.Order ID,Sum(Orders.Discount)
2015,Furniture,Bookcases,Central,United States,Des Plaines,JK-15730,Joe Kamberova,CA-2014-163468,
2016,Furniture,Bookcases,Central,United States,Des Plaines,JK-15730,Joe Kamberova,CA-2014-163468,
2017,Furniture,Bookcases,Central,United States,Des Plaines,JK-15730,Joe Kamberova,CA-2014-163468,
2014,Furniture,Bookcases,Central,United States,Detroit,DL-13495,Dionis Lloyd,CA-2015-153717,
2015,Furniture,Bookcases,Central,United States,Detroit,DL-13495,Dionis Lloyd,CA-2015-153717,0
2016,Furniture,Bookcases,Central,United States,Detroit,DL-13495,Dionis Lloyd,CA-2015-153717,
2017,Furniture,Bookcases,Central,United States,Detroit,DL-13495,Dionis Lloyd,CA-2015-153717,
2014,Furniture,Bookcases,Central,United States,Detroit,SR-20425,Sharelle Roach,CA-2014-140487,0
2015,Furniture,Bookcases,Central,United States,Detroit,SR-20425,Sharelle Roach,CA-2014-140487,
2016,Furniture,Bookcases,Central,United States,Detroit,SR-20425,Sharelle Roach,CA-2014-140487,
2017,Furniture,Bookcases,Central,United States,Detroit,SR-20425,Sharelle Roach,CA-2014-140487,
2014,Furniture,Bookcases,Central,United States,Eau Claire,AG-10900,Arthur Gainer,CA-2016-160108,
2015,Furniture,Bookcases,Central,United States,Eau Claire,AG-10900,Arthur Gainer,CA-2016-160108,
2016,Furniture,Bookcases,Central,United States,Eau Claire,AG-10900,Arthur Gainer,CA-2016-160108,0
2017,Furniture,Bookcases,Central,United States,Eau Claire,AG-10900,Arthur Gainer,CA-2016-160108,
2014,Furniture,Bookcases,Central,United States,Fort Worth,CV-12805,Cynthia Voltz,CA-2017-135692,
2015,Furniture,Bookcases,Central,United States,Fort Worth,CV-12805,Cynthia Voltz,CA-2017-135692,
2016,Furniture,Bookcases,Central,United States,Fort Worth,CV-12805,Cynthia Voltz,CA-2017-135692,
2017,Furniture,Bookcases,Central,United States,Fort Worth,CV-12805,Cynthia Voltz,CA-2017-135692,0.32
2014,Furniture,Bookcases,Central,United States,Fort Worth,DB-13555,Dorothy Badders,US-2017-133200,
2015,Furniture,Bookcases,Central,United States,Fort Worth,DB-13555,Dorothy Badders,US-2017-133200,
2016,Furniture,Bookcases,Central,United States,Fort Worth,DB-13555,Dorothy Badders,US-2017-133200,
2017,Furniture,Bookcases,Central,United States,Fort Worth,DB-13555,Dorothy Badders,US-2017-133200,0.32
2014,Furniture,Bookcases,Central,United States,Franklin,JO-15145,Jack O'Briant,US-2016-100461,
2015,Furniture,Bookcases,Central,United States,Franklin,JO-15145,Jack O'Briant,US-2016-100461,
2016,Furniture,Bookcases,Central,United States,Franklin,JO-15145,Jack O'Briant,US-2016-100461,0
2017,Furniture,Bookcases,Central,United States,Franklin,JO-15145,Jack O'Briant,US-2016-100461,
2014,Furniture,Bookcases,Central,United States,Harlingen,JS-15880,John Stevenson,CA-2016-162082,
2015,Furniture,Bookcases,Central,United States,Harlingen,JS-15880,John Stevenson,CA-2016-162082,
2016,Furniture,Bookcases,Central,United States,Harlingen,JS-15880,John Stevenson,CA-2016-162082,0.32
2017,Furniture,Bookcases,Central,United States,Harlingen,JS-15880,John Stevenson,CA-2016-162082,
2014,Furniture,Bookcases,Central,United States,Highland Park,RA-19915,Russell Applegate,US-2015-122784,
2015,Furniture,Bookcases,Central,United States,Highland Park,RA-19915,Russell Applegate,US-2015-122784,0.6
2016,Furniture,Bookcases,Central,United States,Highland Park,RA-19915,Russell Applegate,US-2015-122784,
2017,Furniture,Bookcases,Central,United States,Highland Park,RA-19915,Russell Applegate,US-2015-122784,
2014,Furniture,Bookcases,Central,United States,Houston,AG-10675,Anna Gayman,CA-2016-108987,
2015,Furniture,Bookcases,Central,United States,Houston,AG-10675,Anna Gayman,CA-2016-108987,
2016,Furniture,Bookcases,Central,United States,Houston,AG-10675,Anna Gayman,CA-2016-108987,0.32
2017,Furniture,Bookcases,Central,United States,Houston,AG-10675,Anna Gayman,CA-2016-108987,
2014,Furniture,Bookcases,Central,United States,Houston,CJ-12010,Caroline Jumper,CA-2017-144491,
2015,Furniture,Bookcases,Central,United States,Houston,CJ-12010,Caroline Jumper,CA-2017-144491,
2016,Furniture,Bookcases,Central,United States,Houston,CJ-12010,Caroline Jumper,CA-2017-144491,
2017,Furniture,Bookcases,Central,United States,Houston,CJ-12010,Caroline Jumper,CA-2017-144491,0.32
2014,Furniture,Bookcases,Central,United States,Houston,CM-12655,Corinna Mitchell,CA-2015-168088,
2015,Furniture,Bookcases,Central,United States,Houston,CM-12655,Corinna Mitchell,CA-2015-168088,0.32
2016,Furniture,Bookcases,Central,United States,Houston,CM-12655,Corinna Mitchell,CA-2015-168088,
2017,Furniture,Bookcases,Central,United States,Houston,CM-12655,Corinna Mitchell,CA-2015-168088,
2014,Furniture,Bookcases,Central,United States,Houston,CM-12715,Craig Molinari,CA-2015-133585,
2015,Furniture,Bookcases,Central,United States,Houston,CM-12715,Craig Molinari,CA-2015-133585,0.32
2016,Furniture,Bookcases,Central,United States,Houston,CM-12715,Craig Molinari,CA-2015-133585,
2017,Furniture,Bookcases,Central,United States,Houston,CM-12715,Craig Molinari,CA-2015-133585,
2014,Furniture,Bookcases,Central,United States,Houston,CR-12820,Cyra Reiten,CA-2017-159149,
2015,Furniture,Bookcases,Central,United States,Houston,CR-12820,Cyra Reiten,CA-2017-159149,
2016,Furniture,Bookcases,Central,United States,Houston,CR-12820,Cyra Reiten,CA-2017-159149,
2017,Furniture,Bookcases,Central,United States,Houston,CR-12820,Cyra Reiten,CA-2017-159149,0.32
2014,Furniture,Bookcases,Central,United States,Houston,DB-12970,Darren Budd,US-2014-159618,0.32
2015,Furniture,Bookcases,Central,United States,Houston,DB-12970,Darren Budd,US-2014-159618,
2016,Furniture,Bookcases,Central,United States,Houston,DB-12970,Darren Budd,US-2014-159618,
2017,Furniture,Bookcases,Central,United States,Houston,DB-12970,Darren Budd,US-2014-159618,
2014,Furniture,Bookcases,Central,United States,Houston,EP-13915,Emily Phan,US-2016-131611,
2015,Furniture,Bookcases,Central,United States,Houston,EP-13915,Emily Phan,US-2016-131611,
2016,Furniture,Bookcases,Central,United States,Houston,EP-13915,Emily Phan,US-2016-131611,0.32
2017,Furniture,Bookcases,Central,United States,Houston,EP-13915,Emily Phan,US-2016-131611,
2014,Furniture,Bookcases,Central,United States,Houston,MT-18070,Michelle Tran,US-2014-112914,0.32
2015,Furniture,Bookcases,Central,United States,Houston,MT-18070,Michelle Tran,US-2014-112914,
2016,Furniture,Bookcases,Central,United States,Houston,MT-18070,Michelle Tran,US-2014-112914,
2017,Furniture,Bookcases,Central,United States,Houston,MT-18070,Michelle Tran,US-2014-112914,
2014,Furniture,Bookcases,Central,United States,Houston,MY-18295,Muhammed Yedwab,CA-2016-164770,
2015,Furniture,Bookcases,Central,United States,Houston,MY-18295,Muhammed Yedwab,CA-2016-164770,
2016,Furniture,Bookcases,Central,United States,Houston,MY-18295,Muhammed Yedwab,CA-2016-164770,0.32
2017,Furniture,Bookcases,Central,United States,Houston,MY-18295,Muhammed Yedwab,CA-2016-164770,
2014,Furniture,Bookcases,Central,United States,Houston,PO-18850,Patrick O'Brill,CA-2015-130183,
2015,Furniture,Bookcases,Central,United States,Houston,PO-18850,Patrick O'Brill,CA-2015-130183,0.32
2016,Furniture,Bookcases,Central,United States,Houston,PO-18850,Patrick O'Brill,CA-2015-130183,
2017,Furniture,Bookcases,Central,United States,Houston,PO-18850,Patrick O'Brill,CA-2015-130183,
2014,Furniture,Bookcases,Central,United States,Houston,RP-19270,Rachel Payne,CA-2015-135251,
2015,Furniture,Bookcases,Central,United States,Houston,RP-19270,Rachel Payne,CA-2015-135251,0.32
2016,Furniture,Bookcases,Central,United States,Houston,RP-19270,Rachel Payne,CA-2015-135251,
2017,Furniture,Bookcases,Central,United States,Houston,RP-19270,Rachel Payne,CA-2015-135251,
2014,Furniture,Bookcases,Central,United States,Houston,SN-20710,Steve Nguyen,CA-2015-117415,
2015,Furniture,Bookcases,Central,United States,Houston,SN-20710,Steve Nguyen,CA-2015-117415,0.32
2016,Furniture,Bookcases,Central,United States,Houston,SN-20710,Steve Nguyen,CA-2015-117415,
2017,Furniture,Bookcases,Central,United States,Houston,SN-20710,Steve Nguyen,CA-2015-117415,
2014,Furniture,Bookcases,Central,United States,Huntsville,HM-14860,Harry Marie,US-2016-110170,
2015,Furniture,Bookcases,Central,United States,Huntsville,HM-14860,Harry Marie,US-2016-110170,
2016,Furniture,Bookcases,Central,United States,Huntsville,HM-14860,Harry Marie,US-2016-110170,0.32
2017,Furniture,Bookcases,Central,United States,Huntsville,HM-14860,Harry Marie,US-2016-110170,
2014,Furniture,Bookcases,Central,United States,Kenosha,DK-12895,Dana Kaydos,CA-2015-105627,
2015,Furniture,Bookcases,Central,United States,Kenosha,DK-12895,Dana Kaydos,CA-2015-105627,0
2016,Furniture,Bookcases,Central,United States,Kenosha,DK-12895,Dana Kaydos,CA-2015-105627,
2017,Furniture,Bookcases,Central,United States,Kenosha,DK-12895,Dana Kaydos,CA-2015-105627,
2014,Furniture,Bookcases,Central,United States,Lansing,EH-14005,Erica Hernandez,CA-2017-167381,
2015,Furniture,Bookcases,Central,United States,Lansing,EH-14005,Erica Hernandez,CA-2017-167381,
2016,Furniture,Bookcases,Central,United States,Lansing,EH-14005,Erica Hernandez,CA-2017-167381,
2017,Furniture,Bookcases,Central,United States,Lansing,EH-14005,Erica Hernandez,CA-2017-167381,0
2014,Furniture,Bookcases,Central,United States,Lincoln Park,DM-12955,Dario Medina,CA-2015-168480,
2015,Furniture,Bookcases,Central,United States,Lincoln Park,DM-12955,Dario Medina,CA-2015-168480,0
2016,Furniture,Bookcases,Central,United States,Lincoln Park,DM-12955,Dario Medina,CA-2015-168480,
2017,Furniture,Bookcases,Central,United States,Lincoln Park,DM-12955,Dario Medina,CA-2015-168480,
2014,Furniture,Bookcases,Central,United States,Madison,JP-15520,Jeremy Pistek,CA-2017-117324,
2015,Furniture,Bookcases,Central,United States,Madison,JP-15520,Jeremy Pistek,CA-2017-117324,
2016,Furniture,Bookcases,Central,United States,Madison,JP-15520,Jeremy Pistek,CA-2017-117324,
2017,Furniture,Bookcases,Central,United States,Madison,JP-15520,Jeremy Pistek,CA-2017-117324,0
2014,Furniture,Bookcases,Central,United States,Milwaukee,HR-14770,Hallie Redmond,CA-2015-103954,
2015,Furniture,Bookcases,Central,United States,Milwaukee,HR-14770,Hallie Redmond,CA-2015-103954,0
2016,Furniture,Bookcases,Central,United States,Milwaukee,HR-14770,Hallie Redmond,CA-2015-103954,
2017,Furniture,Bookcases,Central,United States,Milwaukee,HR-14770,Hallie Redmond,CA-2015-103954,
2014,Furniture,Bookcases,Central,United States,Oklahoma City,AB-10015,Aaron Bergman,CA-2016-140935,
2015,Furniture,Bookcases,Central,United States,Oklahoma City,AB-10015,Aaron Bergman,CA-2016-140935,
2016,Furniture,Bookcases,Central,United States,Oklahoma City,AB-10015,Aaron Bergman,CA-2016-140935,0
2017,Furniture,Bookcases,Central,United States,Oklahoma City,AB-10015,Aaron Bergman,CA-2016-140935,
2014,Furniture,Bookcases,Central,United States,Peoria,DP-13390,Dennis Pardue,CA-2015-118423,
2015,Furniture,Bookcases,Central,United States,Peoria,DP-13390,Dennis Pardue,CA-2015-118423,0.3
2016,Furniture,Bookcases,Central,United States,Peoria,DP-13390,Dennis Pardue,CA-2015-118423,
2017,Furniture,Bookcases,Central,United States,Peoria,DP-13390,Dennis Pardue,CA-2015-118423,
2014,Furniture,Bookcases,Central,United States,Plano,SC-20020,Sam Craven,CA-2014-166863,0.32
2015,Furniture,Bookcases,Central,United States,Plano,SC-20020,Sam Craven,CA-2014-166863,
2016,Furniture,Bookcases,Central,United States,Plano,SC-20020,Sam Craven,CA-2014-166863,
2017,Furniture,Bookcases,Central,United States,Plano,SC-20020,Sam Craven,CA-2014-166863,
2014,Furniture,Bookcases,Central,United States,Port Arthur,CA-11965,Carol Adams,CA-2015-105690,
2015,Furniture,Bookcases,Central,United States,Port Arthur,CA-11965,Carol Adams,CA-2015-105690,0.32
2016,Furniture,Bookcases,Central,United States,Port Arthur,CA-11965,Carol Adams,CA-2015-105690,
2017,Furniture,Bookcases,Central,United States,Port Arthur,CA-11965,Carol Adams,CA-2015-105690,
2014,Furniture,Bookcases,Central,United States,Rapid City,CA-11965,Carol Adams,CA-2014-167997,0
2015,Furniture,Bookcases,Central,United States,Rapid City,CA-11965,Carol Adams,CA-2014-167997,
2016,Furniture,Bookcases,Central,United States,Rapid City,CA-11965,Carol Adams,CA-2014-167997,
2017,Furniture,Bookcases,Central,United States,Rapid City,CA-11965,Carol Adams,CA-2014-167997,
2014,Furniture,Bookcases,Central,United States,Round Rock,GH-14665,Greg Hansen,CA-2017-136539,
2015,Furniture,Bookcases,Central,United States,Round Rock,GH-14665,Greg Hansen,CA-2017-136539,
2016,Furniture,Bookcases,Central,United States,Round Rock,GH-14665,Greg Hansen,CA-2017-136539,
2017,Furniture,Bookcases,Central,United States,Round Rock,GH-14665,Greg Hansen,CA-2017-136539,0.32
2014,Furniture,Bookcases,Central,United States,Springfield,CP-12085,Cathy Prescott,US-2017-167402,
2015,Furniture,Bookcases,Central,United States,Springfield,CP-12085,Cathy Prescott,US-2017-167402,
2016,Furniture,Bookcases,Central,United States,Springfield,CP-12085,Cathy Prescott,US-2017-167402,
2017,Furniture,Bookcases,Central,United States,Springfield,CP-12085,Cathy Prescott,US-2017-167402,0
2014,Furniture,Bookcases,Central,United States,Waco,CA-12265,Christina Anderson,CA-2017-106432,
2015,Furniture,Bookcases,Central,United States,Waco,CA-12265,Christina Anderson,CA-2017-106432,
2016,Furniture,Bookcases,Central,United States,Waco,CA-12265,Christina Anderson,CA-2017-106432,
2017,Furniture,Bookcases,Central,United States,Waco,CA-12265,Christina Anderson,CA-2017-106432,0.32
2014,Furniture,Bookcases,Central,United States,West Allis,TS-21160,Theresa Swint,CA-2016-156251,
2015,Furniture,Bookcases,Central,United States,West Allis,TS-21160,Theresa Swint,CA-2016-156251,
2016,Furniture,Bookcases,Central,United States,West Allis,TS-21160,Theresa Swint,CA-2016-156251,0
2017,Furniture,Bookcases,Central,United States,West Allis,TS-21160,Theresa Swint,CA-2016-156251,
2014,Furniture,Bookcases,East,United States,Baltimore,HF-14995,Herbert Flentye,US-2016-147711,
2015,Furniture,Bookcases,East,United States,Baltimore,HF-14995,Herbert Flentye,US-2016-147711,
2016,Furniture,Bookcases,East,United States,Baltimore,HF-14995,Herbert Flentye,US-2016-147711,0
2017,Furniture,Bookcases,East,United States,Baltimore,HF-14995,Herbert Flentye,US-2016-147711,
2014,Furniture,Bookcases,East,United States,Bethlehem,OT-18730,Olvera Toch,CA-2016-107783,
2015,Furniture,Bookcases,East,United States,Bethlehem,OT-18730,Olvera Toch,CA-2016-107783,
2016,Furniture,Bookcases,East,United States,Bethlehem,OT-18730,Olvera Toch,CA-2016-107783,0.5
2017,Furniture,Bookcases,East,United States,Bethlehem,OT-18730,Olvera Toch,CA-2016-107783,
2014,Furniture,Bookcases,East,United States,Buffalo,GT-14710,Greg Tran,CA-2014-128209,0.2
2015,Furniture,Bookcases,East,United States,Buffalo,GT-14710,Greg Tran,CA-2014-128209,
2016,Furniture,Bookcases,East,United States,Buffalo,GT-14710,Greg Tran,CA-2014-128209,
2017,Furniture,Bookcases,East,United States,Buffalo,GT-14710,Greg Tran,CA-2014-128209,
2014,Furniture,Bookcases,East,United States,Burlington,QJ-19255,Quincy Jones,CA-2015-117086,
2015,Furniture,Bookcases,East,United States,Burlington,QJ-19255,Quincy Jones,CA-2015-117086,0
2016,Furniture,Bookcases,East,United States,Burlington,QJ-19255,Quincy Jones,CA-2015-117086,
2017,Furniture,Bookcases,East,United States,Burlington,QJ-19255,Quincy Jones,CA-2015-117086,
2014,Furniture,Bookcases,East,United States,Cleveland,AM-10360,Alice McCarthy,CA-2017-161340,
2015,Furniture,Bookcases,East,United States,Cleveland,AM-10360,Alice McCarthy,CA-2017-161340,
2016,Furniture,Bookcases,East,United States,Cleveland,AM-10360,Alice McCarthy,CA-2017-161340,
2017,Furniture,Bookcases,East,United States,Cleveland,AM-10360,Alice McCarthy,CA-2017-161340,0.5
2014,Furniture,Bookcases,East,United States,Cleveland,DC-12850,Dan Campbell,CA-2016-130911,
2015,Furniture,Bookcases,East,United States,Cleveland,DC-12850,Dan Campbell,CA-2016-130911,
2016,Furniture,Bookcases,East,United States,Cleveland,DC-12850,Dan Campbell,CA-2016-130911,0.5
2017,Furniture,Bookcases,East,United States,Cleveland,DC-12850,Dan Campbell,CA-2016-130911,
2014,Furniture,Bookcases,East,United States,Columbia,DN-13690,Duane Noonan,CA-2014-166744,0
2015,Furniture,Bookcases,East,United States,Columbia,DN-13690,Duane Noonan,CA-2014-166744,
2016,Furniture,Bookcases,East,United States,Columbia,DN-13690,Duane Noonan,CA-2014-166744,
2017,Furniture,Bookcases,East,United States,Columbia,DN-13690,Duane Noonan,CA-2014-166744,
2014,Furniture,Bookcases,East,United States,Columbus,BM-11785,Bryan Mills,US-2015-157014,
2015,Furniture,Bookcases,East,United States,Columbus,BM-11785,Bryan Mills,US-2015-157014,0.5
2016,Furniture,Bookcases,East,United States,Columbus,BM-11785,Bryan Mills,US-2015-157014,
2017,Furniture,Bookcases,East,United States,Columbus,BM-11785,Bryan Mills,US-2015-157014,
2014,Furniture,Bookcases,East,United States,Columbus,JS-15595,Jill Stevenson,US-2014-127978,0.5
2015,Furniture,Bookcases,East,United States,Columbus,JS-15595,Jill Stevenson,US-2014-127978,
2016,Furniture,Bookcases,East,United States,Columbus,JS-15595,Jill Stevenson,US-2014-127978,
2017,Furniture,Bookcases,East,United States,Columbus,JS-15595,Jill Stevenson,US-2014-127978,
2014,Furniture,Bookcases,East,United States,Columbus,NZ-18565,Nick Zandusky,CA-2016-110772,
2015,Furniture,Bookcases,East,United States,Columbus,NZ-18565,Nick Zandusky,CA-2016-110772,
2016,Furniture,Bookcases,East,United States,Columbus,NZ-18565,Nick Zandusky,CA-2016-110772,0.5
2017,Furniture,Bookcases,East,United States,Columbus,NZ-18565,Nick Zandusky,CA-2016-110772,
2014,Furniture,Bookcases,East,United States,Everett,CL-11890,Carl Ludwig,CA-2017-121888,
2015,Furniture,Bookcases,East,United States,Everett,CL-11890,Carl Ludwig,CA-2017-121888,
2016,Furniture,Bookcases,East,United States,Everett,CL-11890,Carl Ludwig,CA-2017-121888,
2017,Furniture,Bookcases,East,United States,Everett,CL-11890,Carl Ludwig,CA-2017-121888,0
2014,Furniture,Bookcases,East,United States,Everett,MA-17560,Matt Abelman,CA-2015-130974,
2015,Furniture,Bookcases,East,United States,Everett,MA-17560,Matt Abelman,CA-2015-130974,0
2016,Furniture,Bookcases,East,United States,Everett,MA-17560,Matt Abelman,CA-2015-130974,
2017,Furniture,Bookcases,East,United States,Everett,MA-17560,Matt Abelman,CA-2015-130974,
2014,Furniture,Bookcases,East,United States,Franklin,AG-10300,Aleksandra Gannaway,CA-2016-143749,
2015,Furniture,Bookcases,East,United States,Franklin,AG-10300,Aleksandra Gannaway,CA-2016-143749,
2016,Furniture,Bookcases,East,United States,Franklin,AG-10300,Aleksandra Gannaway,CA-2016-143749,0
2017,Furniture,Bookcases,East,United States,Franklin,AG-10300,Aleksandra Gannaway,CA-2016-143749,
2014,Furniture,Bookcases,East,United States,Gaithersburg,BM-11575,Brendan Murry,CA-2016-160304,
2015,Furniture,Bookcases,East,United States,Gaithersburg,BM-11575,Brendan Murry,CA-2016-160304,
2016,Furniture,Bookcases,East,United States,Gaithersburg,BM-11575,Brendan Murry,CA-2016-160304,0
2017,Furniture,Bookcases,East,United States,Gaithersburg,BM-11575,Brendan Murry,CA-2016-160304,
2014,Furniture,Bookcases,East,United States,Holyoke,PP-18955,Paul Prost,CA-2015-146087,
2015,Furniture,Bookcases,East,United States,Holyoke,PP-18955,Paul Prost,CA-2015-146087,0
2016,Furniture,Bookcases,East,United States,Holyoke,PP-18955,Paul Prost,CA-2015-146087,
2017,Furniture,Bookcases,East,United States,Holyoke,PP-18955,Paul Prost,CA-2015-146087,
2014,Furniture,Bookcases,East,United States,Lakewood,NP-18670,Nora Paige,CA-2017-150091,
2015,Furniture,Bookcases,East,United States,Lakewood,NP-18670,Nora Paige,CA-2017-150091,
2016,Furniture,Bookcases,East,United States,Lakewood,NP-18670,Nora Paige,CA-2017-150091,
2017,Furniture,Bookcases,East,United States,Lakewood,NP-18670,Nora Paige,CA-2017-150091,0
2014,Furniture,Bookcases,East,United States,Long Beach,CJ-12010,Caroline Jumper,US-2016-112977,
2015,Furniture,Bookcases,East,United States,Long Beach,CJ-12010,Caroline Jumper,US-2016-112977,
2016,Furniture,Bookcases,East,United States,Long Beach,CJ-12010,Caroline Jumper,US-2016-112977,0.2
2017,Furniture,Bookcases,East,United States,Long Beach,CJ-12010,Caroline Jumper,US-2016-112977,
2014,Furniture,Bookcases,East,United States,Malden,AP-10720,Anne Pryor,US-2016-114174,
2015,Furniture,Bookcases,East,United States,Malden,AP-10720,Anne Pryor,US-2016-114174,
2016,Furniture,Bookcases,East,United States,Malden,AP-10720,Anne Pryor,US-2016-114174,0
2017,Furniture,Bookcases,East,United States,Malden,AP-10720,Anne Pryor,US-2016-114174,
2014,Furniture,Bookcases,East,United States,Manchester,MK-17905,Michael Kennedy,CA-2016-155516,
2015,Furniture,Bookcases,East,United States,Manchester,MK-17905,Michael Kennedy,CA-2016-155516,
2016,Furniture,Bookcases,East,United States,Manchester,MK-17905,Michael Kennedy,CA-2016-155516,0
2017,Furniture,Bookcases,East,United States,Manchester,MK-17905,Michael Kennedy,CA-2016-155516,
2014,Furniture,Bookcases,East,United States,Medina,VW-21775,Victoria Wilson,CA-2015-146262,
2015,Furniture,Bookcases,East,United States,Medina,VW-21775,Victoria Wilson,CA-2015-146262,0.5
2016,Furniture,Bookcases,East,United States,Medina,VW-21775,Victoria Wilson,CA-2015-146262,
2017,Furniture,Bookcases,East,United States,Medina,VW-21775,Victoria Wilson,CA-2015-146262,
